,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,2755,Paikamal,370,83543,41566,41977,6522,6528,8009,8478,7786,7063,6313,6286,5648,4876,3960,3216,3183,2231,1746,765,825,101
1,1,2756,Jharbandha,370,94232,46551,47681,7357,7363,9034,9562,8782,7967,7120,7090,6370,5500,4467,3628,3590,2517,1969,862,930,114
2,2,2757,Padmapur,370,73857,37139,36718,5766,5771,7080,7495,6883,6244,5581,5557,4993,4311,3501,2843,2814,1972,1543,676,729,89
3,3,2758,BurdenP.S.,370,30229,14943,15286,2360,2362,2898,3067,2817,2555,2284,2274,2043,1764,1433,1163,1151,807,631,276,298,36
4,4,2759,Gaisilet,370,70389,35225,35164,5495,5500,6748,7143,6560,5951,5319,5296,4758,4108,3337,2710,2682,1880,1471,644,695,85
5,5,2760,Melchhamunda,370,63841,32043,31798,4984,4988,6120,6478,5950,5397,4824,4803,4316,3726,3026,2458,2432,1705,1334,584,630,77
6,6,2761,Sohela,370,95041,48170,46871,7420,7426,9111,9644,8858,8035,7182,7151,6425,5547,4505,3659,3621,2538,1986,870,938,115
7,7,2762,Bijepur,370,97593,49187,48406,7619,7626,9356,9903,9096,8251,7374,7343,6598,5696,4626,3757,3718,2606,2039,893,963,118
8,8,2763,Barapali,370,116587,59620,56967,9102,9110,11177,11831,10866,9857,8810,8773,7882,6805,5527,4489,4442,3114,2436,1067,1151,141
9,9,2764,Bheden,370,115795,59137,56658,9040,9048,11101,11750,10792,9790,8750,8713,7828,6758,5489,4458,4412,3093,2420,1060,1143,140
10,10,2765,Bargarh,370,149181,76780,72401,11647,11657,14301,15139,13904,12613,11273,11225,10085,8707,7072,5744,5684,3984,3118,1366,1473,180
11,11,2766,Bargarh Sadar ,370,71248,36444,34804,5562,5567,6830,7230,6640,6024,5384,5361,4816,4158,3377,2743,2714,1903,1489,652,703,86
12,12,2767,Bhatli,370,82094,41367,40727,6409,6415,7870,8330,7651,6941,6203,6177,5550,4791,3892,3160,3128,2192,1715,751,810,99
13,13,2768,Ambabhona,370,59729,30081,29648,4663,4667,5726,6061,5567,5050,4513,4494,4038,3486,2831,2299,2275,1595,1248,546,589,72
14,14,2769,Attabira,370,142968,72663,70305,11162,11172,13706,14508,13325,12088,10803,10758,9665,8345,6777,5504,5447,3818,2988,1309,1411,173
15,15,2770,Rengali,371,52893,26792,26101,4151,4364,5098,5312,5402,4891,4123,3947,3456,3028,2363,1865,1739,1190,890,443,502,120
16,16,2771,Lakhanpur,371,30105,15104,15001,2363,2484,2901,3023,3075,2784,2346,2246,1967,1723,1345,1061,990,677,506,252,286,68
17,17,2772,Belpahar,371,37502,19436,18066,2943,3094,3614,3766,3830,3468,2923,2798,2450,2147,1675,1322,1233,843,631,314,356,85
18,18,2773,Banaharapali,371,38735,19934,18801,3040,3196,3733,3890,3956,3582,3019,2890,2531,2217,1730,1366,1273,871,652,324,368,88
19,19,2774,Orient,371,70986,36945,34041,5572,5857,6842,7129,7251,6564,5533,5297,4639,4064,3171,2503,2334,1597,1195,595,674,161
20,20,2775,Brajarajnagar,371,23294,11864,11430,1828,1922,2245,2339,2379,2154,1815,1738,1522,1333,1040,821,766,524,392,195,221,52
21,21,2776,Jharsuguda,371,108026,55970,52056,8479,8913,10412,10850,11034,9989,8420,8061,7060,6185,4826,3810,3552,2430,1818,905,1026,245
22,22,2777,Badmal ,371,24246,12918,11328,1903,2000,2336,2435,2476,2242,1890,1809,1584,1388,1083,855,797,545,408,203,230,55
