,Unnamed: 0,Statecode,Districtcode,VillageCode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,21,373,287800,472,318,154,41,45,51,44,41,40,34,33,29,25,20,17,17,10,8,3,3,1
1,1,21,373,287900,99,57,42,8,9,10,9,8,8,7,7,6,5,4,3,3,2,1,0,0,0
2,2,21,373,288000,251,124,127,22,24,27,23,22,21,18,17,15,13,10,9,9,5,4,1,2,0
3,3,21,373,288100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,21,373,288200,658,334,324,58,63,72,62,58,55,48,46,41,35,28,24,24,14,11,4,5,1
5,5,21,373,288300,285,132,153,25,27,31,27,25,24,21,20,17,15,12,10,10,6,5,2,2,0
6,6,21,373,288400,647,331,316,57,61,71,61,57,54,47,46,40,35,28,23,23,14,11,4,5,1
7,7,21,373,288500,238,121,117,21,22,26,22,21,20,17,16,14,12,10,8,8,5,4,1,1,0
8,8,21,373,288600,204,100,104,18,19,22,19,18,17,15,14,12,11,8,7,7,4,3,1,1,0
9,9,21,373,288700,111,55,56,9,10,12,10,9,9,8,7,6,6,4,4,4,2,1,0,0,0
10,10,21,373,288800,389,191,198,34,37,42,37,34,33,28,27,24,21,17,14,14,8,6,2,3,0
11,11,21,373,288900,334,166,168,29,31,36,31,29,28,24,23,20,18,14,12,12,7,5,2,2,0
12,12,21,373,289000,1299,644,655,115,124,142,123,115,110,95,92,81,70,56,47,47,29,22,9,10,2
13,13,21,373,289100,1089,532,557,96,104,119,103,96,92,80,77,67,58,47,40,39,24,19,7,8,2
14,14,21,373,289200,696,329,367,61,66,76,66,61,59,51,49,43,37,30,25,25,15,12,5,5,1
15,15,21,373,289300,1336,651,685,118,127,146,127,118,113,98,95,83,72,58,49,48,30,23,9,10,2
16,16,21,373,289400,1004,491,513,88,96,110,95,89,85,74,71,62,54,43,36,36,22,17,7,8,2
17,17,21,373,289500,140,60,80,12,13,15,13,12,11,10,9,8,7,6,5,5,3,2,1,1,0
18,18,21,373,289600,673,338,335,59,64,73,64,59,57,49,48,42,36,29,24,24,15,11,4,5,1
19,19,21,373,289700,450,226,224,39,43,49,42,40,38,33,32,28,24,19,16,16,10,7,3,3,0
20,20,21,373,289800,101,43,58,8,9,11,9,8,8,7,7,6,5,4,3,3,2,1,0,0,0
21,21,21,373,289900,503,254,249,44,48,55,47,44,42,37,35,31,27,22,18,18,11,8,3,4,1
22,22,21,373,290000,160,85,75,14,15,17,15,14,13,11,11,9,8,7,5,5,3,2,1,1,0
23,23,21,373,290100,720,370,350,63,68,79,68,64,61,53,51,44,38,31,26,26,16,12,5,5,1
24,24,21,373,290200,954,477,477,84,91,104,90,84,81,70,68,59,51,41,35,34,21,16,6,7,2
25,25,21,373,290300,132,70,62,11,12,14,12,11,11,9,9,8,7,5,4,4,2,2,0,1,0
26,26,21,373,290400,77,39,38,6,7,8,7,6,6,5,5,4,4,3,2,2,1,1,0,0,0
27,27,21,373,290500,264,124,140,23,25,29,25,23,22,19,18,16,14,11,9,9,5,4,1,2,0
28,28,21,373,290600,129,66,63,11,12,14,12,11,10,9,9,8,6,5,4,4,2,2,0,1,0
29,29,21,373,290700,200,92,108,17,19,21,19,17,16,14,14,12,10,8,7,7,4,3,1,1,0
30,30,21,373,290800,282,141,141,24,27,30,26,25,23,20,20,17,15,12,10,10,6,4,2,2,0
31,31,21,373,290900,1089,565,524,96,104,119,103,96,92,80,77,67,58,47,40,39,24,19,7,8,2
32,32,21,373,291000,177,80,97,15,16,19,16,15,15,13,12,11,9,7,6,6,3,3,1,1,0
33,33,21,373,291100,265,135,130,23,25,29,25,23,22,19,18,16,14,11,9,9,5,4,1,2,0
34,34,21,373,291200,290,150,140,25,27,31,27,25,24,21,20,18,15,12,10,10,6,5,2,2,0
35,35,21,373,291300,312,165,147,27,29,34,29,27,26,23,22,19,16,13,11,11,7,5,2,2,0
36,36,21,373,291400,150,69,81,13,14,16,14,13,12,11,10,9,8,6,5,5,3,2,1,1,0
37,37,21,373,291500,254,132,122,22,24,27,24,22,21,18,18,15,13,11,9,9,5,4,1,2,0
38,38,21,373,291600,215,111,104,19,20,23,20,19,18,15,15,13,11,9,7,7,4,3,1,1,0
39,39,21,373,291700,307,148,159,27,29,33,29,27,26,22,21,19,16,13,11,11,6,5,2,2,0
40,40,21,373,291800,186,87,99,16,17,20,17,16,15,13,13,11,10,8,6,6,4,3,1,1,0
41,41,21,373,291900,208,104,104,18,19,22,19,18,17,15,14,12,11,9,7,7,4,3,1,1,0
42,42,21,373,292000,230,117,113,20,22,25,21,20,19,16,16,14,12,10,8,8,5,4,1,1,0
43,43,21,373,292100,609,302,307,53,58,66,58,54,51,44,43,38,32,26,22,22,13,10,4,4,1
44,44,21,373,292200,207,102,105,18,19,22,19,18,17,15,14,12,11,9,7,7,4,3,1,1,0
45,45,21,373,292300,443,228,215,39,42,48,42,39,37,32,31,27,23,19,16,16,9,7,3,3,0
46,46,21,373,292400,521,273,248,46,49,57,49,46,44,38,37,32,28,22,19,19,11,9,3,4,1
47,47,21,373,292500,42,20,22,3,4,4,4,3,3,3,2,2,2,1,1,1,0,0,0,0,0
48,48,21,373,292600,17,4,13,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
49,49,21,373,292700,51,31,20,4,4,5,4,4,4,3,3,3,2,2,1,1,1,0,0,0,0
50,50,21,373,292800,379,193,186,33,36,41,36,33,32,27,27,23,20,16,13,13,8,6,2,3,0
51,51,21,373,292900,185,91,94,16,17,20,17,16,15,13,13,11,10,8,6,6,4,3,1,1,0
52,52,21,373,293000,204,107,97,18,19,22,19,18,17,15,14,12,11,8,7,7,4,3,1,1,0
53,53,21,373,293100,361,167,194,31,34,39,34,32,30,26,25,22,19,15,13,13,8,6,2,2,0
54,54,21,373,293200,250,125,125,22,23,27,23,22,21,18,17,15,13,10,9,9,5,4,1,2,0
55,55,21,373,293300,53,27,26,4,5,5,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0
56,56,21,373,293400,469,242,227,41,44,51,44,41,39,34,33,29,25,20,17,17,10,8,3,3,1
57,57,21,373,293500,467,233,234,41,44,51,44,41,39,34,33,29,25,20,17,17,10,8,3,3,1
58,58,21,373,293600,278,148,130,24,26,30,26,24,23,20,19,17,15,12,10,10,6,4,2,2,0
59,59,21,373,293700,2046,981,1065,181,196,224,194,181,173,151,145,127,110,89,75,74,46,36,14,16,4
60,60,21,373,293800,1787,896,891,158,171,196,170,158,151,131,127,111,96,78,65,65,40,31,13,14,3
61,61,21,373,293900,180,85,95,15,17,19,17,16,15,13,12,11,9,7,6,6,4,3,1,1,0
62,62,21,373,294000,656,313,343,58,62,72,62,58,55,48,46,40,35,28,24,23,14,11,4,5,1
63,63,21,373,294100,115,53,62,10,11,12,10,10,9,8,8,7,6,5,4,4,2,2,0,0,0
64,64,21,373,294200,568,277,291,50,54,62,54,50,48,41,40,35,30,24,20,20,12,10,4,4,1
65,65,21,373,294300,180,88,92,15,17,19,17,16,15,13,12,11,9,7,6,6,4,3,1,1,0
66,66,21,373,294400,508,259,249,44,48,55,48,45,43,37,36,31,27,22,18,18,11,8,3,4,1
67,67,21,373,294500,544,255,289,48,52,59,51,48,46,40,38,33,29,23,20,19,12,9,3,4,1
68,68,21,373,294600,139,66,73,12,13,15,13,12,11,10,9,8,7,6,5,5,3,2,1,1,0
69,69,21,373,294700,596,297,299,52,57,65,56,53,50,43,42,37,32,26,21,21,13,10,4,4,1
70,70,21,373,294800,199,92,107,17,19,21,18,17,16,14,14,12,10,8,7,7,4,3,1,1,0
71,71,21,373,294900,392,198,194,34,37,43,37,34,33,28,27,24,21,17,14,14,8,6,2,3,0
72,72,21,373,295000,85,43,42,7,8,9,8,7,7,6,6,5,4,3,3,3,1,1,0,0,0
73,73,21,373,295100,1129,565,564,99,108,124,107,100,95,83,80,70,61,49,41,41,25,19,8,9,2
74,74,21,373,295200,87,39,48,7,8,9,8,7,7,6,6,5,4,3,3,3,1,1,0,0,0
75,75,21,373,295300,175,91,84,15,16,19,16,15,14,12,12,10,9,7,6,6,3,3,1,1,0
76,76,21,373,295400,64,33,31,5,6,7,6,5,5,4,4,3,3,2,2,2,1,1,0,0,0
77,77,21,373,295500,686,330,356,60,65,75,65,61,58,50,48,42,37,30,25,25,15,12,5,5,1
78,78,21,373,295600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,21,373,295700,888,435,453,78,85,97,84,78,75,65,63,55,48,38,32,32,20,15,6,7,1
80,80,21,373,295800,168,71,97,14,16,18,16,14,14,12,11,10,9,7,6,6,3,2,1,1,0
81,81,21,373,295900,214,110,104,18,20,23,20,19,18,15,15,13,11,9,7,7,4,3,1,1,0
82,82,21,373,296000,379,201,178,33,36,41,36,33,32,27,27,23,20,16,13,13,8,6,2,3,0
83,83,21,373,296100,293,147,146,25,28,32,27,26,24,21,20,18,15,12,10,10,6,5,2,2,0
84,84,21,373,296200,365,180,185,32,34,40,34,32,30,26,26,22,19,15,13,13,8,6,2,2,0
85,85,21,373,296300,1215,611,604,107,116,133,115,108,103,89,86,75,65,53,44,44,27,21,8,9,2
86,86,21,373,296400,757,384,373,67,72,83,72,67,64,55,54,47,40,33,27,27,17,13,5,6,1
87,87,21,373,296500,655,332,323,58,62,71,62,58,55,48,46,40,35,28,24,23,14,11,4,5,1
88,88,21,373,296600,344,179,165,30,32,37,32,30,29,25,24,21,18,15,12,12,7,6,2,2,0
89,89,21,373,296700,52,22,30,4,4,5,4,4,4,3,3,3,2,2,1,1,1,0,0,0,0
90,90,21,373,296800,432,198,234,38,41,47,41,38,36,31,30,26,23,18,15,15,9,7,3,3,0
91,91,21,373,296900,164,84,80,14,15,18,15,14,13,12,11,10,8,7,6,5,3,2,1,1,0
92,92,21,373,297000,720,347,373,63,68,79,68,64,61,53,51,44,38,31,26,26,16,12,5,5,1
