,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
245,242,2997,Hindol ,383,35120,17904,17216,2882,3071,3434,3289,3186,3029,2717,2655,2275,1955,1599,1351,1337,880,704,327,346,73
246,243,2998,Rasol ,383,58734,29901,28833,4820,5137,5743,5501,5328,5065,4545,4441,3805,3270,2674,2259,2237,1473,1178,547,579,122
247,244,2999,Dhenkanal Sadar ,383,224939,116213,108726,18463,19675,21994,21069,20407,19400,17408,17011,14575,12525,10241,8654,8569,5642,4512,2098,2219,468
248,246,3000,Palalahada ,384,50114,25460,24654,4200,4545,5280,4801,4713,4332,3913,3770,3243,2743,2159,1737,1705,1088,869,384,454,168
249,247,3001,Khamar ,384,47876,24377,23499,4012,4342,5044,4586,4502,4139,3738,3602,3099,2621,2062,1660,1629,1040,830,367,434,161
250,248,3002,Rengali Damsite ,384,28564,14910,13654,2393,2590,3009,2736,2686,2469,2230,2149,1848,1563,1230,990,972,620,495,219,259,96
251,249,3003,Kaniha ,384,42031,21973,20058,3522,3812,4428,4026,3953,3633,3282,3162,2720,2301,1811,1457,1430,913,729,322,381,141
252,250,3004,N.T.P.C.   ,384,12523,6553,5970,1049,1135,1319,1199,1177,1082,977,942,810,685,539,434,426,272,217,96,113,42
253,251,3005,Samal Barrage ,384,23719,12384,11335,1987,2151,2499,2272,2230,2050,1852,1784,1535,1298,1022,822,807,515,411,182,215,79
254,252,3006,Talcher Sadar,384,73956,38927,35029,6198,6708,7792,7085,6955,6394,5775,5564,4787,4049,3186,2564,2516,1606,1283,568,670,249
255,253,3007,Colliery ,384,46757,24647,22110,3918,4241,4926,4479,4397,4042,3651,3518,3026,2560,2014,1621,1591,1015,811,359,423,157
256,254,3008,Bikrampur ,384,19455,10377,9078,1630,1764,2049,1863,1829,1682,1519,1463,1259,1065,838,674,662,422,337,149,176,65
257,255,3009,NALCO   ,384,38027,19880,18147,3187,3449,4006,3643,3576,3287,2969,2861,2461,2082,1638,1318,1294,826,659,292,344,128
258,256,3010,Banarpal,384,59464,30719,28745,4983,5393,6265,5696,5592,5141,4643,4474,3849,3255,2562,2061,2023,1291,1031,456,539,200
259,257,3011,Anugul ,384,117164,61295,55869,9819,10627,12344,11224,11019,10129,9149,8815,7584,6415,5048,4062,3987,2545,2032,899,1062,394
260,258,3012,Jarapada ,384,46301,23583,22718,3880,4199,4878,4435,4354,4003,3615,3483,2997,2535,1995,1605,1575,1005,803,355,419,155
261,259,3013,Industrial  ,384,25903,13210,12693,2170,2349,2729,2481,2436,2239,2022,1948,1676,1418,1116,898,881,562,449,198,234,87
262,260,3014,Chhendipada ,384,78362,40156,38206,6567,7108,8256,7507,7370,6774,6119,5896,5072,4290,3376,2717,2666,1702,1359,601,710,263
263,261,3015,Handapa,384,38968,19822,19146,3265,3534,4105,3733,3664,3369,3043,2932,2522,2133,1679,1351,1326,846,676,299,353,131
264,262,3016,Kishorenagar ,384,42593,21282,21311,3569,3863,4487,4080,4005,3682,3326,3204,2757,2332,1835,1476,1449,925,738,327,386,143
265,263,3017,Athmallik ,384,42993,21700,21293,3603,3899,4529,4118,4043,3717,3357,3234,2782,2353,1852,1490,1463,934,745,330,389,144
266,264,3018,Kiakata,384,11909,5942,5967,998,1080,1254,1140,1120,1029,929,896,770,652,513,412,405,258,206,91,107,40
267,265,3019,Thakurgarh ,384,37668,18718,18950,3156,3416,3968,3608,3542,3256,2941,2834,2438,2062,1623,1306,1281,818,653,289,341,126
268,266,3020,Purunakot ,384,22289,11191,11098,1868,2021,2348,2135,2096,1927,1740,1677,1442,1220,960,772,758,484,386,171,202,75
269,267,3021,Bantala ,384,54136,27461,26675,4537,4910,5703,5186,5091,4680,4227,4073,3504,2964,2332,1877,1842,1176,939,415,490,182
270,268,3022,Gania ,385,31320,16323,14997,2414,2723,3067,2768,2667,2693,2378,2379,2009,1758,1424,1285,1324,871,705,364,433,51
271,269,3023,Dasapalla ,385,63088,32704,30384,4863,5486,6177,5576,5372,5425,4790,4792,4048,3541,2869,2588,2667,1754,1421,733,872,103
272,270,3024,Banigochha ,385,21431,10673,10758,1652,1863,2098,1894,1824,1843,1627,1628,1375,1202,974,879,906,596,483,249,296,35
273,271,3025,Nuagaon ,385,35819,18516,17303,2761,3115,3507,3166,3050,3080,2719,2721,2298,2010,1628,1469,1514,996,807,416,495,58
274,272,3026,Khandapada ,385,78261,41018,37243,6033,6806,7663,6918,6664,6730,5942,5945,5022,4392,3559,3211,3309,2176,1763,909,1082,127
275,273,3027,Fategarh,385,102177,53408,48769,7877,8886,10005,9032,8700,8787,7758,7762,6557,5735,4646,4192,4320,2841,2302,1187,1413,166
276,274,3028,Nayagarh ,385,48834,25911,22923,3764,4247,4782,4316,4158,4199,3708,3710,3133,2741,2220,2003,2064,1358,1100,567,675,79
277,275,3029,Itamati ,385,58273,30898,27375,4492,5068,5706,5151,4962,5011,4425,4427,3739,3270,2650,2391,2464,1620,1313,677,806,95
278,276,3030,Nayagarh Sadar,385,39837,21037,18800,3071,3464,3901,3521,3392,3425,3025,3026,2556,2236,1811,1634,1684,1108,897,463,551,65
279,277,3031,Odagaon,385,94377,49254,45123,7275,8208,9241,8342,8036,8116,7166,7170,6056,5297,4291,3872,3990,2625,2127,1096,1305,154
280,278,3032,Sarankul,385,86960,46074,40886,6704,7563,8515,7687,7404,7478,6603,6606,5580,4881,3954,3568,3677,2418,1959,1010,1203,142
