,Unnamed: 0,Statecode,Districtcode,VillageCode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,21,370,100,1544,763,781,120,120,148,156,143,130,116,116,104,90,73,59,58,41,32,14,15,1
1,1,21,370,200,2710,1365,1345,211,211,259,275,252,229,204,203,183,158,128,104,103,72,56,24,26,3
2,2,21,370,300,869,422,447,67,67,83,88,80,73,65,65,58,50,41,33,33,23,18,7,8,1
3,3,21,370,400,778,392,386,60,60,74,78,72,65,58,58,52,45,36,29,29,20,16,7,7,0
4,4,21,370,500,838,386,452,65,65,80,85,78,70,63,63,56,48,39,32,31,22,17,7,8,1
5,5,21,370,600,1234,612,622,96,96,118,125,115,104,93,92,83,72,58,47,47,32,25,11,12,1
6,6,21,370,700,916,455,461,71,71,87,92,85,77,69,68,61,53,43,35,34,24,19,8,9,1
7,7,21,370,800,765,367,398,59,59,73,77,71,64,57,57,51,44,36,29,29,20,15,7,7,0
8,8,21,370,900,716,345,371,55,55,68,72,66,60,54,53,48,41,33,27,27,19,14,6,7,0
9,9,21,370,1000,825,398,427,64,64,79,83,76,69,62,62,55,48,39,31,31,22,17,7,8,0
10,10,21,370,1100,1138,568,570,88,88,109,115,106,96,85,85,76,66,53,43,43,30,23,10,11,1
11,11,21,370,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,21,370,1300,2302,1149,1153,179,179,220,233,214,194,173,173,155,134,109,88,87,61,48,21,22,2
13,13,21,370,1400,488,243,245,38,38,46,49,45,41,36,36,32,28,23,18,18,13,10,4,4,0
14,14,21,370,1500,1071,529,542,83,83,102,108,99,90,80,80,72,62,50,41,40,28,22,9,10,1
15,15,21,370,1600,524,256,268,40,40,50,53,48,44,39,39,35,30,24,20,19,13,10,4,5,0
16,16,21,370,1700,1154,578,576,90,90,110,117,107,97,87,86,78,67,54,44,43,30,24,10,11,1
17,17,21,370,1800,606,313,293,47,47,58,61,56,51,45,45,40,35,28,23,23,16,12,5,5,0
18,18,21,370,1900,693,352,341,54,54,66,70,64,58,52,52,46,40,32,26,26,18,14,6,6,0
19,19,21,370,2000,1307,649,658,102,102,125,132,121,110,98,98,88,76,61,50,49,34,27,11,12,1
20,20,21,370,2100,1848,925,923,144,144,177,187,172,156,139,139,124,107,87,71,70,49,38,16,18,2
21,21,21,370,2200,657,322,335,51,51,62,66,61,55,49,49,44,38,31,25,25,17,13,6,6,0
22,22,21,370,2300,1062,508,554,82,82,101,107,98,89,80,79,71,61,50,40,40,28,22,9,10,1
23,23,21,370,2400,1527,758,769,119,119,146,154,142,129,115,114,103,89,72,58,58,40,31,13,15,1
24,24,21,370,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,21,370,2600,348,172,176,27,27,33,35,32,29,26,26,23,20,16,13,13,9,7,3,3,0
26,26,21,370,2700,547,262,285,42,42,52,55,50,46,41,41,36,31,25,21,20,14,11,5,5,0
27,27,21,370,2800,385,196,189,30,30,36,39,35,32,29,28,26,22,18,14,14,10,8,3,3,0
28,28,21,370,2900,879,445,434,68,68,84,89,81,74,66,66,59,51,41,33,33,23,18,8,8,1
29,29,21,370,3000,1117,547,570,87,87,107,113,104,94,84,84,75,65,52,43,42,29,23,10,11,1
30,30,21,370,3100,1276,623,653,99,99,122,129,118,107,96,96,86,74,60,49,48,34,26,11,12,1
31,31,21,370,3200,542,282,260,42,42,51,55,50,45,40,40,36,31,25,20,20,14,11,4,5,0
32,32,21,370,3300,620,303,317,48,48,59,62,57,52,46,46,41,36,29,23,23,16,12,5,6,0
33,33,21,370,3400,446,238,208,34,34,42,45,41,37,33,33,30,26,21,17,16,11,9,4,4,0
34,34,21,370,3500,161,80,81,12,12,15,16,15,13,12,12,10,9,7,6,6,4,3,1,1,0
35,35,21,370,3600,963,475,488,75,75,92,97,89,81,72,72,65,56,45,37,36,25,20,8,9,1
36,36,21,370,3700,299,161,138,23,23,28,30,27,25,22,22,20,17,14,11,11,7,6,2,2,0
37,37,21,370,3800,280,133,147,21,21,26,28,26,23,21,21,18,16,13,10,10,7,5,2,2,0
38,38,21,370,3900,442,220,222,34,34,42,44,41,37,33,33,29,25,20,17,16,11,9,4,4,0
39,39,21,370,4000,596,292,304,46,46,57,60,55,50,45,44,40,34,28,22,22,15,12,5,5,0
40,40,21,370,4100,552,275,277,43,43,52,56,51,46,41,41,37,32,26,21,21,14,11,5,5,0
41,41,21,370,4200,223,103,120,17,17,21,22,20,18,16,16,15,13,10,8,8,5,4,2,2,0
42,42,21,370,4300,613,315,298,47,47,58,62,57,51,46,46,41,35,29,23,23,16,12,5,6,0
43,43,21,370,4400,891,451,440,69,69,85,90,83,75,67,67,60,52,42,34,33,23,18,8,8,1
44,44,21,370,4500,1111,634,477,86,86,106,112,103,93,83,83,75,64,52,42,42,29,23,10,10,1
45,45,21,370,4600,149,135,14,11,11,14,15,13,12,11,11,10,8,7,5,5,3,3,1,1,0
46,46,21,370,4700,215,72,143,16,16,20,21,20,18,16,16,14,12,10,8,8,5,4,1,2,0
47,47,21,370,4800,4308,2230,2078,336,336,413,437,401,364,325,324,291,251,204,165,164,115,90,39,42,5
48,48,21,370,4900,844,435,409,65,65,80,85,78,71,63,63,57,49,40,32,32,22,17,7,8,1
49,49,21,370,5000,485,235,250,37,37,46,49,45,41,36,36,32,28,22,18,18,12,10,4,4,0
50,50,21,370,5100,305,135,170,23,23,29,30,28,25,23,22,20,17,14,11,11,8,6,2,3,0
51,51,21,370,5200,1434,695,739,111,112,137,145,133,121,108,107,96,83,67,55,54,38,29,13,14,1
52,52,21,370,5300,1597,797,800,124,124,153,162,148,135,120,120,107,93,75,61,60,42,33,14,15,1
53,53,21,370,5400,459,226,233,35,35,44,46,42,38,34,34,31,26,21,17,17,12,9,4,4,0
54,54,21,370,5500,667,346,321,52,52,63,67,62,56,50,50,45,38,31,25,25,17,13,6,6,0
55,55,21,370,5600,947,468,479,73,74,90,96,88,80,71,71,64,55,44,36,36,25,19,8,9,1
56,56,21,370,5700,557,267,290,43,43,53,56,51,47,42,41,37,32,26,21,21,14,11,5,5,0
57,57,21,370,5800,404,194,210,31,31,38,40,37,34,30,30,27,23,19,15,15,10,8,3,3,0
58,58,21,370,5900,1122,612,510,87,87,107,113,104,94,84,84,75,65,53,43,42,29,23,10,11,1
59,59,21,370,6000,545,281,264,42,42,52,55,50,46,41,41,36,31,25,20,20,14,11,4,5,0
60,60,21,370,6100,1233,630,603,96,96,118,125,114,104,93,92,83,71,58,47,46,32,25,11,12,1
61,61,21,370,6200,536,249,287,41,41,51,54,49,45,40,40,36,31,25,20,20,14,11,4,5,0
62,62,21,370,6300,1774,879,895,138,138,170,180,165,149,134,133,119,103,84,68,67,47,37,16,17,2
63,63,21,370,6400,1358,663,695,106,106,130,137,126,114,102,102,91,79,64,52,51,36,28,12,13,1
64,64,21,370,6500,868,442,426,67,67,83,88,80,73,65,65,58,50,41,33,33,23,18,7,8,1
65,65,21,370,6600,795,385,410,62,62,76,80,74,67,60,59,53,46,37,30,30,21,16,7,7,0
66,66,21,370,6700,1473,731,742,115,115,141,149,137,124,111,110,99,85,69,56,56,39,30,13,14,1
67,67,21,370,6800,495,240,255,38,38,47,50,46,41,37,37,33,28,23,19,18,13,10,4,4,0
68,68,21,370,6900,875,443,432,68,68,83,88,81,73,66,65,59,51,41,33,33,23,18,8,8,1
69,69,21,370,7000,1181,562,619,92,92,113,119,110,99,89,88,79,68,55,45,45,31,24,10,11,1
70,70,21,370,7100,169,82,87,13,13,16,17,15,14,12,12,11,9,8,6,6,4,3,1,1,0
71,71,21,370,7200,348,188,160,27,27,33,35,32,29,26,26,23,20,16,13,13,9,7,3,3,0
72,72,21,370,7300,1204,622,582,94,94,115,122,112,101,90,90,81,70,57,46,45,32,25,11,11,1
73,73,21,370,7400,358,174,184,27,27,34,36,33,30,27,26,24,20,16,13,13,9,7,3,3,0
74,74,21,370,7500,257,123,134,20,20,24,26,23,21,19,19,17,15,12,9,9,6,5,2,2,0
75,75,21,370,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,21,370,7700,326,152,174,25,25,31,33,30,27,24,24,22,19,15,12,12,8,6,2,3,0
77,77,21,370,7800,434,218,216,33,33,41,44,40,36,32,32,29,25,20,16,16,11,9,3,4,0
78,78,21,370,7900,1254,640,614,97,97,120,127,116,106,94,94,84,73,59,48,47,33,26,11,12,1
79,79,21,370,8000,117,46,71,9,9,11,11,10,9,8,8,7,6,5,4,4,3,2,1,1,0
80,80,21,370,8100,188,85,103,14,14,18,19,17,15,14,14,12,10,8,7,7,5,3,1,1,0
81,81,21,370,8200,128,64,64,9,10,12,12,11,10,9,9,8,7,6,4,4,3,2,1,1,0
82,82,21,370,8300,443,217,226,34,34,42,44,41,37,33,33,29,25,21,17,16,11,9,4,4,0
83,83,21,370,8400,330,147,183,25,25,31,33,30,27,24,24,22,19,15,12,12,8,6,3,3,0
84,84,21,370,8500,413,198,215,32,32,39,41,38,34,31,31,27,24,19,15,15,11,8,3,4,0
85,85,21,370,8600,397,199,198,30,31,38,40,37,33,30,29,26,23,18,15,15,10,8,3,3,0
86,86,21,370,8700,1527,747,780,119,119,146,154,142,129,115,114,103,89,72,58,58,40,31,13,15,1
87,87,21,370,8800,968,479,489,75,75,92,98,90,81,73,72,65,56,45,37,36,25,20,8,9,1
88,88,21,370,8900,1268,630,638,98,99,121,128,118,107,95,95,85,74,60,48,48,33,26,11,12,1
89,89,21,370,9000,950,488,462,74,74,91,96,88,80,71,71,64,55,45,36,36,25,19,8,9,1
90,90,21,370,9100,200,96,104,15,15,19,20,18,16,15,15,13,11,9,7,7,5,4,1,1,0
91,91,21,370,9200,2867,1457,1410,223,224,274,290,267,242,216,215,193,167,135,110,109,76,59,26,28,3
92,92,21,370,9300,1243,611,632,97,97,119,126,115,105,93,93,84,72,58,47,47,33,25,11,12,1
93,93,21,370,9400,1219,618,601,95,95,116,123,113,103,92,91,82,71,57,46,46,32,25,11,12,1
94,94,21,370,9500,1732,849,883,135,135,166,175,161,146,130,130,117,101,82,66,65,46,36,15,17,2
95,95,21,370,9600,798,386,412,62,62,76,80,74,67,60,60,53,46,37,30,30,21,16,7,7,0
96,96,21,370,9700,397,188,209,30,31,38,40,37,33,30,29,26,23,18,15,15,10,8,3,3,0
97,97,21,370,9800,640,297,343,49,50,61,64,59,54,48,48,43,37,30,24,24,17,13,5,6,0
98,98,21,370,9900,288,148,140,22,22,27,29,26,24,21,21,19,16,13,11,10,7,6,2,2,0
99,99,21,370,10000,672,327,345,52,52,64,68,62,56,50,50,45,39,31,25,25,17,14,6,6,0
100,100,21,370,10100,343,169,174,26,26,32,34,31,29,25,25,23,20,16,13,13,9,7,3,3,0
