,Unnamed: 0,Statecode,Districtcode,VillageCode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,21,396,4470900,50,25,25,5,6,5,4,4,3,3,3,3,2,2,1,1,1,0,0,0,0
1,1,21,396,4471000,51,21,30,5,6,5,4,4,4,3,3,3,2,2,1,1,1,0,0,0,0
2,2,21,396,4471100,48,26,22,4,6,5,4,3,3,3,3,3,2,1,1,1,1,0,0,0,0
3,3,21,396,4471200,64,30,34,6,8,7,5,5,5,4,4,4,3,2,1,2,1,0,0,0,0
4,4,21,396,4471300,46,26,20,4,5,5,4,3,3,3,3,2,2,1,1,1,0,0,0,0,0
5,5,21,396,4471400,66,34,32,6,8,7,5,5,5,4,4,4,3,2,1,2,1,0,0,0,0
6,6,21,396,4471500,33,17,16,3,4,3,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0
7,7,21,396,4471600,113,65,48,11,14,12,10,9,8,7,7,7,6,4,3,3,2,1,0,0,0
8,8,21,396,4471700,469,239,230,48,60,52,41,39,37,31,32,29,25,19,13,15,9,5,1,2,1
9,9,21,396,4471800,846,409,437,87,109,94,75,70,66,57,58,53,45,34,25,27,17,10,3,3,3
10,10,21,396,4471900,118,64,54,12,15,13,10,9,9,8,8,7,6,4,3,3,2,1,0,0,0
11,11,21,396,4472000,801,400,401,82,103,89,71,66,63,54,55,50,42,32,23,26,16,10,3,3,3
12,12,21,396,4472100,50,22,28,5,6,5,4,4,3,3,3,3,2,2,1,1,1,0,0,0,0
13,13,21,396,4472200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,21,396,4472300,13,4,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,15,21,396,4472400,89,48,41,9,11,9,7,7,7,6,6,5,4,3,2,2,1,1,0,0,0
16,16,21,396,4472500,62,29,33,6,8,6,5,5,4,4,4,3,3,2,1,2,1,0,0,0,0
17,17,21,396,4472600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,21,396,4472700,116,60,56,11,15,13,10,9,9,7,8,7,6,4,3,3,2,1,0,0,0
19,19,21,396,4472800,61,34,27,6,7,6,5,5,4,4,4,3,3,2,1,1,1,0,0,0,0
20,20,21,396,4472900,66,35,31,6,8,7,5,5,5,4,4,4,3,2,1,2,1,0,0,0,0
21,21,21,396,4473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,21,396,4473100,69,38,31,7,8,7,6,5,5,4,4,4,3,2,2,2,1,0,0,0,0
23,23,21,396,4473200,37,12,25,3,4,4,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0
24,24,21,396,4473300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,21,396,4473400,22,11,11,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
26,26,21,396,4473500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,21,396,4473600,80,43,37,8,10,8,7,6,6,5,5,5,4,3,2,2,1,1,0,0,0
28,28,21,396,4473700,34,13,21,3,4,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0
29,29,21,396,4473800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,21,396,4473900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
