,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,2755,Paikamal,370,100438,49972,50466,7841,7848,9628,10192,9361,8492,7589,7557,6790,5862,4761,3867,3827,2682,2099,919,991,121
1,1,2756,Jharbandha,370,113288,55965,57323,8845,8852,10860,11496,10559,9578,8560,8524,7659,6612,5370,4362,4316,3026,2368,1037,1118,137
2,2,2757,Padmapur,370,88793,44649,44144,6932,6938,8512,9010,8275,7507,6709,6681,6003,5182,4209,3418,3383,2371,1855,813,876,107
3,3,2758,BurdenP.S.,370,36343,17965,18378,2837,2840,3484,3688,3387,3072,2746,2734,2457,2121,1722,1399,1384,970,759,332,358,44
4,4,2759,Gaisilet,370,84623,42348,42275,6606,6612,8112,8587,7887,7154,6394,6367,5721,4939,4011,3258,3224,2260,1768,774,835,102
5,5,2760,Melchhamunda,370,76751,38524,38227,5992,5997,7358,7788,7153,6489,5799,5775,5188,4479,3638,2955,2924,2050,1604,702,757,93
6,6,2761,Sohela,370,114261,57912,56349,8921,8928,10954,11595,10649,9660,8634,8598,7724,6669,5417,4399,4353,3052,2388,1046,1128,138
7,7,2762,Bijepur,370,117329,59135,58194,9160,9168,11248,11906,10935,9920,8866,8828,7932,6848,5562,4517,4470,3134,2452,1074,1158,142
8,8,2763,Barapali,370,140163,71676,68487,10943,10953,13437,14223,13063,11850,10591,10547,9476,8181,6645,5396,5340,3744,2929,1283,1384,169
9,9,2764,Bheden,370,139212,71097,68115,10869,10878,13346,14127,12975,11770,10520,10475,9411,8125,6599,5360,5304,3718,2909,1274,1374,168
10,10,2765,Bargarh,370,179348,92307,87041,14002,14015,17194,18200,16716,15164,13553,13495,12125,10468,8502,6905,6833,4790,3748,1642,1771,217
11,11,2766,Bargarh Sadar ,370,85657,43815,41842,6687,6693,8211,8692,7983,7242,6472,6445,5791,4999,4060,3298,3263,2288,1790,784,845,103
12,12,2767,Bhatli,370,98695,49733,48962,7705,7712,9461,10015,9198,8344,7458,7426,6672,5760,4679,3800,3760,2636,2062,903,974,119
13,13,2768,Ambabhona,370,71807,36165,35642,5606,5611,6884,7287,6692,6071,5426,5403,4854,4191,3404,2764,2736,1918,1500,657,709,87
14,14,2769,Attabira,370,171880,87357,84523,13419,13431,16478,17442,16020,14532,12988,12933,11620,10032,8148,6618,6549,4591,3592,1573,1697,208
15,15,2770,Rengali,371,67185,34031,33154,5273,5543,6475,6748,6862,6213,5237,5013,4390,3846,3001,2369,2209,1511,1131,563,638,152
16,16,2771,Lakhanpur,371,38240,19186,19054,3001,3155,3685,3840,3906,3536,2980,2853,2499,2189,1708,1348,1257,860,643,320,363,86
