,Unnamed: 0,Statecode,Districtcode,VillageCode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,21,373,287800,353,238,115,31,33,38,33,31,29,26,25,22,19,15,13,12,7,6,2,2,0
1,1,21,373,287900,74,42,32,6,7,8,7,6,6,5,5,4,4,3,2,2,1,1,0,0,0
2,2,21,373,288000,188,93,95,16,18,20,17,16,15,13,13,11,10,8,6,6,4,3,1,1,0
3,3,21,373,288100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,21,373,288200,493,250,243,43,47,54,46,43,41,36,35,30,26,21,18,18,11,8,3,4,1
5,5,21,373,288300,213,99,114,18,20,23,20,18,18,15,15,13,11,9,7,7,4,3,1,1,0
6,6,21,373,288400,485,248,237,42,46,53,46,43,41,35,34,30,26,21,17,17,10,8,3,3,1
7,7,21,373,288500,178,91,87,15,17,19,16,15,15,13,12,11,9,7,6,6,4,3,1,1,0
8,8,21,373,288600,152,75,77,13,14,16,14,13,12,11,10,9,8,6,5,5,3,2,1,1,0
9,9,21,373,288700,83,41,42,7,7,9,7,7,7,6,5,5,4,3,3,3,1,1,0,0,0
10,10,21,373,288800,292,143,149,25,27,32,27,25,24,21,20,18,15,12,10,10,6,5,2,2,0
11,11,21,373,288900,250,124,126,22,23,27,23,22,21,18,17,15,13,10,9,9,5,4,1,2,0
12,12,21,373,289000,974,482,492,86,93,107,92,86,82,71,69,60,52,42,35,35,21,17,7,7,2
13,13,21,373,289100,816,399,417,72,78,89,77,72,69,60,58,50,44,35,30,29,18,14,5,6,1
14,14,21,373,289200,522,246,276,46,50,57,49,46,44,38,37,32,28,22,19,19,11,9,3,4,1
15,15,21,373,289300,1001,487,514,88,95,109,95,89,84,73,71,62,54,43,36,36,22,17,7,8,2
16,16,21,373,289400,752,368,384,66,72,82,71,66,63,55,53,46,40,32,27,27,16,13,5,6,1
17,17,21,373,289500,105,45,60,9,10,11,10,9,8,7,7,6,5,4,3,3,2,1,0,0,0
18,18,21,373,289600,505,253,252,44,48,55,48,44,42,37,36,31,27,22,18,18,11,8,3,4,1
19,19,21,373,289700,337,170,167,29,32,37,32,29,28,24,24,21,18,14,12,12,7,5,2,2,0
20,20,21,373,289800,76,32,44,6,7,8,7,6,6,5,5,4,4,3,2,2,1,1,0,0,0
21,21,21,373,289900,377,190,187,33,36,41,35,33,32,27,26,23,20,16,13,13,8,6,2,3,0
22,22,21,373,290000,120,64,56,10,11,13,11,10,10,8,8,7,6,5,4,4,2,2,0,0,0
23,23,21,373,290100,540,277,263,47,51,59,51,48,45,39,38,33,29,23,19,19,12,9,3,4,1
24,24,21,373,290200,715,358,357,63,68,78,68,63,60,52,51,44,38,31,26,26,16,12,5,5,1
25,25,21,373,290300,99,52,47,8,9,10,9,8,8,7,7,6,5,4,3,3,2,1,0,0,0
26,26,21,373,290400,58,29,29,5,5,6,5,5,4,4,4,3,3,2,2,2,1,1,0,0,0
27,27,21,373,290500,198,93,105,17,18,21,18,17,16,14,14,12,10,8,7,7,4,3,1,1,0
28,28,21,373,290600,97,49,48,8,9,10,9,8,8,7,6,6,5,4,3,3,2,1,0,0,0
29,29,21,373,290700,150,69,81,13,14,16,14,13,12,11,10,9,8,6,5,5,3,2,1,1,0
30,30,21,373,290800,211,105,106,18,20,23,20,18,17,15,15,13,11,9,7,7,4,3,1,1,0
31,31,21,373,290900,816,423,393,72,78,89,77,72,69,60,58,50,44,35,30,29,18,14,5,6,1
32,32,21,373,291000,133,60,73,11,12,14,12,11,11,9,9,8,7,5,4,4,2,2,0,1,0
33,33,21,373,291100,199,101,98,17,19,21,18,17,16,14,14,12,10,8,7,7,4,3,1,1,0
34,34,21,373,291200,217,112,105,19,20,23,20,19,18,16,15,13,11,9,7,7,4,3,1,1,0
35,35,21,373,291300,234,123,111,20,22,25,22,20,19,17,16,14,12,10,8,8,5,4,1,1,0
36,36,21,373,291400,112,52,60,9,10,12,10,9,9,8,7,6,6,4,4,4,2,1,0,0,0
37,37,21,373,291500,190,99,91,16,18,20,18,16,16,14,13,11,10,8,6,6,4,3,1,1,0
38,38,21,373,291600,161,83,78,14,15,17,15,14,13,11,11,10,8,7,5,5,3,2,1,1,0
39,39,21,373,291700,230,111,119,20,22,25,21,20,19,16,16,14,12,10,8,8,5,4,1,1,0
40,40,21,373,291800,140,65,75,12,13,15,13,12,11,10,9,8,7,6,5,5,3,2,1,1,0
41,41,21,373,291900,156,78,78,13,14,17,14,13,13,11,11,9,8,6,5,5,3,2,1,1,0
42,42,21,373,292000,172,88,84,15,16,18,16,15,14,12,12,10,9,7,6,6,3,3,1,1,0
43,43,21,373,292100,457,226,231,40,43,50,43,40,38,33,32,28,24,20,16,16,10,8,3,3,0
44,44,21,373,292200,155,76,79,13,14,17,14,13,13,11,11,9,8,6,5,5,3,2,1,1,0
45,45,21,373,292300,332,170,162,29,31,36,31,29,28,24,23,20,17,14,12,12,7,5,2,2,0
46,46,21,373,292400,390,205,185,34,37,42,37,34,33,28,27,24,21,17,14,14,8,6,2,3,0
47,47,21,373,292500,31,15,16,2,2,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0
48,48,21,373,292600,12,3,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,49,21,373,292700,38,23,15,3,3,4,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0
50,50,21,373,292800,284,145,139,25,27,31,27,25,24,20,20,17,15,12,10,10,6,5,2,2,0
51,51,21,373,292900,139,68,71,12,13,15,13,12,11,10,9,8,7,6,5,5,3,2,1,1,0
52,52,21,373,293000,152,80,72,13,14,16,14,13,12,11,10,9,8,6,5,5,3,2,1,1,0
53,53,21,373,293100,270,125,145,23,25,29,25,24,22,19,19,16,14,11,9,9,6,4,1,2,0
54,54,21,373,293200,188,94,94,16,18,20,17,16,15,13,13,11,10,8,6,6,4,3,1,1,0
55,55,21,373,293300,40,20,20,3,3,4,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0
56,56,21,373,293400,352,182,170,31,33,38,33,31,29,25,25,21,19,15,12,12,7,6,2,2,0
57,57,21,373,293500,350,175,175,30,33,38,33,31,29,25,24,21,18,15,12,12,7,6,2,2,0
58,58,21,373,293600,208,111,97,18,19,22,19,18,17,15,14,12,11,9,7,7,4,3,1,1,0
59,59,21,373,293700,1533,735,798,135,146,168,146,136,130,113,109,95,82,67,56,56,34,27,11,12,3
60,60,21,373,293800,1339,671,668,118,128,147,127,119,113,98,95,83,72,58,49,48,30,23,9,10,2
61,61,21,373,293900,135,64,71,11,12,14,12,12,11,9,9,8,7,5,4,4,3,2,0,1,0
62,62,21,373,294000,492,235,257,43,47,54,46,43,41,36,35,30,26,21,18,17,11,8,3,4,1
63,63,21,373,294100,86,40,46,7,8,9,8,7,7,6,6,5,4,3,3,3,1,1,0,0,0
64,64,21,373,294200,426,207,219,37,40,46,40,37,36,31,30,26,23,18,15,15,9,7,3,3,0
65,65,21,373,294300,135,66,69,11,12,14,12,12,11,9,9,8,7,5,4,4,3,2,0,1,0
66,66,21,373,294400,381,194,187,33,36,41,36,33,32,28,27,23,20,16,14,13,8,6,2,3,0
67,67,21,373,294500,408,191,217,36,39,44,38,36,34,30,29,25,22,17,15,14,9,7,2,3,0
68,68,21,373,294600,104,49,55,9,9,11,9,9,8,7,7,6,5,4,3,3,2,1,0,0,0
69,69,21,373,294700,446,223,223,39,42,49,42,39,37,32,31,27,24,19,16,16,10,7,3,3,0
70,70,21,373,294800,149,69,80,13,14,16,14,13,12,10,10,9,8,6,5,5,3,2,1,1,0
71,71,21,373,294900,293,148,145,25,28,32,27,26,24,21,20,18,15,12,10,10,6,5,2,2,0
72,72,21,373,295000,64,32,32,5,6,7,6,5,5,4,4,3,3,2,2,2,1,1,0,0,0
73,73,21,373,295100,846,423,423,74,81,92,80,75,71,62,60,52,45,37,31,30,19,14,6,6,1
74,74,21,373,295200,65,29,36,5,6,7,6,5,5,4,4,4,3,2,2,2,1,1,0,0,0
75,75,21,373,295300,131,68,63,11,12,14,12,11,11,9,9,8,7,5,4,4,2,2,0,1,0
76,76,21,373,295400,48,24,24,4,4,5,4,4,4,3,3,2,2,2,1,1,1,0,0,0,0
77,77,21,373,295500,514,247,267,45,49,56,48,45,43,37,36,32,27,22,18,18,11,9,3,4,1
78,78,21,373,295600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,21,373,295700,665,326,339,58,63,73,63,59,56,49,47,41,36,29,24,24,14,11,4,5,1
80,80,21,373,295800,126,53,73,11,12,13,12,11,10,9,8,7,6,5,4,4,2,2,0,1,0
81,81,21,373,295900,160,82,78,14,15,17,15,14,13,11,11,9,8,7,5,5,3,2,1,1,0
