,Unnamed: 0,Statecode,Districtcode,VillageCode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,21,393,4001600,92,42,50,8,8,9,8,7,7,6,6,5,5,4,3,3,2,1,0,0,0
1,1,21,393,4001700,211,104,107,19,19,21,20,17,16,14,14,13,11,9,7,8,5,4,1,2,0
2,2,21,393,4001800,92,43,49,8,8,9,8,7,7,6,6,5,5,4,3,3,2,1,0,0,0
3,3,21,393,4001900,1194,593,601,110,112,121,114,101,93,84,84,76,65,52,44,48,32,24,10,12,2
4,4,21,393,4002000,201,106,95,18,19,20,19,17,15,14,14,12,11,8,7,8,5,4,1,2,0
5,5,21,393,4002100,985,454,531,91,93,100,94,83,77,69,69,62,54,43,36,39,26,19,8,10,2
6,6,21,393,4002200,716,355,361,66,67,73,68,60,56,50,50,45,39,31,26,28,19,14,6,7,1
7,7,21,393,4002300,490,229,261,45,46,49,46,41,38,34,34,31,26,21,18,19,13,9,4,5,1
8,8,21,393,4002400,646,329,317,59,61,65,61,54,50,45,45,41,35,28,24,26,17,13,5,6,1
9,9,21,393,4002500,628,318,310,58,59,64,59,53,49,44,44,40,34,27,23,25,16,12,5,6,1
10,10,21,393,4002600,393,212,181,36,37,40,37,33,30,27,27,25,21,17,14,15,10,7,3,4,0
11,11,21,393,4002700,1248,611,637,115,118,127,119,105,97,88,88,79,68,55,46,50,33,25,10,12,3
12,12,21,393,4002800,1031,495,536,95,97,105,98,87,80,73,73,65,56,45,38,41,27,20,9,10,2
13,13,21,393,4002900,575,267,308,53,54,58,54,48,45,40,40,36,31,25,21,23,15,11,5,5,1
14,14,21,393,4003000,942,472,470,87,89,96,89,79,73,66,66,60,51,41,35,38,25,19,8,9,2
15,15,21,393,4003100,1235,603,632,114,116,125,117,104,96,87,87,78,68,54,46,49,33,24,10,12,3
16,16,21,393,4003200,375,188,187,34,35,38,35,31,29,26,26,23,20,16,14,15,10,7,3,3,0
17,17,21,393,4003300,252,115,137,23,23,25,24,21,19,17,17,16,13,11,9,10,6,5,2,2,0
18,18,21,393,4003400,622,301,321,57,58,63,59,52,48,44,44,39,34,27,23,25,16,12,5,6,1
19,19,21,393,4003500,955,485,470,88,90,97,91,81,74,67,67,60,52,42,35,38,25,19,8,9,2
20,20,21,393,4003600,901,445,456,83,85,91,86,76,70,63,63,57,49,39,33,36,24,18,7,9,2
21,21,21,393,4003700,288,138,150,26,27,29,27,24,22,20,20,18,15,12,10,11,7,5,2,2,0
22,22,21,393,4003800,229,104,125,21,21,23,21,19,17,16,16,14,12,10,8,9,6,4,2,2,0
23,23,21,393,4003900,855,436,419,79,80,87,81,72,66,60,60,54,47,37,32,34,23,17,7,8,2
24,24,21,393,4004000,311,165,146,28,29,31,29,26,24,22,22,19,17,13,11,12,8,6,2,3,0
25,25,21,393,4004100,241,114,127,22,22,24,23,20,18,17,17,15,13,10,9,9,6,4,2,2,0
26,26,21,393,4004200,577,279,298,53,54,58,55,48,45,40,40,36,31,25,21,23,15,11,5,5,1
27,27,21,393,4004300,562,278,284,52,53,57,53,47,44,39,39,35,30,24,21,22,15,11,4,5,1
28,28,21,393,4004400,211,96,115,19,19,21,20,17,16,14,14,13,11,9,7,8,5,4,1,2,0
29,29,21,393,4004500,323,145,178,29,30,32,30,27,25,22,22,20,17,14,12,13,8,6,2,3,0
30,30,21,393,4004600,267,127,140,24,25,27,25,22,20,18,18,17,14,11,9,10,7,5,2,2,0
31,31,21,393,4004700,862,422,440,80,81,87,82,73,67,61,61,55,47,38,32,34,23,17,7,8,2
32,32,21,393,4004800,595,310,285,55,56,60,56,50,46,42,42,37,32,26,22,24,16,12,5,6,1
33,33,21,393,4004900,599,285,314,55,56,61,57,50,46,42,42,38,32,26,22,24,16,12,5,6,1
34,34,21,393,4005000,106,54,52,9,10,10,10,8,8,7,7,6,5,4,3,4,2,2,0,1,0
35,35,21,393,4005100,307,152,155,28,29,31,29,26,24,21,21,19,16,13,11,12,8,6,2,3,0
36,36,21,393,4005200,552,283,269,51,52,56,52,46,43,39,39,35,30,24,20,22,14,11,4,5,1
37,37,21,393,4005300,698,337,361,64,66,71,66,59,54,49,49,44,38,30,26,28,18,14,6,7,1
38,38,21,393,4005400,828,425,403,76,78,84,79,70,64,58,58,52,45,36,30,33,22,16,7,8,2
39,39,21,393,4005500,512,212,300,47,48,52,48,43,40,36,36,32,28,22,19,20,13,10,4,5,1
40,40,21,393,4005600,1179,552,627,109,111,120,112,100,92,83,83,75,64,52,44,47,31,23,10,12,2
41,41,21,393,4005700,1234,587,647,114,116,125,117,104,96,87,87,78,67,54,46,49,33,24,10,12,3
42,42,21,393,4005800,488,244,244,45,46,49,46,41,38,34,34,31,26,21,18,19,13,9,4,5,1
43,43,21,393,4005900,1223,618,605,113,115,124,116,103,95,86,86,78,67,54,45,49,32,24,10,12,3
44,44,21,393,4006000,667,326,341,61,63,68,63,56,52,47,47,42,36,29,24,26,17,13,5,6,1
45,45,21,393,4006100,985,480,505,91,93,100,94,83,77,69,69,62,54,43,36,39,26,19,8,10,2
46,46,21,393,4006200,156,69,87,14,14,15,14,13,12,11,11,9,8,6,5,6,4,3,1,1,0
47,47,21,393,4006300,148,67,81,13,14,15,14,12,11,10,10,9,8,6,5,5,3,2,1,1,0
48,48,21,393,4006400,575,287,288,53,54,58,54,48,45,40,40,36,31,25,21,23,15,11,5,5,1
49,49,21,393,4006500,668,328,340,62,63,68,63,56,52,47,47,42,36,29,25,27,18,13,5,6,1
50,50,21,393,4006600,288,142,146,26,27,29,27,24,22,20,20,18,15,12,10,11,7,5,2,2,0
51,51,21,393,4006700,72,43,29,6,6,7,6,6,5,5,5,4,3,3,2,2,1,1,0,0,0
52,52,21,393,4006800,1144,575,569,106,108,116,109,97,89,81,81,73,63,50,42,46,30,23,10,11,2
53,53,21,393,4006900,559,289,270,51,52,57,53,47,43,39,39,35,30,24,20,22,15,11,4,5,1
54,54,21,393,4007000,602,299,303,55,56,61,57,51,47,42,42,38,33,26,22,24,16,12,5,6,1
55,55,21,393,4007100,839,419,420,77,79,85,80,71,65,59,59,53,46,37,31,33,22,16,7,8,2
56,56,21,393,4007200,412,206,206,38,38,42,39,34,32,29,29,26,22,18,15,16,11,8,3,4,1
57,57,21,393,4007300,313,147,166,29,29,31,29,26,24,22,22,19,17,13,11,12,8,6,2,3,0
58,58,21,393,4007400,1033,564,469,95,97,105,98,87,80,73,73,65,56,45,38,41,27,20,9,10,2
59,59,21,393,4007500,727,372,355,67,68,74,69,61,56,51,51,46,40,32,27,29,19,14,6,7,1
60,60,21,393,4007600,1267,592,675,117,119,129,121,107,99,89,89,80,69,56,47,51,34,25,11,13,3
61,61,21,393,4007700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,21,393,4007800,661,324,337,61,62,67,63,56,51,46,46,42,36,29,24,26,17,13,5,6,1
63,63,21,393,4007900,1189,592,597,110,112,121,113,100,93,84,84,75,65,52,44,48,32,23,10,12,2
64,64,21,393,4008000,318,162,156,29,30,32,30,26,24,22,22,20,17,14,11,12,8,6,2,3,0
65,65,21,393,4008100,927,454,473,86,87,94,88,78,72,65,65,59,51,41,34,37,25,18,8,9,2
66,66,21,393,4008200,507,249,258,47,47,51,48,43,39,36,35,32,27,22,18,20,13,10,4,5,1
67,67,21,393,4008300,528,249,279,49,49,53,50,44,41,37,37,33,29,23,19,21,14,10,4,5,1
68,68,21,393,4008400,778,381,397,72,73,79,74,66,60,55,55,49,42,34,29,31,20,15,6,8,1
