,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,382,2063000,210,104,106
1,21,382,2063100,0,0,0
2,21,382,2063200,205,99,106
3,21,382,2063300,446,225,221
4,21,382,2063400,323,158,165
5,21,382,2063500,242,133,109
6,21,382,2063600,644,322,322
7,21,382,2063700,1356,676,680
8,21,382,2063800,383,181,202
9,21,382,2063900,1977,1067,910
10,21,382,2064000,4264,2225,2039
11,21,382,2064100,399,201,198
12,21,382,2064200,708,345,363
13,21,382,2064300,528,275,253
14,21,382,2064400,3515,1898,1617
15,21,382,2064500,1068,549,519
16,21,382,2064600,422,207,215
17,21,382,2064700,380,193,187
18,21,382,2064800,1278,678,600
19,21,382,2064900,835,417,418
20,21,382,2065000,349,165,184
21,21,382,2065100,315,157,158
22,21,382,2065200,399,233,166
23,21,382,2065300,907,460,447
24,21,382,2065400,268,136,132
25,21,382,2065500,481,245,236
26,21,382,2065600,5556,2915,2641
27,21,382,2065700,930,447,483
28,21,382,2065800,349,180,169
29,21,382,2065900,299,158,141
30,21,382,2066000,575,281,294
31,21,382,2066100,590,306,284
32,21,382,2066200,223,119,104
33,21,382,2066300,0,0,0
34,21,382,2066400,397,190,207
35,21,382,2066500,1039,526,513
36,21,382,2066600,597,289,308
37,21,382,2066700,875,455,420
38,21,382,2066800,445,240,205
39,21,382,2066900,819,426,393
40,21,382,2067000,141,73,68
41,21,382,2067100,918,508,410
42,21,382,2067200,293,155,138
43,21,382,2067300,1018,515,503
44,21,382,2067400,255,127,128
45,21,382,2067500,0,0,0
46,21,382,2067600,386,192,194
47,21,382,2067700,750,375,375
48,21,382,2067800,375,190,185
49,21,382,2067900,840,452,388
50,21,382,2068000,0,0,0
51,21,382,2068100,0,0,0
52,21,382,2068200,871,444,427
53,21,382,2068300,96,53,43
54,21,382,2068400,866,443,423
55,21,382,2068500,314,160,154
56,21,382,2068600,131,78,53
57,21,382,2068700,0,0,0
58,21,382,2068800,269,134,135
59,21,382,2068900,1454,768,686
60,21,382,2069000,213,117,96
61,21,382,2069100,283,130,153
62,21,382,2069200,831,423,408
63,21,382,2069300,310,162,148
64,21,382,2069400,1192,608,584
65,21,382,2069500,427,231,196
66,21,382,2069600,417,211,206
67,21,382,2069700,210,102,108
68,21,382,2069800,840,438,402
69,21,382,2069900,0,0,0
70,21,382,2070000,559,290,269
71,21,382,2070100,1451,752,699
72,21,382,2070200,857,444,413
73,21,382,2070300,2711,1368,1343
74,21,382,2070400,2722,1400,1322
75,21,382,2070500,1054,521,533
76,21,382,2070600,421,226,195
77,21,382,2070700,1037,523,514
78,21,382,2070800,302,158,144
79,21,382,2070900,814,400,414
80,21,382,2071000,1262,639,623
81,21,382,2071100,1863,958,905
82,21,382,2071200,686,351,335
83,21,382,2071300,1750,853,897
84,21,382,2071400,1397,713,684
85,21,382,2071500,509,257,252
86,21,382,2071600,475,235,240
87,21,382,2071700,740,427,313
88,21,382,2071800,0,0,0
89,21,382,2071900,835,420,415
90,21,382,2072000,379,193,186
91,21,382,2072100,794,392,402
92,21,382,2072200,340,177,163
93,21,382,2072300,984,511,473
94,21,382,2072400,967,501,466
95,21,382,2072500,268,129,139
96,21,382,2072600,529,264,265
97,21,382,2072700,639,306,333
98,21,382,2072800,258,126,132
99,21,382,2072900,54,23,31
100,21,382,2073000,633,322,311
101,21,382,2073100,595,306,289
102,21,382,2073200,0,0,0
103,21,382,2073300,1305,658,647
104,21,382,2073400,509,260,249
105,21,382,2073500,0,0,0
106,21,382,2073600,861,439,422
107,21,382,2073700,1809,930,879
108,21,382,2073800,1817,940,877
109,21,382,2073900,904,472,432
110,21,382,2074000,645,343,302
111,21,382,2074100,142,67,75
112,21,382,2074200,1067,551,516
113,21,382,2074300,5161,2626,2535
114,21,382,2074400,1420,684,736
115,21,382,2074500,322,170,152
116,21,382,2074600,1820,945,875
117,21,382,2074700,0,0,0
118,21,382,2074800,1535,789,746
119,21,382,2074900,1693,857,836
120,21,382,2075000,532,284,248
121,21,382,2075100,422,216,206
122,21,382,2075200,696,349,347
123,21,382,2075300,942,485,457
124,21,382,2075400,319,158,161
125,21,382,2075500,0,0,0
126,21,382,2075600,1031,536,495
127,21,382,2075700,787,396,391
128,21,382,2075800,1090,577,513
129,21,382,2075900,825,398,427
130,21,382,2076000,1493,751,742
131,21,382,2076100,1419,743,676
132,21,382,2076200,3153,1628,1525
133,21,382,2076300,161,87,74
134,21,382,2076400,0,0,0
135,21,382,2076500,2611,1364,1247
136,21,382,2076600,1070,562,508
137,21,382,2076700,0,0,0
138,21,382,2076800,0,0,0
139,21,382,2076900,628,326,302
140,21,382,2077000,202,107,95
141,21,382,2077100,1833,948,885
142,21,382,2077200,0,0,0
143,21,382,2077300,0,0,0
144,21,382,2077400,144,79,65
145,21,382,2077500,749,387,362
146,21,382,2077600,2978,1528,1450
147,21,382,2077700,640,318,322
148,21,382,2077800,607,311,296
149,21,382,2077900,0,0,0
150,21,382,2078000,380,201,179
151,21,382,2078100,0,0,0
152,21,382,2078200,0,0,0
153,21,382,2078300,0,0,0
154,21,382,2078400,0,0,0
155,21,382,2078500,0,0,0
156,21,382,2078600,0,0,0
157,21,382,2078700,3376,1720,1656
158,21,382,2078800,2006,1018,988
159,21,382,2078900,836,400,436
160,21,382,2079000,1102,567,535
161,21,382,2079100,739,386,353
162,21,382,2079200,1141,593,548
163,21,382,2079300,825,398,427
164,21,382,2079400,620,310,310
165,21,382,2079500,733,364,369
166,21,382,2079600,775,386,389
167,21,382,2079700,485,251,234
168,21,382,2079800,1428,747,681
169,21,382,2079900,1669,827,842
170,21,382,2080000,2304,1216,1088
171,21,382,2080100,232,105,127
172,21,382,2080200,162,81,81
173,21,382,2080300,2063,1069,994
174,21,382,2080400,1471,772,699
175,21,382,2080500,281,141,140
176,21,382,2080600,2750,1494,1256
177,21,382,2080700,535,267,268
178,21,382,2080800,766,358,408
179,21,382,2080900,1384,692,692
180,21,382,2081000,727,359,368
181,21,382,2081100,1371,725,646
182,21,382,2081200,145,66,79
183,21,382,2081300,1053,538,515
184,21,382,2081400,657,334,323
185,21,382,2081500,3108,1604,1504
186,21,382,2081600,421,212,209
187,21,382,2081700,701,335,366
188,21,382,2081800,1409,735,674
189,21,382,2081900,1249,607,642
190,21,382,2082000,0,0,0
191,21,382,2082100,812,419,393
192,21,382,2082200,0,0,0
193,21,382,2082300,1724,891,833
194,21,382,2082400,292,144,148
195,21,382,2082500,651,308,343
196,21,382,2082600,0,0,0
197,21,382,2082700,292,149,143
198,21,382,2082800,1532,810,722
199,21,382,2082900,0,0,0
200,21,382,2083000,1509,770,739
201,21,382,2083100,2,2,0
202,21,382,2083200,649,324,325
203,21,382,2083300,1229,634,595
204,21,382,2083400,0,0,0
205,21,382,2083500,1926,989,937
206,21,382,2083600,798,403,395
207,21,382,2083700,876,442,434
208,21,382,2083800,779,404,375
209,21,382,2083900,815,404,411
210,21,382,2084000,457,233,224
211,21,382,2084100,298,146,152
212,21,382,2084200,445,230,215
213,21,382,2084300,444,229,215
214,21,382,2084400,303,145,158
215,21,382,2084500,1244,640,604
216,21,382,2084600,1753,918,835
217,21,382,2084700,251,128,123
218,21,382,2084800,400,197,203
219,21,382,2084900,626,329,297
220,21,382,2085000,816,396,420
221,21,382,2085100,703,366,337
222,21,382,2085200,867,442,425
223,21,382,2085300,0,0,0
224,21,382,2085400,0,0,0
225,21,382,2085500,0,0,0
226,21,382,2085600,1424,726,698
227,21,382,2085700,46,19,27
228,21,382,2085800,87,45,42
229,21,382,2085900,1405,731,674
230,21,382,2086000,384,183,201
231,21,382,2086100,983,497,486
232,21,382,2086200,403,207,196
233,21,382,2086300,612,333,279
234,21,382,2086400,1090,556,534
