,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,374,375300,568,299,269
1,21,374,375400,692,354,338
2,21,374,375500,9,4,5
3,21,374,375600,412,221,191
4,21,374,375700,85,45,40
5,21,374,375800,128,65,63
6,21,374,375900,83,50,33
7,21,374,376000,374,191,183
8,21,374,376100,144,65,79
9,21,374,376200,516,257,259
10,21,374,376300,315,158,157
11,21,374,376400,544,273,271
12,21,374,376500,31,14,17
13,21,374,376600,168,91,77
14,21,374,376700,324,174,150
15,21,374,376800,657,329,328
16,21,374,376900,194,96,98
17,21,374,377000,132,69,63
18,21,374,377100,926,453,473
19,21,374,377200,345,162,183
20,21,374,377300,947,469,478
21,21,374,377400,598,319,279
22,21,374,377500,315,158,157
23,21,374,377600,1301,631,670
24,21,374,377700,337,177,160
25,21,374,377800,910,452,458
26,21,374,377900,1379,682,697
27,21,374,378000,1221,574,647
28,21,374,378100,373,190,183
29,21,374,378200,1373,702,671
30,21,374,378300,1501,765,736
31,21,374,378400,1025,503,522
32,21,374,378500,3834,2090,1744
33,21,374,378600,2062,1033,1029
34,21,374,378700,648,325,323
35,21,374,378800,2985,1769,1216
36,21,374,378900,631,319,312
37,21,374,379000,1478,722,756
38,21,374,379100,318,159,159
39,21,374,379200,906,453,453
40,21,374,379300,0,0,0
41,21,374,379400,383,176,207
42,21,374,379500,437,235,202
43,21,374,379600,784,387,397
44,21,374,379700,893,460,433
45,21,374,379800,1308,672,636
46,21,374,379900,494,245,249
47,21,374,380000,731,417,314
48,21,374,380100,155,67,88
49,21,374,380200,3237,1610,1627
50,21,374,380300,1088,544,544
51,21,374,380400,24,13,11
52,21,374,380500,1697,829,868
53,21,374,380600,1943,974,969
54,21,374,380700,1017,493,524
55,21,374,380800,374,191,183
56,21,374,380900,388,190,198
57,21,374,381000,2999,1498,1501
58,21,374,381100,418,221,197
59,21,374,381200,239,113,126
60,21,374,381300,316,156,160
61,21,374,381400,112,45,67
62,21,374,381500,1071,535,536
63,21,374,381600,381,180,201
64,21,374,381700,727,363,364
65,21,374,381800,1077,539,538
66,21,374,381900,1452,711,741
67,21,374,382000,516,267,249
68,21,374,382100,1021,521,500
69,21,374,382200,530,275,255
70,21,374,382300,610,300,310
71,21,374,382400,1354,663,691
72,21,374,382500,1054,529,525
73,21,374,382600,171,94,77
74,21,374,382700,228,117,111
75,21,374,382800,1659,836,823
76,21,374,382900,208,108,100
77,21,374,383000,1230,619,611
78,21,374,383100,721,374,347
79,21,374,383200,568,287,281
80,21,374,383300,433,229,204
81,21,374,383400,461,216,245
82,21,374,383500,632,308,324
83,21,374,383600,145,72,73
84,21,374,383700,1102,544,558
85,21,374,383800,346,183,163
86,21,374,383900,246,122,124
87,21,374,384000,407,200,207
88,21,374,384100,743,381,362
89,21,374,384200,585,300,285
90,21,374,384300,302,159,143
91,21,374,384400,4,3,1
92,21,374,384500,622,306,316
93,21,374,384600,252,138,114
94,21,374,384700,147,68,79
95,21,374,384800,316,162,154
96,21,374,384900,123,63,60
97,21,374,385000,78,45,33
98,21,374,385100,0,0,0
99,21,374,385200,4893,2455,2438
100,21,374,385300,121,60,61
101,21,374,385400,452,226,226
102,21,374,385500,306,156,150
103,21,374,385600,342,174,168
104,21,374,385700,271,140,131
105,21,374,385800,262,135,127
106,21,374,385900,341,174,167
107,21,374,386000,315,148,167
108,21,374,386100,392,204,188
109,21,374,386200,1455,719,736
110,21,374,386300,383,201,182
111,21,374,386400,231,122,109
112,21,374,386500,153,78,75
113,21,374,386600,246,114,132
114,21,374,386700,207,105,102
115,21,374,386800,67,33,34
116,21,374,386900,3,2,1
117,21,374,387000,791,403,388
118,21,374,387100,381,191,190
119,21,374,387200,174,94,80
120,21,374,387300,0,0,0
121,21,374,387400,121,58,63
122,21,374,387500,156,73,83
123,21,374,387600,231,137,94
124,21,374,387700,4001,1975,2026
125,21,374,387800,252,137,115
126,21,374,387900,247,138,109
127,21,374,388000,111,60,51
128,21,374,388100,1211,632,579
129,21,374,388200,436,228,208
130,21,374,388300,140,63,77
131,21,374,388400,1206,607,599
132,21,374,388500,802,390,412
133,21,374,388600,136,75,61
134,21,374,388700,280,138,142
135,21,374,388800,0,0,0
136,21,374,388900,183,92,91
