,Subdistcode,Subdistrict,Districtcode,Population,Males,Females
0,2755,Paikamal,370,83543,41566,41977
1,2756,Jharbandha,370,94232,46551,47680
2,2757,Padmapur,370,73857,37139,36718
3,2758,BurdenP.S.,370,30229,14943,15286
4,2759,Gaisilet,370,70389,35225,35164
5,2760,Melchhamunda,370,63841,32043,31797
6,2761,Sohela,370,95041,48170,46870
7,2762,Bijepur,370,97593,49187,48406
8,2763,Barapali,370,116587,59620,56967
9,2764,Bheden,370,115795,59137,56658
10,2765,Bargarh,370,149181,76780,72400
11,2766,Bargarh Sadar ,370,71248,36444,34804
12,2767,Bhatli,370,82094,41367,40726
13,2768,Ambabhona,370,59729,30081,29647
14,2769,Attabira,370,142968,72663,70305
15,2770,Rengali,371,52893,26792,26101
16,2771,Lakhanpur,371,30105,15104,15001
17,2772,Belpahar,371,37502,19436,18065
18,2773,Banaharapali,371,38735,19934,18800
19,2774,Orient,371,70986,36945,34041
20,2775,Brajarajnagar,371,23294,11864,11430
21,2776,Jharsuguda,371,108026,55970,52055
22,2777,Badmal ,371,24246,12918,11327
23,2778,Laikera,371,87215,43616,43599
24,2779,Kolabira,371,36708,18376,18332
25,2780,Govindpur,372,53148,26435,26713
26,2781,Mahulpalli,372,68867,34166,34700
27,2782,Kochinda,372,73393,36673,36719
28,2783,Katarbaga,372,26848,13457,13390
29,2784,Thelkoloi  ,372,24187,12390,11796
30,2785,Rengali ,372,24137,12385,11752
31,2786,Sasan,372,57326,29116,28210
32,2787,Hirakud,372,34048,17583,16464
33,2788,Burla,372,77119,39182,37936
34,2789,Dhanupali,372,6944,3591,3352
35,2790,Ainthapali,372,11347,5677,5669
36,2791,Sadar,372,41932,21278,20654
37,2792,Jamankira,372,53246,26536,26710
38,2793,Kisinda,372,18386,9222,9164
39,2794,Jujomura,372,51468,26009,25458
40,2795,Dhama,372,40062,20355,19706
41,2796,Charamal,372,26534,13368,13165
42,2797,Rairakhol,372,49878,25220,24657
43,2798,Naktideul,372,26555,13255,13300
44,2799,Sambalpur (M),372,170179,87585,82593
45,2800,Debagarh,373,94643,47895,46747
46,2801,Barkot,373,63928,32421,31506
47,2802,Kundheigola,373,45976,23612,22364
48,2803,Reamal,373,69560,34852,34707
49,2804,Hemgir,374,73945,37314,36631
50,2805,Lephripara,374,61692,30934,30757
51,2806,Bhasma,374,36816,18525,18291
52,2807,Dharuadihi,374,30980,15466,15513
53,2808,Sundargarh Town,374,42822,21646,21176
54,2809,Sundargarh ,374,64828,32192,32636
55,2810,Kinjirkela,374,50240,24873,25366
56,2811,Talasara,374,70345,34702,35643
57,2812,Baragaon,374,68159,34090,34068
58,2813,Kutra,374,58119,29105,29014
59,2814,Rajagangapur,374,145278,73179,72099
