,State,Districtcode,Subdistcode,Town/Village,Ward,EB,Level,Subdistrict,TRU,No_HH,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,21,370,2755,0,0,0,SUB-DISTRICT,Paikamal,Total,22369,91916,45732,46184,11791,5972,5819,13544,6754,6790,35209,17525,17684,52917,30855,22062,38999,14877,24122,46853,26955,19898,25292,19400,5892,9893,8784,1109,10334,6594,3740,476,399,77,4589,3623,966,21561,7555,14006,2767,1165,1602,17373,5640,11733,276,103,173,1145,647,498,18373,6451,11922,2294,991,1303,14968,4882,10086,233,82,151,878,496,382,3188,1104,2084,473,174,299,2405,758,1647,43,21,22,267,151,116,45063,18777,26286
1,21,370,2756,0,0,0,SUB-DISTRICT,Jharbandha,Total,25578,103676,51217,52459,12918,6570,6348,16034,7777,8257,29886,14755,15131,61345,35017,26328,42331,16200,26131,57413,31362,26051,29937,23286,6651,15353,13103,2250,11028,7381,3647,439,355,84,3117,2447,670,27476,8076,19400,3983,1282,2701,22432,6329,16103,393,117,276,668,348,320,23071,6741,16330,3135,1062,2073,19063,5301,13762,325,91,234,548,287,261,4405,1335,3070,848,220,628,3369,1028,2341,68,26,42,120,61,59,46263,19855,26408
2,21,370,2757,0,0,0,SUB-DISTRICT,Padmapur,Total,19586,81259,40861,40398,9008,4755,4253,13557,6764,6793,17154,8550,8604,53092,29664,23428,28167,11197,16970,41705,25213,16492,24151,18950,5201,6045,5343,702,7788,5408,2380,2269,1525,744,8049,6674,1375,17554,6263,11291,2762,1062,1700,13001,4323,8678,714,224,490,1077,654,423,15059,5572,9487,1991,866,1125,11576,3971,7605,595,184,411,897,551,346,2495,691,1804,771,196,575,1425,352,1073,119,40,79,180,103,77,39554,15648,23906
3,21,370,2758,0,0,0,SUB-DISTRICT,BurdenP.S.,Total,8561,33259,16441,16818,4199,2089,2110,5823,2863,2960,8679,4201,4478,19772,11277,8495,13487,5164,8323,18096,10457,7639,10189,7922,2267,3911,3488,423,3229,2290,939,1380,842,538,1669,1302,367,7907,2535,5372,1141,392,749,5680,1692,3988,242,83,159,844,368,476,6736,2165,4571,1043,340,703,4899,1480,3419,206,66,140,588,279,309,1171,370,801,98,52,46,781,212,569,36,17,19,256,89,167,15163,5984,9179
4,21,370,2759,0,0,0,SUB-DISTRICT,Gaisilet,Total,20996,77443,38755,38688,9740,4907,4833,12279,6135,6144,15241,7603,7638,46192,26608,19584,31251,12147,19104,42712,24274,18438,17056,14662,2394,8334,8034,300,5437,4124,1313,495,359,136,2790,2145,645,25656,9612,16044,3142,1476,1666,20936,7259,13677,419,187,232,1159,690,469,20483,7820,12663,2588,1246,1342,16820,5966,10854,361,158,203,714,450,264,5173,1792,3381,554,230,324,4116,1293,2823,58,29,29,445,240,205,34731,14481,20250
5,21,370,2760,0,0,0,SUB-DISTRICT,Melchhamunda,Total,18224,70239,35255,34984,7691,3862,3829,13739,6881,6858,12949,6492,6457,47285,26642,20643,22954,8613,14341,46226,24445,21781,22326,17081,5245,10490,8453,2037,7091,4889,2202,1258,929,329,3487,2810,677,23900,7364,16536,5081,1771,3310,16809,4838,11971,1090,334,756,920,421,499,19492,5955,13537,3852,1317,2535,14040,4052,9988,856,233,623,744,353,391,4408,1409,2999,1229,454,775,2769,786,1983,234,101,133,176,68,108,24013,10810,13203
6,21,370,2761,0,0,0,SUB-DISTRICT,Sohela,Total,27666,104566,52998,51568,11479,5856,5623,20789,10559,10230,20330,10203,10127,70755,40016,30739,33811,12982,20829,56964,34016,22948,32432,26266,6166,12907,11664,1243,10174,7278,2896,2915,2063,852,6436,5261,1175,24532,7750,16782,4782,1526,3256,16192,4925,11267,1569,423,1146,1989,876,1113,19922,6070,13852,3851,1157,2694,13203,3860,9343,1295,331,964,1573,722,851,4610,1680,2930,931,369,562,2989,1065,1924,274,92,182,416,154,262,47602,18982,28620
7,21,370,2762,0,0,0,SUB-DISTRICT,Bijepur,Total,28663,107374,54117,53257,11780,6039,5741,21999,10985,11014,14064,7044,7020,71459,40548,30911,35915,13569,22346,59515,35077,24438,34145,27110,7035,12383,11401,982,10550,7316,3234,5331,3745,1586,5881,4648,1233,25370,7967,17403,3605,1124,2481,18079,5482,12597,1935,505,1430,1751,856,895,19966,6075,13891,2688,806,1882,14388,4286,10102,1609,396,1213,1281,587,694,5404,1892,3512,917,318,599,3691,1196,2495,326,109,217,470,269,201,47859,19040,28819
8,21,370,2763,0,0,0,SUB-DISTRICT,Barapali,Total,33101,128271,65595,62676,13377,6762,6615,27231,13859,13372,15869,8048,7821,87907,50328,37579,40364,15267,25097,67258,42193,25065,42304,33471,8833,15728,14275,1453,11092,7340,3752,4965,3267,1698,10519,8589,1930,24954,8722,16232,3712,1304,2408,16627,5431,11196,2167,604,1563,2448,1383,1065,20781,7531,13250,2830,1066,1764,14094,4816,9278,1878,492,1386,1979,1157,822,4173,1191,2982,882,238,644,2533,615,1918,289,112,177,469,226,243,61013,23402,37611
9,21,370,2764,0,0,0,SUB-DISTRICT,Bheden,Total,31968,127400,65064,62336,12632,6511,6121,33191,16899,16292,16251,8139,8112,88112,50269,37843,39288,14795,24493,63232,42291,20941,42126,33553,8573,16729,15376,1353,16819,11531,5288,2525,1694,831,6053,4952,1101,21106,8738,12368,1455,565,890,17656,7078,10578,497,178,319,1498,917,581,17705,7551,10154,1127,454,673,14948,6193,8755,408,161,247,1222,743,479,3401,1187,2214,328,111,217,2708,885,1823,89,17,72,276,174,102,64168,22773,41395
10,21,370,2765,0,0,0,SUB-DISTRICT,Bargarh,Total,38108,164131,84475,79656,17841,9147,8694,37498,19026,18472,13198,6578,6620,120085,66479,53606,44046,17996,26050,66536,49713,16823,55660,44733,10927,8332,7417,915,9149,5858,3291,3845,2603,1242,34334,28855,5479,10876,4980,5896,1281,389,892,4450,1481,2969,554,262,292,4591,2848,1743,9805,4372,5433,1144,353,791,4192,1400,2792,469,214,255,4000,2405,1595,1071,608,463,137,36,101,258,81,177,85,48,37,591,443,148,97595,34762,62833
11,21,370,2766,0,0,0,SUB-DISTRICT,Bargarh Sadar ,Total,19712,78389,40097,38292,8174,4249,3925,15444,7814,7630,10531,5384,5147,51718,29674,22044,26671,10423,16248,39199,26175,13024,26899,22022,4877,11078,10116,962,9294,6666,2628,1470,1013,457,5057,4227,830,12300,4153,8147,2413,901,1512,8112,2466,5646,706,254,452,1069,532,537,10726,3627,7099,2071,775,1296,7092,2178,4914,613,215,398,950,459,491,1574,526,1048,342,126,216,1020,288,732,93,39,54,119,73,46,39190,13922,25268
12,21,370,2767,0,0,0,SUB-DISTRICT,Bhatli,Total,21986,90321,45513,44808,9298,4687,4611,17018,8572,8446,20915,10539,10376,61331,34397,26934,28990,11116,17874,43812,29349,14463,32145,24997,7148,14203,12367,1836,9084,6170,2914,2677,1802,875,6181,4658,1523,11667,4352,7315,2094,756,1338,7143,2524,4619,1118,341,777,1312,731,581,9618,3542,6076,1528,556,972,6096,2130,3966,938,251,687,1056,605,451,2049,810,1239,566,200,366,1047,394,653,180,90,90,256,126,130,46509,16164,30345
13,21,370,2768,0,0,0,SUB-DISTRICT,Ambabhona,Total,15310,65715,33096,32619,6537,3377,3160,12952,6517,6435,17168,8527,8641,45848,25946,19902,19867,7150,12717,37331,21115,16216,26116,17320,8796,12211,8317,3894,8372,5171,3201,1507,757,750,4026,3075,951,11215,3795,7420,2839,707,2132,7002,2430,4572,273,101,172,1101,557,544,9650,3245,6405,2329,541,1788,6173,2165,4008,235,83,152,913,456,457,1565,550,1015,510,166,344,829,265,564,38,18,20,188,101,87,28384,11981,16403
14,21,370,2769,0,0,0,SUB-DISTRICT,Attabira,Total,38480,157296,79945,77351,16457,8484,7973,37682,19015,18667,33691,16954,16737,105965,59497,46468,51331,20448,30883,75240,50670,24570,53612,42033,11579,15899,15029,870,22997,15331,7666,3334,2160,1174,11382,9513,1869,21628,8637,12991,1860,774,1086,16720,6452,10268,1306,414,892,1742,997,745,18536,7581,10955,1616,666,950,14272,5702,8570,1100,332,768,1548,881,667,3092,1056,2036,244,108,136,2448,750,1698,206,82,124,194,116,78,82056,29275,52781
15,21,371,2770,0,0,0,SUB-DISTRICT,Rengali,Total,13923,60136,30461,29675,6464,3270,3194,12428,6190,6238,14056,7056,7000,41811,23577,18234,18325,6884,11441,29390,18707,10683,17200,14003,3197,6422,5843,579,4883,3532,1351,543,370,173,5352,4258,1094,12190,4704,7486,1801,803,998,7457,2561,4896,334,99,235,2598,1241,1357,9501,3878,5623,1416,678,738,6113,2218,3895,240,80,160,1732,902,830,2689,826,1863,385,125,260,1344,343,1001,94,19,75,866,339,527,30746,11754,18992
16,21,371,2771,0,0,0,SUB-DISTRICT,Lakhanpur,Total,7808,34228,17173,17055,3533,1844,1689,4942,2504,2438,16149,7977,8172,23314,13031,10283,10914,4142,6772,15525,10382,5143,9440,7557,1883,2661,2401,260,1322,955,367,524,313,211,4933,3888,1045,6085,2825,3260,685,402,283,3048,1324,1724,477,135,342,1875,964,911,4880,2433,2447,533,354,179,2389,1133,1256,380,114,266,1578,832,746,1205,392,813,152,48,104,659,191,468,97,21,76,297,132,165,18703,6791,11912
17,21,371,2772,0,0,0,SUB-DISTRICT,Belpahar,Total,9675,42637,22098,20539,5107,2605,2502,5060,2558,2502,10485,5213,5272,30661,17298,13363,11976,4800,7176,15379,12567,2812,13400,11387,2013,402,375,27,185,152,33,648,474,174,12165,10386,1779,1979,1180,799,150,111,39,322,115,207,129,68,61,1378,886,492,1583,989,594,137,105,32,242,89,153,104,56,48,1100,739,361,396,191,205,13,6,7,80,26,54,25,12,13,278,147,131,27258,9531,17727
18,21,371,2773,0,0,0,SUB-DISTRICT,Banaharapali,Total,10666,44039,22664,21375,4514,2328,2186,9524,4831,4693,14537,7324,7213,32254,18065,14189,11785,4599,7186,16858,12704,4154,12462,10326,2136,2505,2304,201,903,751,152,1038,319,719,8016,6952,1064,4396,2378,2018,425,277,148,1111,481,630,618,164,454,2242,1456,786,3441,1890,1551,386,250,136,836,357,479,425,125,300,1794,1158,636,955,488,467,39,27,12,275,124,151,193,39,154,448,298,150,27181,9960,17221
19,21,371,2774,0,0,0,SUB-DISTRICT,Orient,Total,17697,80706,42004,38702,9387,4916,4471,15088,7636,7452,9017,4537,4480,58803,33047,25756,21903,8957,12946,25888,21744,4144,22801,19766,3035,235,212,23,189,153,36,519,409,110,21858,18992,2866,3087,1978,1109,87,57,30,128,61,67,337,208,129,2535,1652,883,2667,1682,985,76,51,25,107,52,55,265,156,109,2219,1423,796,420,296,124,11,6,5,21,9,12,72,52,20,316,229,87,54818,20260,34558
20,21,371,2775,0,0,0,SUB-DISTRICT,Brajarajnagar,Total,6333,26484,13489,12995,2892,1458,1434,5525,2783,2742,8378,4193,4185,17606,9847,7759,8878,3642,5236,10703,7828,2875,7260,5977,1283,1337,1247,90,798,649,149,418,223,195,4707,3858,849,3443,1851,1592,536,327,209,1359,693,666,240,84,156,1308,747,561,2967,1612,1355,483,294,189,1133,582,551,174,55,119,1177,681,496,476,239,237,53,33,20,226,111,115,66,29,37,131,66,65,15781,5661,10120
21,21,371,2776,0,0,0,SUB-DISTRICT,Jharsuguda,Total,28003,122817,63634,59183,14883,7711,7172,20034,10112,9922,25199,12519,12680,90379,50334,40045,32438,13300,19138,45289,35889,9400,37248,31286,5962,1711,1477,234,1269,863,406,1415,1093,322,32853,27853,5000,8041,4603,3438,473,291,182,1575,754,821,709,260,449,5284,3298,1986,6780,3903,2877,431,277,154,1314,665,649,604,213,391,4431,2748,1683,1261,700,561,42,14,28,261,89,172,105,47,58,853,550,303,77528,27745,49783
22,21,371,2777,0,0,0,SUB-DISTRICT,Badmal ,Total,6626,27566,14687,12879,3241,1643,1598,7204,3663,3541,8680,4503,4177,18860,11190,7670,8706,3497,5209,11325,8877,2448,8753,7425,1328,1093,1045,48,278,221,57,826,217,609,6556,5942,614,2572,1452,1120,195,175,20,495,229,266,516,80,436,1366,968,398,2122,1207,915,177,163,14,407,201,206,440,73,367,1098,770,328,450,245,205,18,12,6,88,28,60,76,7,69,268,198,70,16241,5810,10431
23,21,371,2778,0,0,0,SUB-DISTRICT,Laikera,Total,24788,99157,49588,49569,10202,5225,4977,18092,9022,9070,50970,25292,25678,65104,36535,28569,34053,13053,21000,54085,30327,23758,30036,21032,9004,12351,9804,2547,8941,5087,3854,1336,465,871,7408,5676,1732,24049,9295,14754,2726,1283,1443,15950,5420,10530,1321,312,1009,4052,2280,1772,20361,7715,12646,2167,1029,1138,13848,4547,9301,1131,270,861,3215,1869,1346,3688,1580,2108,559,254,305,2102,873,1229,190,42,148,837,411,426,45072,19261,25811
24,21,371,2779,0,0,0,SUB-DISTRICT,Kolabira,Total,10542,41735,20892,20843,4571,2341,2230,6723,3281,3442,19287,9659,9628,27087,15168,11919,14648,5724,8924,23265,12993,10272,13469,8924,4545,3999,3573,426,2280,1097,1183,2053,367,1686,5137,3887,1250,9796,4069,5727,1073,594,479,4316,1666,2650,1835,242,1593,2572,1567,1005,7867,3326,4541,827,495,332,3426,1362,2064,1552,202,1350,2062,1267,795,1929,743,1186,246,99,147,890,304,586,283,40,243,510,300,210,18470,7899,10571
25,21,372,2780,0,0,0,SUB-DISTRICT,Govindpur,Total,13890,59141,29416,29725,7025,3561,3464,6764,3386,3378,37065,18319,18746,36432,20322,16110,22709,9094,13615,30554,17332,13222,16545,11722,4823,6083,4669,1414,4478,2376,2102,648,477,171,5336,4200,1136,14009,5610,8399,2407,1119,1288,9177,3049,6128,400,222,178,2025,1220,805,11205,4563,6642,1912,920,992,7396,2481,4915,325,190,135,1572,972,600,2804,1047,1757,495,199,296,1781,568,1213,75,32,43,453,248,205,28587,12084,16503
26,21,372,2781,0,0,0,SUB-DISTRICT,Mahulpalli,Total,19295,76632,38019,38613,8174,4150,4024,9985,4953,5032,45924,22611,23313,47703,26731,20972,28929,11288,17641,43847,23657,20190,24885,16614,8271,11850,9249,2601,9629,4921,4708,425,294,131,2981,2150,831,18962,7043,11919,1343,682,661,15895,5516,10379,385,164,221,1339,681,658,16297,6038,10259,1126,596,530,13901,4789,9112,299,134,165,971,519,452,2665,1005,1660,217,86,131,1994,727,1267,86,30,56,368,162,206,32785,14362,18423
27,21,372,2782,0,0,0,SUB-DISTRICT,Kochinda,Total,21517,81668,40808,40860,8774,4507,4267,12868,6436,6432,37827,18785,19042,53067,29666,23401,28601,11142,17459,44512,24868,19644,25785,17555,8230,8273,6264,2009,8471,4951,3520,1142,359,783,7899,5981,1918,18727,7313,11414,1858,855,1003,12899,4778,8121,1333,188,1145,2637,1492,1145,16143,6390,9753,1575,757,818,11156,4193,6963,1220,167,1053,2192,1273,919,2584,923,1661,283,98,185,1743,585,1158,113,21,92,445,219,226,37156,15940,21216
28,21,372,2783,0,0,0,SUB-DISTRICT,Katarbaga,Total,7716,29875,14975,14900,3218,1627,1591,5788,2946,2842,13708,6816,6892,19595,11054,8541,10280,3921,6359,16800,9380,7420,11297,6695,4602,2367,2128,239,1882,1539,343,4125,646,3479,2923,2382,541,5503,2685,2818,435,355,80,2379,1346,1033,1529,133,1396,1160,851,309,4944,2403,2541,367,293,74,2143,1224,919,1388,117,1271,1046,769,277,559,282,277,68,62,6,236,122,114,141,16,125,114,82,32,13075,5595,7480
29,21,372,2784,0,0,0,SUB-DISTRICT,Thelkoloi  ,Total,6779,26915,13788,13127,3440,1734,1706,5233,2700,2533,9988,5021,4967,17803,10160,7643,9112,3628,5484,13336,8503,4833,9386,6809,2577,1463,1387,76,811,513,298,1780,466,1314,5332,4443,889,3950,1694,2256,229,134,95,1016,572,444,1300,96,1204,1405,892,513,3379,1479,1900,210,123,87,921,511,410,1046,70,976,1202,775,427,571,215,356,19,11,8,95,61,34,254,26,228,203,117,86,13579,5285,8294
30,21,372,2785,0,0,0,SUB-DISTRICT,Rengali ,Total,6456,26859,13782,13077,3191,1679,1512,5032,2591,2441,9720,4881,4839,18413,10455,7958,8446,3327,5119,13947,8454,5493,9373,6653,2720,845,790,55,568,487,81,2182,624,1558,5778,4752,1026,4574,1801,2773,232,189,43,565,274,291,1797,210,1587,1980,1128,852,4054,1566,2488,226,187,39,484,218,266,1591,161,1430,1753,1000,753,520,235,285,6,2,4,81,56,25,206,49,157,227,128,99,12912,5328,7584
31,21,372,2786,0,0,0,SUB-DISTRICT,Sasan,Total,15386,63790,32399,31391,7008,3546,3462,14452,7324,7128,24302,12201,12101,42381,23986,18395,21409,8413,12996,34326,20208,14118,22239,14925,7314,4993,4534,459,6229,4648,1581,3454,546,2908,7563,5197,2366,12087,5283,6804,823,674,149,4091,2073,2018,3243,396,2847,3930,2140,1790,10133,4389,5744,725,608,117,3460,1783,1677,2880,344,2536,3068,1654,1414,1954,894,1060,98,66,32,631,290,341,363,52,311,862,486,376,29464,12191,17273
32,21,372,2787,0,0,0,SUB-DISTRICT,Hirakud,Total,8626,37887,19566,18321,4449,2326,2123,9566,4862,4704,8381,4256,4125,26720,14953,11767,11167,4613,6554,14616,11238,3378,12594,10199,2395,654,549,105,1320,822,498,933,326,607,9687,8502,1185,2022,1039,983,37,19,18,620,264,356,339,49,290,1026,707,319,1449,759,690,36,19,17,394,172,222,265,42,223,754,526,228,573,280,293,1,0,1,226,92,134,74,7,67,272,181,91,23271,8328,14943
33,21,372,2788,0,0,0,SUB-DISTRICT,Burla,Total,19612,85814,43600,42214,9173,4685,4488,26299,13148,13151,13304,6745,6559,61202,33783,27419,24612,9817,14795,34016,24565,9451,26444,21139,5305,2813,2563,250,4346,2942,1404,840,600,240,18445,15034,3411,7572,3426,4146,271,160,111,4718,1759,2959,346,139,207,2237,1368,869,6320,2882,3438,211,135,76,3931,1473,2458,274,107,167,1904,1167,737,1252,544,708,60,25,35,787,286,501,72,32,40,333,201,132,51798,19035,32763
34,21,372,2789,0,0,0,SUB-DISTRICT,Dhanupali,Total,1857,7727,3996,3731,899,477,422,2479,1276,1203,1455,754,701,5392,3039,2353,2335,957,1378,2942,2241,701,2155,1806,349,217,201,16,233,175,58,54,44,10,1651,1386,265,787,435,352,52,48,4,352,156,196,44,29,15,339,202,137,634,374,260,46,42,4,272,142,130,32,21,11,284,169,115,153,61,92,6,6,0,80,14,66,12,8,4,55,33,22,4785,1755,3030
35,21,372,2790,0,0,0,SUB-DISTRICT,Ainthapali,Total,2927,12627,6318,6309,1566,800,766,1261,647,614,6564,3154,3410,8474,4652,3822,4153,1666,2487,6190,3830,2360,4374,3134,1240,590,512,78,502,414,88,849,308,541,2433,1900,533,1816,696,1120,87,46,41,591,285,306,609,55,554,529,310,219,1701,659,1042,84,45,39,561,272,289,561,50,511,495,292,203,115,37,78,3,1,2,30,13,17,48,5,43,34,18,16,6437,2488,3949
36,21,372,2791,0,0,0,SUB-DISTRICT,Sadar,Total,11404,46660,23677,22983,5108,2589,2519,11577,5918,5659,16313,8244,8069,31439,17748,13691,15221,5929,9292,23814,14671,9143,18046,12343,5703,3124,2946,178,6960,4902,2058,2866,420,2446,5096,4075,1021,5768,2328,3440,176,116,60,3169,1453,1716,1440,116,1324,983,643,340,4934,2052,2882,154,101,53,2709,1285,1424,1237,105,1132,834,561,273,834,276,558,22,15,7,460,168,292,203,11,192,149,82,67,22846,9006,13840
37,21,372,2792,0,0,0,SUB-DISTRICT,Jamankira,Total,14649,59250,29528,29722,6818,3447,3371,6770,3351,3419,33431,16588,16843,36643,20666,15977,22607,8862,13745,34556,18633,15923,20708,13198,7510,5878,4764,1114,6960,4167,2793,2262,386,1876,5608,3881,1727,13848,5435,8413,1395,685,710,7272,2968,4304,2430,249,2181,2751,1533,1218,11394,4513,6881,1040,531,509,6186,2592,3594,2038,200,1838,2130,1190,940,2454,922,1532,355,154,201,1086,376,710,392,49,343,621,343,278,24694,10895,13799
38,21,372,2793,0,0,0,SUB-DISTRICT,Kisinda,Total,4713,20460,10262,10198,2591,1335,1256,2507,1237,1270,8172,4193,3979,12974,7330,5644,7486,2932,4554,11201,6143,5058,6242,4282,1960,2610,2117,493,1541,995,546,879,198,681,1212,972,240,4959,1861,3098,612,311,301,2520,924,1596,967,126,841,860,500,360,4414,1624,2790,510,264,246,2337,851,1486,866,97,769,701,412,289,545,237,308,102,47,55,183,73,110,101,29,72,159,88,71,9259,4119,5140
39,21,372,2794,0,0,0,SUB-DISTRICT,Jujomura,Total,13483,57271,28942,28329,6987,3578,3409,6858,3433,3425,31848,16043,15805,35849,20547,15302,21422,8395,13027,30619,17232,13387,18063,12075,5988,5035,4634,401,3993,2800,1193,3280,572,2708,5755,4069,1686,12556,5157,7399,1002,665,337,5428,2661,2767,3751,355,3396,2375,1476,899,10122,4317,5805,832,586,246,4409,2239,2170,2995,287,2708,1886,1205,681,2434,840,1594,170,79,91,1019,422,597,756,68,688,489,271,218,26652,11710,14942
40,21,372,2795,0,0,0,SUB-DISTRICT,Dhama,Total,11373,44579,22651,21928,4820,2503,2317,16247,8255,7992,13642,6870,6772,29214,16700,12514,15365,5951,9414,22226,13901,8325,13896,10138,3758,3142,2968,174,5653,3626,2027,1475,625,850,3626,2919,707,8330,3763,4567,461,300,161,5145,2138,3007,678,156,522,2046,1169,877,7096,3244,3852,413,274,139,4413,1872,2541,558,137,421,1712,961,751,1234,519,715,48,26,22,732,266,466,120,19,101,334,208,126,22353,8750,13603
41,21,372,2796,0,0,0,SUB-DISTRICT,Charamal,Total,7268,29526,14876,14650,3671,1861,1810,4565,2257,2308,9418,4786,4632,19607,11185,8422,9919,3691,6228,15069,8809,6260,8725,6433,2292,3151,2592,559,3149,2139,1010,448,167,281,1977,1535,442,6344,2376,3968,535,259,276,4280,1496,2784,398,56,342,1131,565,566,5148,1937,3211,461,219,242,3683,1288,2395,329,46,283,675,384,291,1196,439,757,74,40,34,597,208,389,69,10,59,456,181,275,14457,6067,8390
42,21,372,2797,0,0,0,SUB-DISTRICT,Rairakhol,Total,12920,55502,28064,27438,6933,3621,3312,7981,3987,3994,10343,5225,5118,37440,21185,16255,18062,6879,11183,26166,15723,10443,15849,11488,4361,5556,4827,729,2361,1432,929,1942,556,1386,5990,4673,1317,10317,4235,6082,1166,679,487,4130,1409,2721,1778,272,1506,3243,1875,1368,8174,3560,4614,985,598,387,3351,1156,2195,1434,212,1222,2404,1594,810,2143,675,1468,181,81,100,779,253,526,344,60,284,839,281,558,29336,12341,16995
43,21,372,2798,0,0,0,SUB-DISTRICT,Naktideul,Total,6935,29550,14750,14800,3613,1930,1683,5944,2938,3006,5737,2868,2869,19027,10631,8396,10523,4119,6404,15636,8620,7016,9447,6360,3087,3342,2804,538,3083,1815,1268,975,261,714,2047,1480,567,6189,2260,3929,857,283,574,3020,1175,1845,1287,207,1080,1025,595,430,5332,1952,3380,805,258,547,2656,1016,1640,1006,157,849,865,521,344,857,308,549,52,25,27,364,159,205,281,50,231,160,74,86,13914,6130,7784
44,21,372,2799,0,0,0,SUB-DISTRICT,Sambalpur (M),Total,42791,189366,97460,91906,20390,10788,9602,29651,14866,14785,18119,9205,8914,144316,78399,65917,45050,19061,25989,71467,55153,16314,60801,49156,11645,643,568,75,909,689,220,3448,2429,1019,55801,45470,10331,10666,5997,4669,193,105,88,453,248,205,1227,364,863,8793,5280,3513,9705,5506,4199,191,103,88,408,219,189,998,305,693,8108,4879,3229,961,491,470,2,2,0,45,29,16,229,59,170,685,401,284,117899,42307,75592
45,21,373,2800,0,0,0,SUB-DISTRICT,Debagarh,Total,26132,107906,54607,53299,13564,6985,6579,14857,7488,7369,45317,22591,22726,69599,39418,30181,38307,15189,23118,53952,31256,22696,26739,20804,5935,9089,7574,1515,6426,4259,2167,779,615,164,10445,8356,2089,27213,10452,16761,2733,1437,1296,20561,7116,13445,549,269,280,3370,1630,1740,22549,8838,13711,2223,1246,977,17454,6036,11418,421,210,211,2451,1346,1105,4664,1614,3050,510,191,319,3107,1080,2027,128,59,69,919,284,635,53954,23351,30603
46,21,373,2801,0,0,0,SUB-DISTRICT,Barkot,Total,18830,72887,36965,35922,9540,4938,4602,15702,7935,7767,21953,11024,10929,45211,25782,19429,27676,11183,16493,41753,22483,19270,16784,12212,4572,5326,4405,921,6637,4000,2637,599,481,118,4222,3326,896,24969,10271,14698,3886,1620,2266,18452,7241,11211,686,401,285,1945,1009,936,18809,7839,10970,2641,1160,1481,13916,5436,8480,603,359,244,1649,884,765,6160,2432,3728,1245,460,785,4536,1805,2731,83,42,41,296,125,171,31134,14482,16652
47,21,373,2802,0,0,0,SUB-DISTRICT,Kundheigola,Total,12026,52419,26921,25498,6615,3515,3100,11940,6108,5832,10469,5318,5151,33711,19551,14160,18708,7370,11338,28647,15699,12948,16474,10978,5496,7221,5174,2047,4542,2830,1712,1884,846,1038,2827,2128,699,12173,4721,7452,1585,794,791,7761,2871,4890,1425,344,1081,1402,712,690,9371,3682,5689,1329,666,663,6041,2244,3797,1024,258,766,977,514,463,2802,1039,1763,256,128,128,1720,627,1093,401,86,315,425,198,227,23772,11222,12550
48,21,373,2803,0,0,0,SUB-DISTRICT,Reamal,Total,18464,79308,39737,39571,10198,5280,4918,9613,4812,4801,32661,16193,16468,49298,27898,21400,30010,11839,18171,41083,22946,18137,23411,15642,7769,10448,7794,2654,6857,3852,3005,1510,653,857,4596,3343,1253,17672,7304,10368,2372,943,1429,11254,4476,6778,655,196,459,3391,1689,1702,15141,6244,8897,1907,747,1160,9979,3973,6006,567,166,401,2688,1358,1330,2531,1060,1471,465,196,269,1275,503,772,88,30,58,703,331,372,38225,16791,21434
49,21,374,2804,0,0,0,SUB-DISTRICT,Hemgir,Total,20953,84559,42670,41889,9852,5061,4791,12258,6191,6067,38312,19115,19197,55691,31218,24473,28868,11452,17416,42832,26166,16666,24349,18694,5655,9509,8171,1338,6408,3812,2596,554,367,187,7878,6344,1534,18483,7472,11011,2701,1263,1438,11751,3805,7946,352,146,206,3679,2258,1421,14703,5964,8739,2152,1012,1140,9738,3159,6579,221,101,120,2592,1692,900,3780,1508,2272,549,251,298,2013,646,1367,131,45,86,1087,566,521,41727,16504,25223
