,State,Districtcode,Subdistcode,Town/Village,Ward,EB,Level,Subdistrict,TRU,No_HH,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
295,21,386,3050,0,0,0,SUB-DISTRICT,Jankia ,Total,17327,84608,43224,41384,9305,4885,4420,7861,4012,3849,3554,1761,1793,62854,34396,28458,21754,8828,12926,27420,23578,3842,20130,18411,1719,5740,5599,141,4239,4040,199,1060,902,158,9091,7870,1221,7290,5167,2123,680,594,86,3054,2467,587,483,266,217,3073,1840,1233,6281,4548,1733,606,540,66,2712,2209,503,395,230,165,2568,1569,999,1009,619,390,74,54,20,342,258,84,88,36,52,505,271,234,57188,19646,37542
296,21,386,3051,0,0,0,SUB-DISTRICT,Nirakarpur,Total,7467,37980,19517,18463,4130,2165,1965,3138,1589,1549,276,138,138,28972,15902,13070,9008,3615,5393,11936,10439,1497,9156,8446,710,2231,2158,73,1659,1564,95,475,441,34,4791,4283,508,2780,1993,787,364,281,83,1026,860,166,176,107,69,1214,745,469,2373,1693,680,327,246,81,841,700,141,138,84,54,1067,663,404,407,300,107,37,35,2,185,160,25,38,23,15,147,82,65,26044,9078,16966
297,21,386,3052,0,0,0,SUB-DISTRICT,Tangi,Total,31410,152037,77659,74378,18638,9744,8894,38787,20048,18739,2582,1272,1310,104275,57546,46729,47762,20113,27649,45992,42054,3938,34548,32527,2021,7227,7048,179,5186,5071,115,880,826,54,21255,19582,1673,11444,9527,1917,846,706,140,3958,3579,379,439,339,100,6201,4903,1298,9627,8227,1400,754,622,132,3348,3096,252,369,289,80,5156,4220,936,1817,1300,517,92,84,8,610,483,127,70,50,20,1045,683,362,106045,35605,70440
298,21,386,3053,0,0,0,SUB-DISTRICT,Balugaon,Total,24051,113758,58559,55199,13038,6953,6085,20621,10413,10208,559,275,284,81895,45674,36221,31863,12885,18978,38986,33038,5948,30651,27686,2965,6545,6237,308,3326,3195,131,857,694,163,19923,17560,2363,8335,5352,2983,1017,607,410,2527,1822,705,549,242,307,4242,2681,1561,6506,4504,2002,583,476,107,2117,1599,518,431,200,231,3375,2229,1146,1829,848,981,434,131,303,410,223,187,118,42,76,867,452,415,74772,25521,49251
299,21,386,3054,0,0,0,SUB-DISTRICT,Banapur,Total,23388,113212,56788,56424,13737,7205,6532,10748,5209,5539,10839,5301,5538,77541,42393,35148,35671,14395,21276,38567,31249,7318,28807,25286,3521,10664,10265,399,7088,5357,1731,730,616,114,10325,9048,1277,9760,5963,3797,1756,1071,685,4015,2525,1490,582,217,365,3407,2150,1257,8368,5229,3139,1559,953,606,3385,2204,1181,511,199,312,2913,1873,1040,1392,734,658,197,118,79,630,321,309,71,18,53,494,277,217,74645,25539,49106
300,21,386,3055,0,0,0,SUB-DISTRICT,Bhubaneswar (M.Corp.),Total,206014,885363,468043,417320,86401,45327,41074,76770,39798,36972,44016,23668,20348,732886,399804,333082,152477,68239,84238,325733,256389,69344,286046,233352,52694,2386,1954,432,3486,2546,940,15509,12773,2736,264665,216079,48586,39687,23037,16650,977,553,424,1984,1247,737,2616,1622,994,34110,19615,14495,35948,20659,15289,948,529,419,1457,936,521,2241,1410,831,31302,17784,13518,3739,2378,1361,29,24,5,527,311,216,375,212,163,2808,1831,977,559630,211654,347976
301,21,387,3056,0,0,0,SUB-DISTRICT,Delanga,Total,23537,109291,55310,53981,11201,5797,5404,23254,11713,11541,535,277,258,84556,45592,38964,24735,9718,15017,39332,31597,7735,28765,25785,2980,10287,9925,362,6614,5532,1082,1151,948,203,10713,9380,1333,10567,5812,4755,1160,814,346,5382,2846,2536,522,277,245,3503,1875,1628,8889,4922,3967,898,679,219,4628,2506,2122,420,233,187,2943,1504,1439,1678,890,788,262,135,127,754,340,414,102,44,58,560,371,189,69959,23713,46246
302,21,387,3057,0,0,0,SUB-DISTRICT,Pipili ,Total,33305,159750,81631,78119,15774,8064,7710,35962,18315,17647,901,451,450,123438,67786,55652,36312,13845,22467,63634,49167,14467,47417,42082,5335,16053,15518,535,7965,6704,1261,2199,1760,439,21200,18100,3100,16217,7085,9132,1778,1032,746,7186,2961,4225,1746,497,1249,5507,2595,2912,13515,6068,7447,1471,846,625,5982,2541,3441,1419,402,1017,4643,2279,2364,2702,1017,1685,307,186,121,1204,420,784,327,95,232,864,316,548,96116,32464,63652
303,21,387,3058,0,0,0,SUB-DISTRICT,Nimapada,Total,47601,208139,105619,102520,20311,10538,9773,46528,23574,22954,446,181,265,160427,86794,73633,47712,18825,28887,77893,62110,15783,56316,49500,6816,21160,20485,675,13773,11191,2582,1654,1374,280,19729,16450,3279,21577,12610,8967,2948,1894,1054,11965,6972,4993,1140,599,541,5524,3145,2379,18204,10804,7400,2246,1518,728,10290,6050,4240,949,495,454,4719,2741,1978,3373,1806,1567,702,376,326,1675,922,753,191,104,87,805,404,401,130246,43509,86737
304,21,387,3059,0,0,0,SUB-DISTRICT,Kakatpur,Total,23684,100525,51169,49356,10199,5367,4832,20694,10377,10317,142,74,68,75426,41490,33936,25099,9679,15420,35508,29012,6496,24281,21735,2546,8220,7743,477,6429,5627,802,644,576,68,8988,7789,1199,11227,7277,3950,1096,595,501,6112,3839,2273,480,278,202,3539,2565,974,8921,6027,2894,746,471,275,5062,3314,1748,282,191,91,2831,2051,780,2306,1250,1056,350,124,226,1050,525,525,198,87,111,708,514,194,65017,22157,42860
