,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,27,4470900,50,25,25
1,21,27,4471000,51,21,30
2,21,27,4471100,48,26,22
3,21,27,4471200,64,30,34
4,21,27,4471300,46,26,20
5,21,27,4471400,66,34,32
6,21,27,4471500,33,17,16
7,21,27,4471600,113,65,48
8,21,27,4471700,469,239,230
9,21,27,4471800,846,409,437
10,21,27,4471900,118,64,54
11,21,27,4472000,801,400,401
12,21,27,4472100,50,22,28
13,21,27,4472200,0,0,0
14,21,27,4472300,13,4,9
15,21,27,4472400,89,48,41
16,21,27,4472500,62,29,33
17,21,27,4472600,0,0,0
18,21,27,4472700,116,60,56
19,21,27,4472800,61,34,27
20,21,27,4472900,66,35,31
21,21,27,4473000,0,0,0
22,21,27,4473100,69,38,31
23,21,27,4473200,37,12,25
24,21,27,4473300,0,0,0
25,21,27,4473400,22,11,11
26,21,27,4473500,0,0,0
27,21,27,4473600,80,43,37
28,21,27,4473700,34,13,21
29,21,27,4473800,0,0,0
30,21,27,4473900,0,0,0
31,21,27,4474000,33,14,19
32,21,27,4474100,116,50,66
33,21,27,4474200,27,12,15
34,21,27,4474300,144,67,77
35,21,27,4474400,70,33,37
36,21,27,4474500,75,38,37
37,21,27,4474600,38,17,21
38,21,27,4474700,136,70,66
39,21,27,4474800,27,6,21
40,21,27,4474900,37,14,23
41,21,27,4475000,294,149,145
42,21,27,4475100,30,14,16
43,21,27,4475200,83,42,41
44,21,27,4475300,35,13,22
45,21,27,4475400,0,0,0
46,21,27,4475500,64,34,30
47,21,27,4475600,493,229,264
48,21,27,4475700,37,20,17
49,21,27,4475800,115,50,65
50,21,27,4475900,97,41,56
51,21,27,4476000,0,0,0
52,21,27,4476100,21,6,15
53,21,27,4476200,21,10,11
54,21,27,4476300,27,12,15
55,21,27,4476400,34,17,17
56,21,27,4476500,60,33,27
57,21,27,4476600,96,44,52
58,21,27,4476700,0,0,0
59,21,27,4476800,227,116,111
60,21,27,4476900,28,11,17
61,21,27,4477000,29,14,15
62,21,27,4477100,21,11,10
63,21,27,4477200,62,34,28
64,21,27,4477300,52,25,27
65,21,27,4477400,5,2,3
66,21,27,4477500,10,9,1
67,21,27,4477600,29,14,15
68,21,27,4477700,11,6,5
69,21,27,4477800,2,1,1
70,21,27,4477900,36,13,23
71,21,27,4478000,0,0,0
72,21,27,4478100,320,148,172
73,21,27,4478200,694,330,364
74,21,27,4478300,83,38,45
75,21,27,4478400,131,53,78
76,21,27,4478500,84,43,41
77,21,27,4478600,57,28,29
78,21,27,4478700,13,6,7
79,21,27,4478800,4,2,2
80,21,27,4478900,75,42,33
81,21,27,4479000,85,38,47
82,21,27,4479100,19,5,14
83,21,27,4479200,118,65,53
84,21,27,4479300,21,12,9
85,21,27,4479400,1,1,0
86,21,27,4479500,93,51,42
87,21,27,4479600,137,69,68
88,21,27,4479700,323,165,158
89,21,27,4479800,26,11,15
90,21,27,4479900,114,57,57
91,21,27,4480000,267,123,144
92,21,27,4480100,195,95,100
93,21,27,4480200,188,96,92
94,21,27,4480300,30,17,13
95,21,27,4480400,141,73,68
96,21,27,4480500,188,92,96
97,21,27,4480600,178,82,96
98,21,27,4480700,96,50,46
99,21,27,4480800,53,20,33
100,21,27,4480900,0,0,0
101,21,27,4481000,50,30,20
102,21,27,4481100,131,72,59
103,21,27,4481200,140,74,66
104,21,27,4481300,288,152,136
105,21,27,4481400,18,5,13
106,21,27,4481500,0,0,0
107,21,27,4481600,0,0,0
108,21,27,4481700,100,54,46
109,21,27,4481800,0,0,0
110,21,27,4481900,0,0,0
111,21,27,4482000,53,29,24
112,21,27,4482100,202,99,103
113,21,27,4482200,300,146,154
114,21,27,4482300,206,104,102
115,21,27,4482400,33,19,14
116,21,27,4482500,21,12,9
117,21,27,4482600,0,0,0
118,21,27,4482700,29,14,15
119,21,27,4482800,241,123,118
120,21,27,4482900,83,42,41
121,21,27,4483000,72,36,36
122,21,27,4483100,448,221,227
123,21,27,4483200,304,130,174
124,21,27,4483300,65,29,36
125,21,27,4483400,172,75,97
126,21,27,4483500,283,133,150
127,21,27,4483600,173,92,81
128,21,27,4483700,586,287,299
129,21,27,4483800,176,89,87
130,21,27,4483900,95,58,37
131,21,27,4484000,199,109,90
132,21,27,4484100,559,310,249
133,21,27,4484200,299,154,145
134,21,27,4484300,195,95,100
135,21,27,4484400,131,64,67
136,21,27,4484500,132,72,60
137,21,27,4484600,268,136,132
138,21,27,4484700,250,133,117
139,21,27,4484800,502,249,253
140,21,27,4484900,892,459,433
141,21,27,4485000,517,342,175
142,21,27,4485100,1886,988,898
143,21,27,4485200,3771,1936,1835
144,21,27,4485300,199,93,106
145,21,27,4485400,75,38,37
146,21,27,4485500,136,76,60
147,21,27,4485600,72,35,37
148,21,27,4485700,52,29,23
149,21,27,4485800,0,0,0
150,21,27,4485900,0,0,0
151,21,27,4486000,58,28,30
152,21,27,4486100,10,4,6
153,21,27,4486200,0,0,0
154,21,27,4486300,43,20,23
155,21,27,4486400,58,35,23
156,21,27,4486500,60,29,31
157,21,27,4486600,99,43,56
158,21,27,4486700,43,19,24
159,21,27,4486800,0,0,0
160,21,27,4486900,84,48,36
161,21,27,4487000,457,240,217
162,21,27,4487100,13,4,9
163,21,27,4487200,10,5,5
164,21,27,4487300,19,11,8
165,21,27,4487400,65,27,38
166,21,27,4487500,4,3,1
167,21,27,4487600,17,9,8
168,21,27,4487700,104,50,54
169,21,27,4487800,76,41,35
170,21,27,4487900,105,48,57
171,21,27,4488000,34,20,14
172,21,27,4488100,70,30,40
173,21,27,4488200,52,21,31
174,21,27,4488300,0,0,0
175,21,27,4488400,89,46,43
176,21,27,4488500,131,57,74
177,21,27,4488600,2,1,1
178,21,27,4488700,4054,2068,1986
179,21,27,4488800,392,208,184
180,21,27,4488900,237,123,114
181,21,27,4489000,425,202,223
182,21,27,4489100,576,290,286
183,21,27,4489200,53,27,26
184,21,27,4489300,0,0,0
185,21,27,4489400,319,152,167
186,21,27,4489500,120,51,69
187,21,27,4489600,160,77,83
188,21,27,4489700,0,0,0
189,21,27,4489800,0,0,0
190,21,27,4489900,221,109,112
191,21,27,4490000,82,36,46
192,21,27,4490100,0,0,0
193,21,27,4490200,85,44,41
194,21,27,4490300,215,107,108
195,21,27,4490400,590,302,288
196,21,27,4490500,131,65,66
197,21,27,4490600,147,73,74
198,21,27,4490700,57,30,27
199,21,27,4490800,12,3,9
200,21,27,4490900,0,0,0
201,21,27,4491000,20,10,10
202,21,27,4491100,0,0,0
203,21,27,4491200,95,38,57
204,21,27,4491300,181,90,91
205,21,27,4491400,122,54,68
206,21,27,4491500,105,45,60
207,21,27,4491600,0,0,0
208,21,27,4491700,34,11,23
209,21,27,4491800,48,20,28
210,21,27,4491900,104,52,52
211,21,27,4492000,0,0,0
212,21,27,4492100,194,85,109
213,21,27,4492200,106,45,61
214,21,27,4492300,22,11,11
215,21,27,4492400,169,80,89
216,21,27,4492500,184,91,93
217,21,27,4492600,54,27,27
218,21,27,4492700,130,60,70
219,21,27,4492800,124,60,64
220,21,27,4492900,11,5,6
221,21,27,4493000,215,110,105
222,21,27,4493100,57,27,30
223,21,27,4493200,461,268,193
224,21,27,4493300,248,125,123
225,21,27,4493400,1420,734,686
226,21,27,4493500,0,0,0
227,21,27,4493600,74,36,38
228,21,27,4493700,0,0,0
229,21,27,4493800,69,38,31
230,21,27,4493900,35,14,21
231,21,27,4494000,67,34,33
232,21,27,4494100,186,93,93
233,21,27,4494200,89,45,44
234,21,27,4494300,92,45,47
235,21,27,4494400,310,146,164
236,21,27,4494500,96,48,48
237,21,27,4494600,62,34,28
238,21,27,4494700,163,76,87
239,21,27,4494800,358,186,172
240,21,27,4494900,97,52,45
241,21,27,4495000,82,36,46
242,21,27,4495100,291,136,155
243,21,27,4495200,122,65,57
244,21,27,4495300,125,61,64
245,21,27,4495400,58,19,39
246,21,27,4495500,147,66,81
247,21,27,4495600,291,145,146
248,21,27,4495700,130,57,73
249,21,27,4495800,65,27,38
250,21,27,4495900,61,33,28
251,21,27,4496000,621,289,332
252,21,27,4496100,233,106,127
253,21,27,4496200,46,19,27
254,21,27,4496300,206,93,113
255,21,27,4496400,0,0,0
256,21,27,4496500,574,274,300
257,21,27,4496600,124,57,67
258,21,27,4496700,80,36,44
259,21,27,4496800,294,147,147
260,21,27,4496900,157,80,77
261,21,27,4497000,438,212,226
262,21,27,4497100,0,0,0
263,21,27,4497200,195,90,105
264,21,27,4497300,632,319,313
265,21,27,4497400,46,21,25
266,21,27,4497500,0,0,0
267,21,27,4497600,28,17,11
268,21,27,4497700,330,163,167
269,21,27,4497800,0,0,0
270,21,27,4497900,184,85,99
271,21,27,4498000,20,12,8
272,21,27,4498100,73,35,38
273,21,27,4498200,87,42,45
274,21,27,4498300,195,96,99
275,21,27,4498400,109,61,48
276,21,27,4498500,0,0,0
277,21,27,4498600,72,35,37
278,21,27,4498700,0,0,0
279,21,27,4498800,0,0,0
280,21,27,4498900,793,409,384
281,21,27,4499000,233,116,117
282,21,27,4499100,189,90,99
283,21,27,4499200,148,56,92
284,21,27,4499300,146,69,77
285,21,27,4499400,130,67,63
286,21,27,4499500,195,104,91
287,21,27,4499600,0,0,0
288,21,27,4499700,385,186,199
289,21,27,4499800,509,232,277
290,21,27,4499900,1282,709,573
291,21,27,4500000,170,83,87
292,21,27,4500100,0,0,0
293,21,27,4500200,235,124,111
294,21,27,4500300,41,20,21
295,21,27,4500400,259,123,136
296,21,27,4500500,506,248,258
297,21,27,4500600,385,203,182
298,21,27,4500700,138,73,65
299,21,27,4500800,330,149,181
300,21,27,4500900,193,92,101
301,21,27,4501000,137,76,61
302,21,27,4501100,131,60,71
303,21,27,4501200,215,97,118
304,21,27,4501300,144,67,77
305,21,27,4501400,26,13,13
306,21,27,4501500,351,162,189
307,21,27,4501600,859,426,433
308,21,27,4501700,9,3,6
309,21,27,4501800,462,218,244
310,21,27,4501900,56,28,28
311,21,27,4502000,367,188,179
312,21,27,4502100,113,56,57
313,21,27,4502200,271,125,146
314,21,27,4502300,267,129,138
315,21,27,4502400,423,206,217
316,21,27,4502500,232,109,123
317,21,27,4502600,503,248,255
318,21,27,4502700,703,352,351
319,21,27,4502800,0,0,0
320,21,27,4502900,590,323,267
321,21,27,4503000,157,82,75
322,21,27,4503100,113,53,60
323,21,27,4503200,109,52,57
324,21,27,4503300,13,9,4
325,21,27,4503400,104,58,46
326,21,27,4503500,503,252,251
327,21,27,4503600,80,37,43
328,21,27,4503700,0,0,0
329,21,27,4503800,0,0,0
330,21,27,4503900,38,17,21
331,21,27,4504000,0,0,0
332,21,27,4504100,0,0,0
333,21,27,4504200,83,36,47
334,21,27,4504300,19,6,13
335,21,27,4504400,92,37,55
336,21,27,4504500,81,44,37
337,21,27,4504600,0,0,0
338,21,27,4504700,383,173,210
339,21,27,4504800,391,175,216
340,21,27,4504900,36,14,22
341,21,27,4505000,288,146,142
342,21,27,4505100,0,0,0
343,21,27,4505200,900,423,477
344,21,27,4505300,674,317,357
345,21,27,4505400,145,76,69
346,21,27,4505500,212,99,113
347,21,27,4505600,709,346,363
348,21,27,4505700,139,70,69
349,21,27,4505800,76,35,41
350,21,27,4505900,244,112,132
351,21,27,4506000,136,65,71
352,21,27,4506100,946,464,482
353,21,27,4506200,1717,901,816
354,21,27,4506300,0,0,0
355,21,27,4506400,208,104,104
356,21,27,4506500,1288,656,632
