,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,11,1739200,326,167,159
1,21,11,1739300,236,134,102
2,21,11,1739400,3129,1643,1486
3,21,11,1739500,0,0,0
4,21,11,1739600,0,0,0
5,21,11,1739700,741,372,369
6,21,11,1739800,1979,1015,964
7,21,11,1739900,780,405,375
8,21,11,1740000,1562,804,758
9,21,11,1740100,1880,947,933
10,21,11,1740200,15,8,7
11,21,11,1740300,2658,1905,753
12,21,11,1740400,628,349,279
13,21,11,1740500,3581,1825,1756
14,21,11,1740600,1224,676,548
15,21,11,1740700,1231,562,669
16,21,11,1740800,682,371,311
17,21,11,1740900,270,144,126
18,21,11,1741000,724,373,351
19,21,11,1741100,900,458,442
20,21,11,1741200,1292,645,647
21,21,11,1741300,623,321,302
22,21,11,1741400,1818,925,893
23,21,11,1741500,2545,1292,1253
24,21,11,1741600,1192,604,588
25,21,11,1741700,533,266,267
26,21,11,1741800,99,60,39
27,21,11,1741900,212,117,95
28,21,11,1742000,1684,881,803
29,21,11,1742100,0,0,0
30,21,11,1742200,1885,971,914
31,21,11,1742300,0,0,0
32,21,11,1742400,0,0,0
33,21,11,1742500,0,0,0
34,21,11,1742600,0,0,0
35,21,11,1742700,209,106,103
36,21,11,1742800,14,14,0
37,21,11,1742900,6,6,0
38,21,11,1743000,36,36,0
39,21,11,1743100,1126,563,563
40,21,11,1743200,476,230,246
41,21,11,1743300,202,99,103
42,21,11,1743400,426,213,213
43,21,11,1743500,144,74,70
44,21,11,1743600,733,361,372
45,21,11,1743700,875,441,434
46,21,11,1743800,435,210,225
47,21,11,1743900,113,58,55
48,21,11,1744000,332,182,150
49,21,11,1744100,790,420,370
50,21,11,1744200,435,211,224
51,21,11,1744300,0,0,0
52,21,11,1744400,1069,535,534
53,21,11,1744500,684,358,326
54,21,11,1744600,704,355,349
55,21,11,1744700,2053,1031,1022
56,21,11,1744800,1046,534,512
57,21,11,1744900,887,431,456
58,21,11,1745000,62,31,31
59,21,11,1745100,403,202,201
60,21,11,1745200,92,41,51
61,21,11,1745300,666,327,339
62,21,11,1745400,136,60,76
63,21,11,1745500,583,299,284
64,21,11,1745600,0,0,0
65,21,11,1745700,881,457,424
66,21,11,1745800,1072,555,517
67,21,11,1745900,1102,562,540
68,21,11,1746000,438,228,210
69,21,11,1746100,609,302,307
70,21,11,1746200,1186,599,587
71,21,11,1746300,1151,569,582
72,21,11,1746400,0,0,0
73,21,11,1746500,412,214,198
74,21,11,1746600,1337,669,668
75,21,11,1746700,3193,1733,1460
76,21,11,1746800,4149,2167,1982
77,21,11,1746900,834,430,404
78,21,11,1747000,1806,941,865
79,21,11,1747100,196,98,98
80,21,11,1747200,0,0,0
81,21,11,1747300,91,48,43
82,21,11,1747400,995,517,478
83,21,11,1747500,286,150,136
84,21,11,1747600,650,332,318
85,21,11,1747700,2205,1121,1084
86,21,11,1747800,2755,1398,1357
87,21,11,1747900,2333,1169,1164
88,21,11,1748000,2082,1058,1024
89,21,11,1748100,265,141,124
90,21,11,1748200,4827,2469,2358
91,21,11,1748300,2022,1058,964
92,21,11,1748400,8,6,2
93,21,11,1748500,746,365,381
94,21,11,1748600,0,0,0
95,21,11,1748700,768,384,384
96,21,11,1748800,164,87,77
