,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,380,1739200,433,224,209
1,21,380,1739300,316,178,138
2,21,380,1739400,4169,2190,1979
3,21,380,1739500,0,0,0
4,21,380,1739600,0,0,0
5,21,380,1739700,987,496,491
6,21,380,1739800,2638,1353,1285
7,21,380,1739900,1039,540,499
8,21,380,1740000,2081,1071,1010
9,21,380,1740100,2505,1262,1243
10,21,380,1740200,19,11,8
11,21,380,1740300,3541,2538,1003
12,21,380,1740400,837,464,373
13,21,380,1740500,4773,2432,2341
14,21,380,1740600,1629,900,729
15,21,380,1740700,1639,749,890
16,21,380,1740800,908,494,414
17,21,380,1740900,359,191,168
18,21,380,1741000,965,497,468
19,21,380,1741100,1199,610,589
20,21,380,1741200,1720,858,862
21,21,380,1741300,830,428,402
22,21,380,1741400,2423,1232,1191
23,21,380,1741500,3391,1720,1671
24,21,380,1741600,1588,805,783
25,21,380,1741700,711,353,358
26,21,380,1741800,133,80,53
27,21,380,1741900,284,155,129
28,21,380,1742000,2243,1173,1070
29,21,380,1742100,0,0,0
30,21,380,1742200,2513,1293,1220
31,21,380,1742300,0,0,0
32,21,380,1742400,0,0,0
33,21,380,1742500,0,0,0
34,21,380,1742600,0,0,0
35,21,380,1742700,278,143,135
36,21,380,1742800,18,18,0
37,21,380,1742900,7,7,0
38,21,380,1743000,48,48,0
39,21,380,1743100,1501,750,751
40,21,380,1743200,634,307,327
41,21,380,1743300,269,133,136
42,21,380,1743400,569,285,284
43,21,380,1743500,193,98,95
44,21,380,1743600,977,481,496
45,21,380,1743700,1167,588,579
46,21,380,1743800,579,279,300
47,21,380,1743900,150,76,74
48,21,380,1744000,442,242,200
49,21,380,1744100,1054,560,494
50,21,380,1744200,579,280,299
51,21,380,1744300,0,0,0
52,21,380,1744400,1424,713,711
53,21,380,1744500,913,478,435
54,21,380,1744600,937,473,464
55,21,380,1744700,2735,1373,1362
56,21,380,1744800,1393,712,681
57,21,380,1744900,1182,574,608
58,21,380,1745000,83,42,41
59,21,380,1745100,536,269,267
60,21,380,1745200,123,55,68
