,State,Districtcode,Subdistcode,Townvillagecode,Wardcode,Enumerationblockcode,Level,District,Households,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILLITERATE,M_ILLITERATE,F_ILLITERATE,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
20,21,390,0,0,0,0,DISTRICT,Kandhamal,172022,733110,359945,373165,109709,55915,53794,115544,56987,58557,392820,190506,202314,399786,233900,165886,333324,126045,207279,355349,193515,161834,167112,123078,44034,60098,48359,11739,42795,26504,16291,4094,2719,1375,60125,45496,14629,188237,70437,117800,19123,8639,10484,120137,40284,79853,7852,1481,6371,41125,20033,21092,148987,56190,92797,15582,6876,8706,98581,33096,65485,5198,1066,4132,29626,15152,14474,39250,14247,25003,3541,1763,1778,21556,7188,14368,2654,415,2239,11499,4881,6618,377761,166430,211331,74618,86398,64450,62252,57861,47309,48044,44376,37742,91046,29740,24594,29055,15757,10288,4186,4157,1237
21,21,391,0,0,0,0,DISTRICT,Baudh,106961,441162,221625,219537,61847,31260,30587,104934,52497,52437,55364,27362,28002,271612,158648,112964,169550,62977,106573,219457,125627,93830,123724,92432,31292,53126,44871,8255,35244,20717,14527,7251,5083,2168,28103,21761,6342,95733,33195,62538,10531,5342,5189,69441,20626,48815,4423,1415,3008,11338,5812,5526,81488,28440,53048,8860,4561,4299,60509,18087,42422,3367,1132,2235,8752,4660,4092,14245,4755,9490,1671,781,890,8932,2539,6393,1056,283,773,2586,1152,1434,221705,95998,125707,43939,52321,40536,36141,34899,31066,31226,26610,22669,45631,17993,15656,16934,10322,7733,3124,3284,1078
22,21,392,0,0,0,0,DISTRICT,Subarnapur,151136,610183,311312,298871,74821,38335,36486,156219,79725,76494,57192,28794,28398,398421,230393,168028,211762,80919,130843,286661,181595,105066,170218,136043,34175,62626,56619,6007,53939,37275,16664,12928,9236,3692,40725,32913,7812,116443,45552,70891,11379,5965,5414,85474,30197,55277,5828,1794,4034,13762,7596,6166,98174,39520,58654,9661,5333,4328,72847,26410,46437,4497,1429,3068,11169,6348,4821,18269,6032,12237,1718,632,1086,12627,3787,8840,1331,365,966,2593,1248,1345,323522,129717,193805,53513,62944,64631,56706,50472,43522,42307,36718,31213,53295,25991,22573,24743,16690,12140,5177,6136,1412
23,21,393,0,0,0,0,DISTRICT,Balangir,414749,1648997,830097,818900,216320,110658,105662,294777,148356,146421,347164,172489,174675,927260,545672,381588,721737,284425,437312,720601,469956,250645,402227,332355,69872,133145,121287,11858,107920,78800,29120,16721,12974,3747,144441,119294,25147,318374,137601,180773,33420,18995,14425,218496,81897,136599,11929,4824,7105,54529,31885,22644,258074,116476,141598,27748,16701,11047,176816,69112,107704,8990,3639,5351,44520,27024,17496,60300,21125,39175,5672,2294,3378,41680,12785,28895,2939,1185,1754,10009,4861,5148,928396,360141,568255,153131,168234,157508,139994,129109,117099,116820,105269,90823,156050,73178,61736,66720,44485,33268,14475,17014,4084
24,21,394,0,0,0,0,DISTRICT,Nuapada,152210,610382,301962,308420,88344,44600,43744,82159,40742,41417,206327,100469,105858,299383,180903,118480,310999,121059,189940,305438,168155,137283,151694,116827,34867,71311,59897,11414,37130,22594,14536,4438,3249,1189,38815,31087,7728,153744,51328,102416,23381,10177,13204,112704,32059,80645,4203,1493,2710,13456,7599,5857,126786,42902,83884,18337,8421,9916,94335,26911,67424,3297,1163,2134,10817,6407,4410,26958,8426,18532,5044,1756,3288,18369,5148,13221,906,330,576,2639,1192,1447,304944,133807,171137,62093,68215,53796,48760,45988,41977,40876,37156,32672,65223,25932,21844,26875,16115,11194,4777,5588,1301
25,21,395,0,0,0,0,DISTRICT,Kalahandi,401251,1576869,787101,789768,222570,113726,108844,286580,142133,144447,449456,221171,228285,802036,484177,317859,774833,302924,471909,751930,447290,304640,376757,299835,76922,112897,102007,10890,143873,100376,43497,9198,7080,2118,110789,90372,20417,375173,147455,227718,32094,17000,15094,292860,104218,188642,9255,3676,5579,40964,22561,18403,309753,126046,183707,26559,14955,11604,243787,89928,153859,7196,3003,4193,32211,18160,14051,65420,21409,44011,5535,2045,3490,49073,14290,34783,2059,673,1386,8753,4401,4352,824939,339811,485128,154958,175070,137442,123931,119701,112693,114453,101317,87315,169058,69364,56553,60233,37809,27280,11751,12543,5398
26,21,396,0,0,0,0,DISTRICT,Rayagada  ,226144,967911,471960,495951,148522,75598,72924,139514,68068,71446,541905,259040,282865,407735,241959,165776,560176,230001,330175,467122,258032,209090,227815,164965,62850,75669,60170,15499,67059,38038,29021,4787,3704,1083,80300,63053,17247,239307,93067,146240,23596,12426,11170,181116,63183,117933,5172,1789,3383,29423,15669,13754,206666,82147,124519,20504,11036,9468,158402,56425,101977,3663,1369,2294,24097,13317,10780,32641,10920,21721,3092,1390,1702,22714,6758,15956,1509,420,1089,5326,2352,2974,500789,213928,286861,99656,108545,86596,80515,76588,65878,67090,60863,51935,125669,39560,28658,31655,20477,12297,3941,4237,3751
27,21,397,0,0,0,0,DISTRICT,Nabarangapur ,273423,1220946,604812,616134,207911,104077,103834,177384,88252,89132,681173,335028,346145,470379,286984,183395,750567,317828,432739,610906,342641,268265,279115,227544,51571,135056,122637,12419,72307,49029,23278,6778,5070,1708,64974,50808,14166,331791,115097,216694,38030,20742,17288,256476,76296,180180,7631,2748,4883,29654,15311,14343,276050,99427,176623,32114,18298,13816,214360,66184,148176,5771,2122,3649,23805,12823,10982,55741,15670,40071,5916,2444,3472,42116,10112,32004,1860,626,1234,5849,2488,3361,610040,262171,347869,143050,142497,105291,97925,97151,82874,82924,69905,61849,159292,46104,35985,37515,24210,15826,5922,6199,6427
28,21,398,0,0,0,0,DISTRICT,Koraput,337677,1379647,678809,700838,225126,113742,111384,196540,96789,99751,697583,337373,360210,568090,340843,227247,811557,337966,473591,693406,384053,309353,396460,286001,110459,160768,124222,36546,89164,49965,39199,7786,5681,2105,138742,106133,32609,296946,98052,198894,46426,19314,27112,201462,56618,144844,6630,2198,4432,42428,19922,22506,250711,82553,168158,38142,15521,22621,173438,48852,124586,5332,1820,3512,33799,16360,17439,46235,15499,30736,8284,3793,4491,28024,7766,20258,1298,378,920,8629,3562,5067,686241,294756,391485,153874,149501,117147,113428,108118,93375,94713,85709,75006,176510,55549,42901,49684,30614,17083,5832,5543,5060
29,21,399,0,0,0,0,DISTRICT,Malkangiri  ,137599,613192,303624,309568,109092,54770,54322,138295,70052,68243,354614,171717,182897,244706,147001,97705,368486,156623,211863,310666,170495,140171,179030,131904,47126,119932,93631,26301,23913,11703,12210,2291,1046,1245,32894,25524,7370,131636,38591,93045,31328,12762,18566,82440,20028,62412,5434,779,4655,12434,5022,7412,110805,32235,78570,25948,10570,15378,71346,17150,54196,4174,589,3585,9337,3926,5411,20831,6356,14475,5380,2192,3188,11094,2878,8216,1260,190,1070,3097,1096,2001,302526,133129,169397,74752,69745,51411,50434,50846,41845,40266,35296,28948,84725,21141,15648,20365,12704,7758,2677,2991,1640
