,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,28,4737600,692,343,349
1,21,28,4737700,358,166,192
2,21,28,4737800,297,159,138
3,21,28,4737900,399,198,201
4,21,28,4738000,940,455,485
5,21,28,4738100,1179,616,563
6,21,28,4738200,1403,701,702
7,21,28,4738300,1418,726,692
8,21,28,4738400,726,359,367
9,21,28,4738500,4,2,2
10,21,28,4738600,452,217,235
11,21,28,4738700,2928,1483,1445
12,21,28,4738800,2499,1264,1235
13,21,28,4738900,359,189,170
14,21,28,4739000,746,372,374
15,21,28,4739100,1747,868,879
16,21,28,4739200,1341,670,671
17,21,28,4739300,765,383,382
18,21,28,4739400,2774,1427,1347
19,21,28,4739500,2481,1260,1221
20,21,28,4739600,461,229,232
21,21,28,4739700,621,314,307
22,21,28,4739800,1659,842,817
23,21,28,4739900,1396,687,709
24,21,28,4740000,2298,1187,1111
25,21,28,4740100,335,160,175
26,21,28,4740200,514,251,263
27,21,28,4740300,730,357,373
28,21,28,4740400,861,432,429
29,21,28,4740500,1630,835,795
30,21,28,4740600,470,236,234
31,21,28,4740700,818,417,401
32,21,28,4740800,1477,717,760
33,21,28,4740900,1118,555,563
34,21,28,4741000,466,228,238
35,21,28,4741100,2018,1041,977
36,21,28,4741200,2532,1279,1253
37,21,28,4741300,634,333,301
38,21,28,4741400,2123,1060,1063
39,21,28,4741500,2980,1546,1434
40,21,28,4741600,1803,904,899
41,21,28,4741700,1492,757,735
42,21,28,4741800,2328,1153,1175
43,21,28,4741900,465,223,242
44,21,28,4742000,467,260,207
45,21,28,4742100,1322,640,682
46,21,28,4742200,3486,1756,1730
47,21,28,4742300,3216,1619,1597
48,21,28,4742400,1624,809,815
49,21,28,4742500,1574,815,759
50,21,28,4742600,620,305,315
51,21,28,4742700,1439,630,809
52,21,28,4742800,336,179,157
53,21,28,4742900,246,117,129
54,21,28,4743000,976,484,492
55,21,28,4743100,808,413,395
56,21,28,4743200,3935,1972,1963
57,21,28,4743300,2636,1353,1283
58,21,28,4743400,1483,710,773
59,21,28,4743500,2717,1362,1355
60,21,28,4743600,689,348,341
61,21,28,4743700,257,128,129
62,21,28,4743800,4194,2171,2023
63,21,28,4743900,741,391,350
64,21,28,4744000,1475,739,736
65,21,28,4744100,1459,768,691
66,21,28,4744200,2128,1074,1054
67,21,28,4744300,1644,826,818
68,21,28,4744400,3186,1612,1574
69,21,28,4744500,640,332,308
70,21,28,4744600,8304,4195,4109
71,21,28,4744700,1052,522,530
72,21,28,4744800,2266,1180,1086
73,21,28,4744900,3388,1694,1694
74,21,28,4745000,501,244,257
75,21,28,4745100,708,357,351
76,21,28,4745200,1874,793,1081
77,21,28,4745300,709,383,326
78,21,28,4745400,1004,470,534
79,21,28,4745500,1124,554,570
80,21,28,4745600,730,348,382
81,21,28,4745700,734,364,370
82,21,28,4745800,343,173,170
83,21,28,4745900,1358,703,655
84,21,28,4746000,1316,680,636
85,21,28,4746100,2349,1216,1133
86,21,28,4746200,1784,874,910
87,21,28,4746300,572,288,284
88,21,28,4746400,2573,1339,1234
89,21,28,4746500,779,392,387
90,21,28,4746600,1459,757,702
91,21,28,4746700,1191,607,584
92,21,28,4746800,839,410,429
93,21,28,4746900,1539,777,762
94,21,28,4747000,1555,808,747
95,21,28,4747100,191,104,87
96,21,28,4747200,6178,3275,2903
97,21,28,4747300,668,329,339
98,21,28,4747400,357,178,179
99,21,28,4747500,4282,2227,2055
100,21,28,4747600,1900,936,964
101,21,28,4747700,816,447,369
102,21,28,4747800,2709,1421,1288
103,21,28,4747900,2202,1103,1099
104,21,28,4748000,2912,1431,1481
105,21,28,4748100,1546,859,687
106,21,28,4748200,1395,677,718
107,21,28,4748300,829,398,431
108,21,28,4748400,1693,847,846
109,21,28,4748500,3833,1934,1899
110,21,28,4748600,591,293,298
111,21,28,4748700,2726,1381,1345
112,21,28,4748800,2663,1346,1317
113,21,28,4748900,1567,793,774
114,21,28,4749000,4170,2080,2090
115,21,28,4749100,899,443,456
116,21,28,4749200,5017,2546,2471
117,21,28,4749300,1162,579,583
118,21,28,4749400,1971,1008,963
119,21,28,4749500,1612,824,788
120,21,28,4749600,1342,672,670
121,21,28,4749700,4883,2435,2448
122,21,28,4749800,1580,786,794
123,21,28,4749900,3896,1971,1925
124,21,28,4750000,8464,4257,4207
125,21,28,4750100,3831,1868,1963
126,21,28,4750200,840,410,430
127,21,28,4750300,1059,520,539
128,21,28,4750400,3189,1614,1575
129,21,28,4750500,3616,1740,1876
130,21,28,4750600,0,0,0
131,21,28,4750700,2847,1402,1445
132,21,28,4750800,3081,1523,1558
133,21,28,4750900,1672,846,826
134,21,28,4751000,1174,571,603
135,21,28,4751100,3311,1697,1614
136,21,28,4751200,3800,1915,1885
137,21,28,4751300,2184,1136,1048
138,21,28,4751400,2171,1136,1035
139,21,28,4751500,2043,1054,989
140,21,28,4751600,395,196,199
141,21,28,4751700,887,470,417
142,21,28,4751800,722,371,351
143,21,28,4751900,276,139,137
144,21,28,4752000,2161,1039,1122
145,21,28,4752100,974,465,509
146,21,28,4752200,284,127,157
147,21,28,4752300,954,458,496
148,21,28,4752400,777,377,400
149,21,28,4752500,2575,1317,1258
150,21,28,4752600,104,49,55
151,21,28,4752700,332,169,163
152,21,28,4752800,2818,1559,1259
153,21,28,4752900,720,348,372
154,21,28,4753000,269,142,127
155,21,28,4753100,427,202,225
156,21,28,4753200,347,180,167
157,21,28,4753300,873,457,416
158,21,28,4753400,1631,817,814
159,21,28,4753500,1652,823,829
160,21,28,4753600,834,438,396
161,21,28,4753700,612,308,304
162,21,28,4753800,211,102,109
163,21,28,4753900,1887,970,917
164,21,28,4754000,684,336,348
165,21,28,4754100,2169,1059,1110
166,21,28,4754200,1001,511,490
167,21,28,4754300,1129,548,581
168,21,28,4754400,1790,876,914
169,21,28,4754500,2043,1011,1032
170,21,28,4754600,1681,848,833
171,21,28,4754700,2178,1105,1073
172,21,28,4754800,2573,1296,1277
173,21,28,4754900,1087,533,554
174,21,28,4755000,374,182,192
175,21,28,4755100,2093,1002,1091
176,21,28,4755200,165,91,74
177,21,28,4755300,1612,855,757
178,21,28,4755400,2920,1494,1426
179,21,28,4755500,1815,871,944
180,21,28,4755600,630,318,312
181,21,28,4755700,678,329,349
182,21,28,4755800,1969,972,997
183,21,28,4755900,628,310,318
184,21,28,4756000,3151,1571,1580
185,21,28,4756100,3118,1539,1579
186,21,28,4756200,2086,1052,1034
187,21,28,4756300,1834,929,905
188,21,28,4756400,410,227,183
189,21,28,4756500,2741,1435,1306
190,21,28,4756600,465,230,235
191,21,28,4756700,1302,648,654
192,21,28,4756800,220,108,112
193,21,28,4756900,986,498,488
194,21,28,4757000,1421,742,679
195,21,28,4757100,1408,720,688
196,21,28,4757200,842,428,414
197,21,28,4757300,495,252,243
198,21,28,4757400,1071,536,535
199,21,28,4757500,2751,1391,1360
200,21,28,4757600,3864,1977,1887
201,21,28,4757700,3303,1655,1648
202,21,28,4757800,2161,1087,1074
203,21,28,4757900,1321,702,619
204,21,28,4758000,829,440,389
205,21,28,4758100,1669,864,805
206,21,28,4758200,1503,887,616
207,21,28,4758300,1656,849,807
208,21,28,4758400,2416,1221,1195
209,21,28,4758500,1602,790,812
210,21,28,4758600,119,59,60
211,21,28,4758700,993,490,503
212,21,28,4758800,371,184,187
213,21,28,4758900,2347,1146,1201
214,21,28,4759000,604,292,312
215,21,28,4759100,1635,839,796
216,21,28,4759200,1534,758,776
217,21,28,4759300,0,0,0
218,21,28,4759400,933,463,470
219,21,28,4759500,2770,1405,1365
220,21,28,4759600,1908,976,932
221,21,28,4759700,1222,602,620
222,21,28,4759800,1540,765,775
223,21,28,4759900,835,416,419
224,21,28,4760000,734,360,374
225,21,28,4760100,843,417,426
226,21,28,4760200,466,246,220
227,21,28,4760300,509,261,248
228,21,28,4760400,271,123,148
229,21,28,4760500,320,154,166
230,21,28,4760600,651,333,318
231,21,28,4760700,167,83,84
232,21,28,4760800,979,453,526
233,21,28,4760900,664,345,319
234,21,28,4761000,167,85,82
235,21,28,4761100,0,0,0
236,21,28,4761200,1627,802,825
237,21,28,4761300,1110,551,559
238,21,28,4761400,0,0,0
239,21,28,4761500,774,390,384
240,21,28,4761600,673,311,362
241,21,28,4761700,280,136,144
242,21,28,4761800,612,314,298
243,21,28,4761900,1054,530,524
244,21,28,4762000,1215,580,635
245,21,28,4762100,415,207,208
246,21,28,4762200,157,82,75
247,21,28,4762300,565,284,281
248,21,28,4762400,345,174,171
249,21,28,4762500,502,242,260
250,21,28,4762600,881,452,429
251,21,28,4762700,639,322,317
252,21,28,4762800,1386,672,714
