,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,388,3049400,997,492,505
1,21,388,3049500,180,92,88
2,21,388,3049600,79,36,43
3,21,388,3049700,113,58,55
4,21,388,3049800,495,265,230
5,21,388,3049900,173,87,86
6,21,388,3050000,137,70,67
7,21,388,3050100,142,72,70
8,21,388,3050200,1206,701,505
9,21,388,3050300,359,170,189
10,21,388,3050400,115,59,56
11,21,388,3050500,254,118,136
12,21,388,3050600,709,361,348
13,21,388,3050700,971,509,462
14,21,388,3050800,2311,1164,1147
15,21,388,3050900,767,378,389
16,21,388,3051000,290,151,139
17,21,388,3051100,376,213,163
18,21,388,3051200,3521,1804,1717
19,21,388,3051300,741,378,363
20,21,388,3051400,1162,559,603
21,21,388,3051500,527,261,266
22,21,388,3051600,1570,810,760
23,21,388,3051700,231,120,111
24,21,388,3051800,471,257,214
25,21,388,3051900,1125,567,558
26,21,388,3052000,942,458,484
27,21,388,3052100,3182,1606,1576
28,21,388,3052200,1143,566,577
29,21,388,3052300,2271,1153,1118
30,21,388,3052400,23,13,10
31,21,388,3052500,654,330,324
32,21,388,3052600,1449,740,709
33,21,388,3052700,620,310,310
34,21,388,3052800,870,435,435
35,21,388,3052900,60,24,36
36,21,388,3053000,1923,951,972
37,21,388,3053100,681,372,309
38,21,388,3053200,4777,2408,2369
39,21,388,3053300,489,254,235
40,21,388,3053400,1881,934,947
41,21,388,3053500,326,164,162
42,21,388,3053600,709,375,334
43,21,388,3053700,1969,1033,936
44,21,388,3053800,367,183,184
45,21,388,3053900,1776,880,896
46,21,388,3054000,515,253,262
47,21,388,3054100,1033,486,547
48,21,388,3054200,1579,812,767
49,21,388,3054300,414,206,208
50,21,388,3054400,2,1,1
51,21,388,3054500,1080,532,548
52,21,388,3054600,818,414,404
53,21,388,3054700,346,177,169
54,21,388,3054800,502,238,264
55,21,388,3054900,2243,1141,1102
56,21,388,3055000,644,304,340
57,21,388,3055100,314,157,157
58,21,388,3055200,580,284,296
59,21,388,3055300,1846,861,985
60,21,388,3055400,0,0,0
61,21,388,3055500,32,16,16
62,21,388,3055600,60,27,33
63,21,388,3055700,416,211,205
64,21,388,3055800,53,21,32
65,21,388,3055900,2,1,1
66,21,388,3056000,7,4,3
67,21,388,3056100,828,396,432
68,21,388,3056200,0,0,0
69,21,388,3056300,59,30,29
70,21,388,3056400,864,435,429
71,21,388,3056500,504,245,259
72,21,388,3056600,328,168,160
73,21,388,3056700,590,309,281
74,21,388,3056800,71,35,36
75,21,388,3056900,690,336,354
76,21,388,3057000,1767,817,950
77,21,388,3057100,1340,657,683
78,21,388,3057200,1553,789,764
79,21,388,3057300,17,7,10
80,21,388,3057400,1563,762,801
81,21,388,3057500,317,167,150
82,21,388,3057600,1106,540,566
83,21,388,3057700,390,173,217
84,21,388,3057800,62,32,30
85,21,388,3057900,0,0,0
86,21,388,3058000,350,185,165
87,21,388,3058100,5537,2772,2765
88,21,388,3058200,96,49,47
89,21,388,3058300,390,196,194
90,21,388,3058400,380,195,185
91,21,388,3058500,870,462,408
92,21,388,3058600,101,48,53
93,21,388,3058700,8,4,4
94,21,388,3058800,715,337,378
95,21,388,3058900,800,408,392
96,21,388,3059000,873,410,463
97,21,388,3059100,357,186,171
98,21,388,3059200,1415,659,756
99,21,388,3059300,443,228,215
100,21,388,3059400,84,30,54
101,21,388,3059500,312,147,165
102,21,388,3059600,1409,706,703
103,21,388,3059700,525,247,278
104,21,388,3059800,1033,524,509
105,21,388,3059900,733,372,361
106,21,388,3060000,451,215,236
107,21,388,3060100,269,132,137
108,21,388,3060200,66,37,29
109,21,388,3060300,79,36,43
110,21,388,3060400,238,120,118
111,21,388,3060500,671,337,334
112,21,388,3060600,1498,772,726
113,21,388,3060700,203,102,101
114,21,388,3060800,200,96,104
115,21,388,3060900,3086,1527,1559
116,21,388,3061000,2477,1238,1239
117,21,388,3061100,753,382,371
118,21,388,3061200,223,119,104
119,21,388,3061300,371,189,182
120,21,388,3061400,733,371,362
121,21,388,3061500,496,235,261
122,21,388,3061600,2160,1065,1095
123,21,388,3061700,556,263,293
124,21,388,3061800,878,420,458
125,21,388,3061900,679,357,322
126,21,388,3062000,130,69,61
127,21,388,3062100,493,241,252
128,21,388,3062200,61,33,28
129,21,388,3062300,104,58,46
130,21,388,3062400,0,0,0
131,21,388,3062500,0,0,0
132,21,388,3062600,29,15,14
133,21,388,3062700,1390,716,674
134,21,388,3062800,112,53,59
135,21,388,3062900,4836,2488,2348
136,21,388,3063000,7,4,3
137,21,388,3063100,2298,1148,1150
138,21,388,3063200,1595,794,801
139,21,388,3063300,426,209,217
140,21,388,3063400,650,332,318
141,21,388,3063500,2079,1064,1015
142,21,388,3063600,377,184,193
143,21,388,3063700,51,21,30
144,21,388,3063800,629,310,319
145,21,388,3063900,1533,748,785
146,21,388,3064000,626,304,322
147,21,388,3064100,2265,1105,1160
148,21,388,3064200,3839,1995,1844
149,21,388,3064300,62,35,27
150,21,388,3064400,282,138,144
151,21,388,3064500,2813,1376,1437
152,21,388,3064600,2031,999,1032
153,21,388,3064700,209,109,100
154,21,388,3064800,181,96,85
155,21,388,3064900,266,130,136
156,21,388,3065000,329,169,160
157,21,388,3065100,181,84,97
158,21,388,3065200,649,321,328
159,21,388,3065300,1333,667,666
160,21,388,3065400,1002,475,527
161,21,388,3065500,362,184,178
162,21,388,3065600,664,304,360
163,21,388,3065700,644,317,327
164,21,388,3065800,759,390,369
165,21,388,3065900,3395,1636,1759
166,21,388,3066000,538,265,273
167,21,388,3066100,841,388,453
168,21,388,3066200,1620,781,839
169,21,388,3066300,1147,548,599
170,21,388,3066400,1067,519,548
171,21,388,3066500,799,417,382
172,21,388,3066600,1619,798,821
173,21,388,3066700,1114,530,584
174,21,388,3066800,1613,807,806
175,21,388,3066900,857,447,410
176,21,388,3067000,1031,523,508
177,21,388,3067100,716,346,370
178,21,388,3067200,1156,595,561
179,21,388,3067300,952,413,539
180,21,388,3067400,297,152,145
181,21,388,3067500,1352,606,746
182,21,388,3067600,1383,671,712
183,21,388,3067700,1209,570,639
184,21,388,3067800,1276,634,642
185,21,388,3067900,3449,1677,1772
186,21,388,3068000,849,445,404
187,21,388,3068100,18,8,10
188,21,388,3068200,102,44,58
189,21,388,3068300,963,503,460
190,21,388,3068400,412,200,212
191,21,388,3068500,174,84,90
192,21,388,3068600,2956,1441,1515
193,21,388,3068700,1449,720,729
194,21,388,3068800,481,240,241
195,21,388,3068900,0,0,0
196,21,388,3069000,769,387,382
197,21,388,3069100,39,21,18
198,21,388,3069200,342,180,162
199,21,388,3069300,215,104,111
200,21,388,3069400,1452,780,672
201,21,388,3069500,35,20,15
202,21,388,3069600,941,483,458
203,21,388,3069700,1913,946,967
204,21,388,3069800,1394,683,711
205,21,388,3069900,1230,606,624
206,21,388,3070000,0,0,0
207,21,388,3070100,754,361,393
208,21,388,3070200,1326,605,721
209,21,388,3070300,1380,661,719
210,21,388,3070400,2254,1047,1207
211,21,388,3070500,635,297,338
212,21,388,3070600,0,0,0
213,21,388,3070700,1345,649,696
214,21,388,3070800,3018,1453,1565
215,21,388,3070900,1455,700,755
216,21,388,3071000,1662,738,924
217,21,388,3071100,1950,946,1004
218,21,388,3071200,345,169,176
219,21,388,3071300,1411,735,676
220,21,388,3071400,1377,658,719
221,21,388,3071500,2008,1062,946
222,21,388,3071600,1649,839,810
223,21,388,3071700,0,0,0
224,21,388,3071800,3130,1498,1632
225,21,388,3071900,0,0,0
226,21,388,3072000,1040,508,532
227,21,388,3072100,1637,827,810
228,21,388,3072200,870,452,418
229,21,388,3072300,1665,773,892
230,21,388,3072400,1696,845,851
231,21,388,3072500,1414,688,726
232,21,388,3072600,446,237,209
233,21,388,3072700,82,41,41
234,21,388,3072800,190,94,96
235,21,388,3072900,54,25,29
236,21,388,3073000,0,0,0
237,21,388,3073100,164,81,83
238,21,388,3073200,241,121,120
239,21,388,3073300,183,98,85
240,21,388,3073400,627,345,282
241,21,388,3073500,3537,1796,1741
242,21,388,3073600,2392,1209,1183
243,21,388,3073700,0,0,0
244,21,388,3073800,1549,770,779
245,21,388,3073900,1043,530,513
246,21,388,3074000,520,261,259
247,21,388,3074100,1257,598,659
248,21,388,3074200,511,244,267
249,21,388,3074300,2559,1250,1309
250,21,388,3074400,1118,539,579
251,21,388,3074500,1426,697,729
252,21,388,3074600,1686,786,900
253,21,388,3074700,1497,767,730
254,21,388,3074800,2140,1041,1099
255,21,388,3074900,905,455,450
256,21,388,3075000,1289,638,651
257,21,388,3075100,113,54,59
258,21,388,3075200,5234,2581,2653
259,21,388,3075300,1097,571,526
260,21,388,3075400,1594,787,807
261,21,388,3075500,336,160,176
262,21,388,3075600,127,62,65
263,21,388,3075700,62,25,37
264,21,388,3075800,291,142,149
265,21,388,3075900,433,205,228
266,21,388,3076000,762,365,397
267,21,388,3076100,358,187,171
268,21,388,3076200,375,180,195
269,21,388,3076300,530,279,251
270,21,388,3076400,2418,1289,1129
271,21,388,3076500,2344,1158,1186
272,21,388,3076600,449,222,227
273,21,388,3076700,71,37,34
274,21,388,3076800,849,396,453
275,21,388,3076900,441,217,224
276,21,388,3077000,69,32,37
277,21,388,3077100,4251,2113,2138
278,21,388,3077200,164,71,93
279,21,388,3077300,824,391,433
280,21,388,3077400,824,417,407
281,21,388,3077500,323,157,166
282,21,388,3077600,1390,679,711
283,21,388,3077700,330,157,173
284,21,388,3077800,90,42,48
285,21,388,3077900,648,315,333
286,21,388,3078000,843,432,411
287,21,388,3078100,55,26,29
288,21,388,3078200,332,168,164
289,21,388,3078300,1491,752,739
290,21,388,3078400,599,309,290
291,21,388,3078500,175,85,90
292,21,388,3078600,382,198,184
293,21,388,3078700,945,465,480
294,21,388,3078800,414,207,207
295,21,388,3078900,346,174,172
296,21,388,3079000,168,87,81
297,21,388,3079100,525,251,274
298,21,388,3079200,2194,1087,1107
299,21,388,3079300,764,374,390
300,21,388,3079400,110,66,44
301,21,388,3079500,121,61,60
302,21,388,3079600,253,130,123
303,21,388,3079700,0,0,0
304,21,388,3079800,767,370,397
305,21,388,3079900,290,146,144
306,21,388,3080000,757,399,358
307,21,388,3080100,129,65,64
308,21,388,3080200,909,465,444
309,21,388,3080300,693,357,336
310,21,388,3080400,178,92,86
311,21,388,3080500,1236,573,663
312,21,388,3080600,1407,702,705
313,21,388,3080700,1129,563,566
314,21,388,3080800,765,382,383
315,21,388,3080900,662,327,335
316,21,388,3081000,1847,961,886
317,21,388,3081100,982,473,509
318,21,388,3081200,1437,753,684
319,21,388,3081300,934,468,466
320,21,388,3081400,1439,705,734
321,21,388,3081500,648,340,308
322,21,388,3081600,0,0,0
323,21,388,3081700,1316,662,654
324,21,388,3081800,5591,2812,2779
325,21,388,3081900,1351,692,659
326,21,388,3082000,7272,3800,3472
327,21,388,3082100,0,0,0
328,21,388,3082200,0,0,0
329,21,388,3082300,2599,1278,1321
330,21,388,3082400,245,121,124
331,21,388,3082500,642,305,337
332,21,388,3082600,2422,1205,1217
333,21,388,3082700,770,382,388
334,21,388,3082800,425,203,222
335,21,388,3082900,1775,895,880
336,21,388,3083000,713,330,383
337,21,388,3083100,218,111,107
338,21,388,3083200,269,132,137
339,21,388,3083300,35,18,17
340,21,388,3083400,1397,757,640
341,21,388,3083500,487,263,224
342,21,388,3083600,527,272,255
