,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,1,100,1544,763,781
1,21,1,200,2710,1365,1345
2,21,1,300,869,422,447
3,21,1,400,778,392,386
4,21,1,500,838,386,452
5,21,1,600,1234,612,622
6,21,1,700,916,455,461
7,21,1,800,765,367,398
8,21,1,900,716,345,371
9,21,1,1000,825,398,427
10,21,1,1100,1138,568,570
11,21,1,1200,0,0,0
12,21,1,1300,2302,1149,1153
13,21,1,1400,488,243,245
14,21,1,1500,1071,529,542
15,21,1,1600,524,256,268
16,21,1,1700,1154,578,576
17,21,1,1800,606,313,293
18,21,1,1900,693,352,341
19,21,1,2000,1307,649,658
20,21,1,2100,1848,925,923
21,21,1,2200,657,322,335
22,21,1,2300,1062,508,554
23,21,1,2400,1527,758,769
24,21,1,2500,0,0,0
25,21,1,2600,348,172,176
26,21,1,2700,547,262,285
27,21,1,2800,385,196,189
28,21,1,2900,879,445,434
29,21,1,3000,1117,547,570
30,21,1,3100,1276,623,653
31,21,1,3200,542,282,260
32,21,1,3300,620,303,317
33,21,1,3400,446,238,208
34,21,1,3500,161,80,81
35,21,1,3600,963,475,488
36,21,1,3700,299,161,138
37,21,1,3800,280,133,147
38,21,1,3900,442,220,222
39,21,1,4000,596,292,304
40,21,1,4100,552,275,277
41,21,1,4200,223,103,120
42,21,1,4300,613,315,298
43,21,1,4400,891,451,440
44,21,1,4500,1111,634,477
45,21,1,4600,149,135,14
46,21,1,4700,215,72,143
47,21,1,4800,4308,2230,2078
48,21,1,4900,844,435,409
49,21,1,5000,485,235,250
50,21,1,5100,305,135,170
51,21,1,5200,1434,695,739
52,21,1,5300,1597,797,800
53,21,1,5400,459,226,233
54,21,1,5500,667,346,321
55,21,1,5600,947,468,479
56,21,1,5700,557,267,290
57,21,1,5800,404,194,210
58,21,1,5900,1122,612,510
59,21,1,6000,545,281,264
60,21,1,6100,1233,630,603
61,21,1,6200,536,249,287
62,21,1,6300,1774,879,895
63,21,1,6400,1358,663,695
64,21,1,6500,868,442,426
65,21,1,6600,795,385,410
66,21,1,6700,1473,731,742
67,21,1,6800,495,240,255
68,21,1,6900,875,443,432
69,21,1,7000,1181,562,619
70,21,1,7100,169,82,87
71,21,1,7200,348,188,160
72,21,1,7300,1204,622,582
73,21,1,7400,358,174,184
74,21,1,7500,257,123,134
75,21,1,7600,0,0,0
76,21,1,7700,326,152,174
77,21,1,7800,434,218,216
78,21,1,7900,1254,640,614
79,21,1,8000,117,46,71
80,21,1,8100,188,85,103
81,21,1,8200,128,64,64
82,21,1,8300,443,217,226
83,21,1,8400,330,147,183
84,21,1,8500,413,198,215
85,21,1,8600,397,199,198
86,21,1,8700,1527,747,780
87,21,1,8800,968,479,489
88,21,1,8900,1268,630,638
89,21,1,9000,950,488,462
90,21,1,9100,200,96,104
91,21,1,9200,2867,1457,1410
92,21,1,9300,1243,611,632
93,21,1,9400,1219,618,601
94,21,1,9500,1732,849,883
95,21,1,9600,798,386,412
