,Subdistcode,Subdistrict,Districtcode,Population,Males,Females
0,2755,Paikamal,370,100438,49972,50466
1,2756,Jharbandha,370,113288,55965,57323
2,2757,Padmapur,370,88793,44649,44144
3,2758,BurdenP.S.,370,36343,17965,18378
4,2759,Gaisilet,370,84623,42348,42275
5,2760,Melchhamunda,370,76751,38524,38227
6,2761,Sohela,370,114261,57912,56349
7,2762,Bijepur,370,117329,59135,58194
8,2763,Barapali,370,140163,71676,68487
9,2764,Bheden,370,139212,71097,68115
10,2765,Bargarh,370,179348,92307,87041
11,2766,Bargarh Sadar ,370,85657,43815,41842
12,2767,Bhatli,370,98695,49733,48962
13,2768,Ambabhona,370,71807,36165,35642
14,2769,Attabira,370,171880,87357,84523
15,2770,Rengali,371,67185,34031,33154
16,2771,Lakhanpur,371,38240,19186,19054
17,2772,Belpahar,371,47634,24688,22946
18,2773,Banaharapali,371,49201,25320,23881
19,2774,Orient,371,90165,46927,43238
20,2775,Brajarajnagar,371,29588,15070,14518
21,2776,Jharsuguda,371,137212,71092,66120
22,2777,Badmal ,371,30797,16408,14389
23,2778,Laikera,371,110779,55400,55379
24,2779,Kolabira,371,46627,23340,23287
25,2780,Govindpur,372,65536,32597,32939
26,2781,Mahulpalli,372,84919,42130,42789
27,2782,Kochinda,372,90499,45221,45278
28,2783,Katarbaga,372,33106,16595,16511
29,2784,Thelkoloi  ,372,29825,15279,14546
30,2785,Rengali ,372,29763,15273,14490
31,2786,Sasan,372,70688,35902,34786
32,2787,Hirakud,372,41984,21682,20302
33,2788,Burla,372,95093,48315,46778
34,2789,Dhanupali,372,8562,4428,4134
35,2790,Ainthapali,372,13993,7001,6992
36,2791,Sadar,372,51706,26237,25469
37,2792,Jamankira,372,65657,32721,32936
38,2793,Kisinda,372,22672,11372,11300
39,2794,Jujomura,372,63464,32072,31392
40,2795,Dhama,372,49400,25101,24299
41,2796,Charamal,372,32719,16485,16234
42,2797,Rairakhol,372,61504,31099,30405
43,2798,Naktideul,372,32745,16345,16400
44,2799,Sambalpur (M),372,209843,107999,101844
45,2800,Debagarh,373,121504,61489,60015
46,2801,Barkot,373,82072,41623,40449
47,2802,Kundheigola,373,59024,30314,28710
48,2803,Reamal,373,89302,44745,44557
49,2804,Hemgir,374,94991,47934,47057
50,2805,Lephripara,374,79251,39740,39511
51,2806,Bhasma,374,47296,23797,23499
52,2807,Dharuadihi,374,39798,19870,19928
53,2808,Sundargarh Town,374,55011,27807,27204
54,2809,Sundargarh ,374,83280,41355,41925
55,2810,Kinjirkela,374,64540,31953,32587
56,2811,Talasara,374,90368,44580,45788
57,2812,Baragaon,374,87559,43794,43765
58,2813,Kutra,374,74662,37389,37273
59,2814,Rajagangapur,374,186628,94007,92621
60,2815,Raiboga,374,48838,24330,24508
61,2816,Biramitrapur,374,108834,54659,54175
62,2817,Hatibari,374,69572,34472,35100
63,2818,Bisra,374,110602,55106,55496
64,2819,Bondamunda,374,16175,8199,7976
65,2820,Brahmani Tarang,374,64778,32281,32497
66,2821,Raghunathapali,374,29315,14873,14442
67,2822,Tangarapali,374,6573,3364,3209
68,2823,Lathikata,374,27911,14408,13503
69,2824,Chandiposh,374,24561,12248,12313
70,2825,Kamarposh Balang,374,48141,24119,24022
71,2826,Koida,374,45861,23378,22483
72,2827,Lahunipara,374,87445,43522,43923
73,2828,Gurundia,374,39606,19568,20038
74,2829,Tikaetpali,374,26500,13093,13407
75,2830,Banei,374,69429,34465,34964
76,2831,Mahulapada,374,21559,10974,10585
77,2832,Raurkela (M),374,359525,189957,169568
78,2833,Raurkela (ITS)P.S.,374,243110,126826,116284
79,2834,Barbil,375,94852,49533,45319
80,2835,Bolani,375,22541,11619,10922
81,2836,Rugudi,375,18670,9929,8741
82,2837,Joda,375,81963,41827,40136
83,2838,Bamebari ,375,63443,32441,31002
84,2839,Champua,375,109494,54970,54524
85,2840,Jhumpura,375,52918,26548,26370
86,2841,Baria,375,83052,40947,42105
87,2842,Turumunga,375,77340,38384,38956
88,2843,Patana,375,118183,58306,59877
89,2844,Kendujhar Sadar,375,177475,88254,89221
90,2845,Kendujhar Town,375,111482,57419,54063
91,2846,Nayakote,375,51925,25533,26392
92,2847,Kanjipani,375,24512,12115,12397
93,2848,Telkoi,375,107917,53701,54216
94,2849,Pandapara,375,71376,35659,35717
95,2850,Ghatgaon,375,120756,60285,60471
96,2851,Harichandanpur,375,90997,45597,45400
97,2852,Daitari,375,31085,15724,15361
98,2853,Ghasipura,375,127108,64062,63046
99,2854,Anandapur,375,140049,70684,69365
100,2855,Soso,375,72431,36376,36055
101,2856,Nandipada,375,93062,47209,45853
102,2857,Sainkul,375,88722,44894,43828
103,2858,Tiring,376,113430,56238,57192
104,2859,Bahalda,376,60069,29789,30280
105,2860,Jamda,376,55082,26519,28563
106,2861,Rairangpur Town,376,57324,28565,28759
107,2862,Gorumahisani,376,53775,26165,27610
108,2863,Jharpokharia,376,112615,56894,55721
109,2864,Bisoi,376,83393,40658,42735
110,2865,Rairangpur,376,92221,45504,46717
111,2866,Badampahar,376,72098,35046,37052
112,2867,Jashipur,376,136578,67286,69292
113,2868,Raruan,376,88256,43716,44540
114,2869,Ghagarbeda ,376,32613,16264,16349
115,2870,Karanjia,376,129077,63921,65156
116,2871,Thakurmunda,376,65327,31893,33434
117,2872,Baripada Sadar,376,98280,49293,48987
118,2873,Baripada Town,376,5811,2929,2882
119,2874,Koliana,376,93448,46556,46892
120,2875,Bangiriposi,376,118379,59095,59284
121,2876,Chandua,376,71534,36327,35207
122,2877,Suliapada,376,97449,48793,48656
123,2878,Muruda,376,87272,43356,43916
124,2879,Rasagobindapur,376,108926,55078,53848
125,2880,Baisinga,376,137714,69222,68492
126,2881,Betanati,376,101185,50961,50224
127,2882,Barsahi,376,149612,75361,74251
128,2883,Khunta,376,139497,68971,70526
129,2884,Udala,376,124249,61997,62252
130,2885,Kaptipada,376,86246,43454,42792
131,2886,Sharata,376,87309,43582,43727
132,2887,Mahuldiha,376,52817,25908,26909
133,2888,Baripada (M),376,131860,68260,63600
134,2889,Raibania ,377,91446,46227,45219
135,2890,Jaleswar ,377,169512,87244,82268
136,2891,Bhograi,377,214273,110687,103586
137,2892,Kamarda,377,109276,56627,52649
138,2893,Baliapal ,377,193135,98711,94424
139,2894,Singla ,377,152476,78509,73967
140,2895,Basta ,377,172632,88819,83813
141,2896,Rupsa ,377,28624,14585,14039
142,2897,Baleshwar Sadar,377,203515,104627,98888
143,2898,Sahadevkhunta,377,11629,6024,5605
144,2899,Chandipur ,377,46123,23586,22537
145,2900,Balaramgadi Marine ,377,5952,3033,2919
146,2901,Bampada ,377,12826,6646,6180
147,2902,Remuna ,377,104169,53025,51144
148,2903,Nilagiri ,377,150192,76167,74025
149,2904,Berhampur ,377,65471,32745,32726
150,2905,Oupada  ,377,45181,22438,22743
151,2906,Khaira  ,377,158838,78864,79974
152,2907,Soro,377,353987,182184,171803
153,2908,Similia ,377,183663,92973,90690
154,2909,Baleshwar (M),377,164061,83774,80287
155,2910,Agarpada ,378,66303,33467,32836
156,2911,Bant ,378,72252,36531,35721
157,2912,Bhandari Pokhari ,378,125722,63038,62684
158,2913,Dhamanagar,378,135919,68433,67486
159,2914,Bhadrak Rural ,378,404664,206438,198226
160,2915,Basudebpur ,378,183876,91402,92474
161,2916,Naikanidihi ,378,103932,52696,51236
162,2917,Tihidi ,378,222010,111199,110811
163,2918,Dhusuri ,378,138775,69991,68784
164,2919,Chandabali ,378,114879,57832,57047
165,2920,Bansada ,378,141979,72126,69853
166,2921,Dhamara Marine,378,4640,2398,2242
167,2922,Rajkanika ,379,155243,74358,80885
168,2923,Rajnagar ,379,180208,90924,89284
169,2924,Jamboo Marine  ,379,32514,16988,15526
170,2925,Aali ,379,151928,71121,80807
171,2926,Pattamundai ,379,241522,118585,122937
172,2927,Kendrapara,379,51826,26694,25132
173,2928,Kendrapara Sadar  ,379,175285,89051,86234
174,2929,Nikirai ,379,74912,37403,37509
175,2930,Derabish ,379,72666,37033,35633
176,2931,Patkura ,379,195504,99283,96221
177,2932,Marsaghai ,379,119253,60975,58278
178,2933,Mahakalapada ,379,137173,68994,68179
179,2934,Paradip ,380,78467,42750,35717
180,2935,Paradeep Lock ,380,43557,22255,21302
181,2936,Kujang ,380,119330,60923,58407
182,2937,Abhyachandpur  ,380,25837,13227,12610
183,2938,Ersama ,380,117087,58663,58424
184,2939,Tirtol ,380,236445,118546,117899
185,2940,Jagatsinghapur,380,267885,135893,131992
186,2941,Biridi,380,90688,46253,44435
187,2942,Naugaon ,380,85454,42883,42571
188,2943,Balikuda ,380,180613,91564,89049
189,2944,Narasinghpur ,381,108267,56621,51646
190,2945,Kanpur ,381,66072,34838,31234
191,2946,Badamba ,381,166124,86834,79290
192,2947,Baidyeswar ,381,61274,31687,29587
193,2948,Banki ,381,195817,101708,94109
194,2949,Tigiria ,381,82777,42908,39869
195,2950,Athagad ,381,98850,50974,47876
196,2951,Barang ,381,47183,24549,22634
197,2952,Gurudijhatia ,381,37797,19210,18587
198,2953,Khuntuni  ,381,42987,21797,21190
199,2954,Choudwar ,381,129639,67007,62632
200,2955,Tangi ,381,92814,47604,45210
201,2956,Mahanga ,381,207310,106598,100712
202,2957,Salepur ,381,159052,80672,78380
203,2958,Nischintakoili ,381,59331,30537,28794
204,2959,Nemalo,381,76893,38820,38073
205,2960,Kishannagar ,381,108259,55338,52921
206,2961,Jagatpur ,381,69158,35461,33697
207,2962,Cuttack Sadar ,381,120486,61419,59067
208,2963,Kandarpur,381,37410,19096,18314
209,2964,C.R.R.I. ,381,3538,1761,1777
210,2965,Gobindpur ,381,70945,36220,34725
211,2966,Olatapur,381,28328,14639,13689
212,2967,Niali ,381,163577,83228,80349
213,2968,Cuttack (M Corp.),381,676714,350720,325994
214,2969,Sukinda,382,90264,45973,44291
215,2970,Tomka,382,51466,26325,25141
216,2971,Kaliapani ,382,43273,22153,21120
217,2972,Kalinganagar ,382,55516,28155,27361
218,2973,Jakhapura,382,19575,9886,9689
219,2974,Jajapur Road ,382,110429,56933,53496
220,2975,Korai ,382,108835,55283,53552
221,2976,Panikoili ,382,73459,37680,35779
222,2977,Jajapur    ,382,151509,77356,74153
223,2978,Jajpur Sadar  ,382,143554,73252,70302
224,2979,Dharmasala ,382,185337,94449,90888
225,2980,Jenapur  ,382,98574,50195,48379
226,2981,Kuakhia  ,382,125163,63922,61241
227,2982,Badachana ,382,145855,74596,71259
228,2983,Balichandrapur ,382,125209,63616,61593
229,2984,Binjharpur ,382,221075,109814,111261
230,2985,Bari - Ramachandrapur,382,139260,69505,69755
231,2986,Mangalpur ,382,164434,81276,83158
232,2987,Parajang ,383,181137,92374,88763
233,2988,Kamakshyanagar ,383,128953,66187,62766
234,2989,Kankadahad  ,383,67421,34048,33373
235,2990,Bhuban ,383,111283,57257,54026
236,2991,Gandia ,383,115017,58629,56388
237,2992,Nihalprasad ,383,58864,30032,28832
238,2993,Tumusingha ,383,59250,30496,28754
239,2994,Motunga ,383,68294,35566,32728
240,2995,Bhusan Steel Limited,383,29537,16078,13459
241,2996,Balimi ,383,52411,26844,25567
242,2997,Hindol ,383,48630,24791,23839
243,2998,Rasol ,383,81328,41404,39924
244,2999,Dhenkanal Sadar ,383,311467,160918,150549
245,2995,Bhusan Steel Limited,384,29537,16078,13459
246,3000,Palalahada ,384,74907,38058,36849
247,3001,Khamar ,384,71563,36437,35126
248,3002,Rengali Damsite ,384,42695,22286,20409
249,3003,Kaniha ,384,62826,32845,29981
250,3004,N.T.P.C.   ,384,18720,9797,8923
251,3005,Samal Barrage ,384,35455,18512,16943
252,3006,Talcher Sadar,384,110545,58187,52358
253,3007,Colliery ,384,69889,36843,33046
254,3008,Bikrampur ,384,29080,15513,13567
255,3009,NALCO   ,384,56842,29716,27126
256,3010,Banarpal,384,88883,45917,42966
257,3011,Anugul ,384,175127,91620,83507
258,3012,Jarapada ,384,69209,35250,33959
259,3013,Industrial  ,384,38719,19747,18972
260,3014,Chhendipada ,384,117130,60024,57106
261,3015,Handapa,384,58247,29629,28618
262,3016,Kishorenagar ,384,63667,31811,31856
263,3017,Athmallik ,384,64265,32436,31829
264,3018,Kiakata,384,17803,8883,8920
265,3019,Thakurgarh ,384,56304,27979,28325
266,3020,Purunakot ,384,33316,16730,16586
267,3021,Bantala ,384,80919,41048,39871
268,3022,Gania ,385,41986,21881,20105
269,3023,Dasapalla ,385,84569,43839,40730
270,3024,Banigochha ,385,28729,14309,14420
271,3025,Nuagaon ,385,48015,24821,23194
272,3026,Khandapada ,385,104909,54985,49924
273,3027,Fategarh,385,136968,71594,65374
274,3028,Nayagarh ,385,65461,34735,30726
275,3029,Itamati ,385,78115,41420,36695
276,3030,Nayagarh Sadar,385,53403,28200,25203
277,3031,Odagaon,385,126512,66025,60487
278,3032,Sarankul,385,116570,61763,54807
279,3033,Ranapur ,385,164557,84486,80071
280,3034,Bolagad ,386,105850,54640,51210
281,3035,Begunia,386,113279,57973,55306
282,3036,Khordha ,386,163190,84350,78840
283,3037,Khordha Sadar,386,72328,36935,35393
284,3038,Chandaka,386,64667,33073,31594
285,3039,Nandankanan,386,20600,10534,10066
286,3041,Mancheswar,386,5966,3050,2916
287,3042,Balianta ,386,106940,54681,52259
288,3043,Balipatna,386,154818,79136,75682
289,3044,Lingaraj,386,221,117,104
290,3045,Airfield (Kapila Prasad),386,15674,8116,7558
