,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,386,2722800,249,121,128
1,21,386,2722900,371,181,190
2,21,386,2723000,489,256,233
3,21,386,2723100,64,34,30
4,21,386,2723200,539,295,244
5,21,386,2723300,1254,654,600
6,21,386,2723400,271,133,138
7,21,386,2723500,118,53,65
8,21,386,2723600,1174,608,566
9,21,386,2723700,429,220,209
10,21,386,2723800,945,474,471
11,21,386,2723900,352,177,175
12,21,386,2724000,2,2,0
13,21,386,2724100,1799,889,910
14,21,386,2724200,653,331,322
15,21,386,2724300,991,525,466
16,21,386,2724400,1912,987,925
17,21,386,2724500,349,176,173
18,21,386,2724600,275,153,122
19,21,386,2724700,545,289,256
20,21,386,2724800,1450,728,722
21,21,386,2724900,566,291,275
22,21,386,2725000,1128,584,544
23,21,386,2725100,245,116,129
24,21,386,2725200,2,2,0
25,21,386,2725300,281,134,147
26,21,386,2725400,757,376,381
27,21,386,2725500,959,438,521
28,21,386,2725600,92,44,48
29,21,386,2725700,0,0,0
30,21,386,2725800,2317,1152,1165
31,21,386,2725900,598,303,295
32,21,386,2726000,490,249,241
33,21,386,2726100,1697,856,841
34,21,386,2726200,257,122,135
35,21,386,2726300,303,154,149
36,21,386,2726400,157,75,82
37,21,386,2726500,171,95,76
38,21,386,2726600,656,334,322
39,21,386,2726700,0,0,0
40,21,386,2726800,314,164,150
41,21,386,2726900,357,167,190
42,21,386,2727000,164,80,84
43,21,386,2727100,768,356,412
44,21,386,2727200,647,327,320
45,21,386,2727300,696,346,350
46,21,386,2727400,236,116,120
47,21,386,2727500,430,226,204
48,21,386,2727600,485,243,242
49,21,386,2727700,664,313,351
50,21,386,2727800,447,223,224
51,21,386,2727900,328,176,152
52,21,386,2728000,412,196,216
53,21,386,2728100,717,376,341
54,21,386,2728200,919,582,337
55,21,386,2728300,468,237,231
56,21,386,2728400,13,7,6
57,21,386,2728500,0,0,0
58,21,386,2728600,1102,568,534
59,21,386,2728700,521,265,256
60,21,386,2728800,386,197,189
61,21,386,2728900,510,259,251
62,21,386,2729000,473,227,246
63,21,386,2729100,645,341,304
64,21,386,2729200,520,277,243
65,21,386,2729300,983,513,470
66,21,386,2729400,1189,603,586
67,21,386,2729500,1542,796,746
68,21,386,2729600,142,76,66
69,21,386,2729700,202,103,99
70,21,386,2729800,1048,536,512
71,21,386,2729900,627,316,311
72,21,386,2730000,305,145,160
73,21,386,2730100,206,97,109
74,21,386,2730200,525,280,245
75,21,386,2730300,381,189,192
76,21,386,2730400,420,233,187
77,21,386,2730500,0,0,0
78,21,386,2730600,0,0,0
79,21,386,2730700,341,188,153
80,21,386,2730800,919,459,460
81,21,386,2730900,0,0,0
82,21,386,2731000,855,402,453
83,21,386,2731100,325,165,160
84,21,386,2731200,356,183,173
85,21,386,2731300,164,85,79
86,21,386,2731400,600,296,304
87,21,386,2731500,455,230,225
88,21,386,2731600,334,179,155
89,21,386,2731700,795,419,376
90,21,386,2731800,0,0,0
91,21,386,2731900,616,311,305
92,21,386,2732000,449,245,204
93,21,386,2732100,325,157,168
94,21,386,2732200,363,170,193
95,21,386,2732300,358,179,179
96,21,386,2732400,0,0,0
97,21,386,2732500,386,195,191
98,21,386,2732600,965,501,464
99,21,386,2732700,946,492,454
100,21,386,2732800,1294,692,602
101,21,386,2732900,21,9,12
102,21,386,2733000,937,460,477
103,21,386,2733100,678,345,333
104,21,386,2733200,221,109,112
105,21,386,2733300,1676,814,862
106,21,386,2733400,1462,729,733
107,21,386,2733500,670,352,318
108,21,386,2733600,724,363,361
109,21,386,2733700,441,224,217
110,21,386,2733800,1374,690,684
111,21,386,2733900,244,124,120
112,21,386,2734000,591,307,284
113,21,386,2734100,658,339,319
114,21,386,2734200,370,189,181
115,21,386,2734300,1560,820,740
116,21,386,2734400,3472,1797,1675
117,21,386,2734500,213,106,107
118,21,386,2734600,2613,1364,1249
119,21,386,2734700,1669,811,858
120,21,386,2734800,291,139,152
121,21,386,2734900,151,81,70
122,21,386,2735000,0,0,0
123,21,386,2735100,79,45,34
124,21,386,2735200,494,261,233
125,21,386,2735300,411,215,196
126,21,386,2735400,504,255,249
127,21,386,2735500,202,104,98
128,21,386,2735600,0,0,0
129,21,386,2735700,2872,1466,1406
130,21,386,2735800,3581,1791,1790
131,21,386,2735900,876,441,435
132,21,386,2736000,375,203,172
133,21,386,2736100,1378,687,691
134,21,386,2736200,632,343,289
135,21,386,2736300,0,0,0
136,21,386,2736400,0,0,0
137,21,386,2736500,329,189,140
138,21,386,2736600,465,242,223
139,21,386,2736700,1772,910,862
140,21,386,2736800,97,45,52
141,21,386,2736900,503,260,243
142,21,386,2737000,3,2,1
143,21,386,2737100,0,0,0
144,21,386,2737200,538,284,254
145,21,386,2737300,176,93,83
146,21,386,2737400,870,448,422
147,21,386,2737500,879,447,432
148,21,386,2737600,0,0,0
149,21,386,2737700,958,485,473
150,21,386,2737800,777,401,376
151,21,386,2737900,443,213,230
152,21,386,2738000,399,195,204
153,21,386,2738100,383,195,188
154,21,386,2738200,1725,875,850
155,21,386,2738300,843,437,406
156,21,386,2738400,334,177,157
157,21,386,2738500,1217,629,588
158,21,386,2738600,1078,548,530
159,21,386,2738700,1090,545,545
160,21,386,2738800,1314,660,654
161,21,386,2738900,1170,632,538
162,21,386,2739000,645,308,337
163,21,386,2739100,1169,612,557
164,21,386,2739200,259,131,128
165,21,386,2739300,840,440,400
166,21,386,2739400,1869,977,892
167,21,386,2739500,689,338,351
168,21,386,2739600,2217,1105,1112
169,21,386,2739700,898,458,440
170,21,386,2739800,531,247,284
171,21,386,2739900,1276,639,637
172,21,386,2740000,79,33,46
173,21,386,2740100,630,337,293
174,21,386,2740200,0,0,0
175,21,386,2740300,0,0,0
176,21,386,2740400,0,0,0
177,21,386,2740500,55,28,27
178,21,386,2740600,936,486,450
179,21,386,2740700,375,199,176
180,21,386,2740800,23,11,12
181,21,386,2740900,543,277,266
182,21,386,2741000,106,51,55
183,21,386,2741100,0,0,0
184,21,386,2741200,432,214,218
185,21,386,2741300,128,63,65
186,21,386,2741400,361,182,179
187,21,386,2741500,262,139,123
188,21,386,2741600,103,55,48
189,21,386,2741700,161,88,73
190,21,386,2741800,267,128,139
191,21,386,2741900,0,0,0
192,21,386,2742000,368,188,180
193,21,386,2742100,68,29,39
194,21,386,2742200,1308,614,694
195,21,386,2742300,374,194,180
196,21,386,2742400,309,158,151
197,21,386,2742500,430,206,224
198,21,386,2742600,387,194,193
199,21,386,2742700,798,390,408
200,21,386,2742800,754,384,370
201,21,386,2742900,268,135,133
202,21,386,2743000,638,332,306
203,21,386,2743100,909,452,457
