,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,373,287800,472,318,154
1,21,373,287900,99,57,42
2,21,373,288000,251,124,127
3,21,373,288100,0,0,0
4,21,373,288200,658,334,324
5,21,373,288300,285,132,153
6,21,373,288400,647,331,316
7,21,373,288500,238,121,117
8,21,373,288600,204,100,104
9,21,373,288700,111,55,56
10,21,373,288800,389,191,198
11,21,373,288900,334,166,168
12,21,373,289000,1299,644,655
13,21,373,289100,1089,532,557
14,21,373,289200,696,329,367
15,21,373,289300,1336,651,685
16,21,373,289400,1004,491,513
17,21,373,289500,140,60,80
18,21,373,289600,673,338,335
19,21,373,289700,450,226,224
20,21,373,289800,101,43,58
21,21,373,289900,503,254,249
22,21,373,290000,160,85,75
23,21,373,290100,720,370,350
24,21,373,290200,954,477,477
25,21,373,290300,132,70,62
26,21,373,290400,77,39,38
27,21,373,290500,264,124,140
28,21,373,290600,129,66,63
29,21,373,290700,200,92,108
30,21,373,290800,282,141,141
31,21,373,290900,1089,565,524
32,21,373,291000,177,80,97
33,21,373,291100,265,135,130
34,21,373,291200,290,150,140
35,21,373,291300,312,165,147
36,21,373,291400,150,69,81
37,21,373,291500,254,132,122
38,21,373,291600,215,111,104
39,21,373,291700,307,148,159
40,21,373,291800,186,87,99
41,21,373,291900,208,104,104
42,21,373,292000,230,117,113
43,21,373,292100,609,302,307
44,21,373,292200,207,102,105
45,21,373,292300,443,228,215
46,21,373,292400,521,273,248
47,21,373,292500,42,20,22
48,21,373,292600,17,4,13
49,21,373,292700,51,31,20
50,21,373,292800,379,193,186
51,21,373,292900,185,91,94
52,21,373,293000,204,107,97
53,21,373,293100,361,167,194
54,21,373,293200,250,125,125
55,21,373,293300,53,27,26
56,21,373,293400,469,242,227
57,21,373,293500,467,233,234
58,21,373,293600,278,148,130
59,21,373,293700,2046,981,1065
60,21,373,293800,1787,896,891
61,21,373,293900,180,85,95
62,21,373,294000,656,313,343
63,21,373,294100,115,53,62
64,21,373,294200,568,277,291
65,21,373,294300,180,88,92
66,21,373,294400,508,259,249
67,21,373,294500,544,255,289
68,21,373,294600,139,66,73
69,21,373,294700,596,297,299
70,21,373,294800,199,92,107
71,21,373,294900,392,198,194
72,21,373,295000,85,43,42
73,21,373,295100,1129,565,564
74,21,373,295200,87,39,48
75,21,373,295300,175,91,84
76,21,373,295400,64,33,31
77,21,373,295500,686,330,356
78,21,373,295600,0,0,0
79,21,373,295700,888,435,453
80,21,373,295800,168,71,97
81,21,373,295900,214,110,104
82,21,373,296000,379,201,178
83,21,373,296100,293,147,146
84,21,373,296200,365,180,185
85,21,373,296300,1215,611,604
86,21,373,296400,757,384,373
87,21,373,296500,655,332,323
88,21,373,296600,344,179,165
89,21,373,296700,52,22,30
90,21,373,296800,432,198,234
91,21,373,296900,164,84,80
92,21,373,297000,720,347,373
93,21,373,297100,157,80,77
94,21,373,297200,257,120,137
95,21,373,297300,0,0,0
96,21,373,297400,58,33,25
97,21,373,297500,0,0,0
98,21,373,297600,124,67,57
99,21,373,297700,224,125,99
100,21,373,297800,242,128,114
101,21,373,297900,68,33,35
102,21,373,298000,26,14,12
103,21,373,298100,387,185,202
104,21,373,298200,64,39,25
105,21,373,298300,896,452,444
106,21,373,298400,145,62,83
107,21,373,298500,402,192,210
108,21,373,298600,490,238,252
109,21,373,298700,200,100,100
110,21,373,298800,833,424,409
111,21,373,298900,213,101,112
112,21,373,299000,0,0,0
113,21,373,299100,53,27,26
114,21,373,299200,96,46,50
115,21,373,299300,305,149,156
116,21,373,299400,466,247,219
117,21,373,299500,37,19,18
118,21,373,299600,234,111,123
119,21,373,299700,107,46,61
120,21,373,299800,177,91,86
121,21,373,299900,47,25,22
122,21,373,300000,546,267,279
123,21,373,300100,784,394,390
124,21,373,300200,35,13,22
125,21,373,300300,157,79,78
126,21,373,300400,657,322,335
127,21,373,300500,15,7,8
128,21,373,300600,0,0,0
129,21,373,300700,1534,774,760
130,21,373,300800,28,28,0
131,21,373,300900,175,91,84
132,21,373,301000,424,212,212
133,21,373,301100,165,78,87
134,21,373,301200,115,51,64
135,21,373,301300,13,7,6
136,21,373,301400,94,43,51
137,21,373,301500,315,161,154
138,21,373,301600,80,34,46
139,21,373,301700,180,87,93
140,21,373,301800,407,196,211
141,21,373,301900,437,214,223
142,21,373,302000,231,117,114
143,21,373,302100,461,236,225
144,21,373,302200,542,275,267
145,21,373,302300,3447,1775,1672
146,21,373,302400,852,421,431
147,21,373,302500,279,145,134
148,21,373,302600,351,179,172
149,21,373,302700,421,214,207
150,21,373,302800,534,281,253
151,21,373,302900,20,9,11
152,21,373,303000,60,37,23
153,21,373,303100,351,181,170
154,21,373,303200,264,139,125
155,21,373,303300,0,0,0
156,21,373,303400,861,415,446
157,21,373,303500,470,255,215
158,21,373,303600,363,191,172
159,21,373,303700,174,87,87
160,21,373,303800,0,0,0
161,21,373,303900,132,69,63
162,21,373,304000,224,118,106
163,21,373,304100,479,243,236
164,21,373,304200,1528,743,785
165,21,373,304300,166,78,88
166,21,373,304400,1058,531,527
167,21,373,304500,1803,915,888
168,21,373,304600,36,20,16
169,21,373,304700,2913,1491,1422
170,21,373,304800,254,132,122
171,21,373,304900,837,425,412
172,21,373,305000,274,144,130
173,21,373,305100,441,228,213
174,21,373,305200,177,87,90
175,21,373,305300,35,17,18
176,21,373,305400,27,7,20
177,21,373,305500,1306,678,628
178,21,373,305600,1834,959,875
179,21,373,305700,441,222,219
180,21,373,305800,1709,841,868
181,21,373,305900,926,476,450
182,21,373,306000,0,0,0
183,21,373,306100,100,50,50
184,21,373,306200,153,67,86
185,21,373,306300,66,38,28
186,21,373,306400,1661,799,862
187,21,373,306500,404,214,190
188,21,373,306600,0,0,0
189,21,373,306700,99,47,52
190,21,373,306800,248,127,121
191,21,373,306900,182,82,100
192,21,373,307000,369,189,180
193,21,373,307100,86,43,43
194,21,373,307200,948,477,471
195,21,373,307300,45,22,23
196,21,373,307400,153,82,71
197,21,373,307500,275,143,132
198,21,373,307600,0,0,0
199,21,373,307700,72,31,41
