,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,371,120800,831,416,415
1,21,371,120900,376,185,191
2,21,371,121000,786,381,405
3,21,371,121100,1071,545,526
4,21,371,121200,707,346,361
5,21,371,121300,498,232,266
6,21,371,121400,231,121,110
7,21,371,121500,264,134,130
8,21,371,121600,132,66,66
9,21,371,121700,239,116,123
10,21,371,121800,431,222,209
11,21,371,121900,138,66,72
12,21,371,122000,122,60,62
13,21,371,122100,564,297,267
14,21,371,122200,928,465,463
15,21,371,122300,718,372,346
16,21,371,122400,251,123,128
17,21,371,122500,181,94,87
18,21,371,122600,434,216,218
19,21,371,122700,562,286,276
20,21,371,122800,1714,859,855
21,21,371,122900,579,293,286
22,21,371,123000,59,27,32
23,21,371,123100,464,226,238
24,21,371,123200,334,172,162
25,21,371,123300,1418,720,698
26,21,371,123400,844,424,420
27,21,371,123500,191,95,96
28,21,371,123600,748,377,371
29,21,371,123700,897,460,437
30,21,371,123800,454,228,226
31,21,371,123900,637,320,317
32,21,371,124000,317,153,164
33,21,371,124100,408,215,193
34,21,371,124200,452,218,234
35,21,371,124300,1368,684,684
36,21,371,124400,111,52,59
37,21,371,124500,643,337,306
38,21,371,124600,317,161,156
39,21,371,124700,410,211,199
40,21,371,124800,370,192,178
41,21,371,124900,367,191,176
42,21,371,125000,1374,699,675
43,21,371,125100,743,369,374
44,21,371,125200,557,285,272
45,21,371,125300,442,236,206
46,21,371,125400,452,233,219
47,21,371,125500,371,189,182
48,21,371,125600,515,260,255
49,21,371,125700,360,174,186
50,21,371,125800,482,257,225
51,21,371,125900,173,85,88
52,21,371,126000,1506,758,748
53,21,371,126100,716,367,349
54,21,371,126200,807,421,386
55,21,371,126300,105,51,54
56,21,371,126400,7,3,4
57,21,371,126500,608,299,309
58,21,371,126600,905,451,454
59,21,371,126700,818,409,409
60,21,371,126800,595,310,285
61,21,371,126900,139,68,71
62,21,371,127000,473,239,234
63,21,371,127100,1954,989,965
64,21,371,127200,1874,958,916
65,21,371,127300,404,198,206
66,21,371,127400,639,319,320
67,21,371,127500,250,135,115
68,21,371,127600,619,331,288
69,21,371,127700,596,311,285
70,21,371,127800,773,382,391
71,21,371,127900,2595,1307,1288
72,21,371,128000,1274,665,609
73,21,371,128100,1019,509,510
74,21,371,128200,594,310,284
75,21,371,128300,721,372,349
76,21,371,128400,495,255,240
77,21,371,128500,1222,629,593
78,21,371,128600,372,188,184
79,21,371,128700,860,478,382
80,21,371,128800,687,359,328
81,21,371,128900,2402,1235,1167
82,21,371,129000,2667,1348,1319
83,21,371,129100,577,287,290
84,21,371,129200,114,57,57
85,21,371,129300,855,430,425
86,21,371,129400,1181,600,581
87,21,371,129500,803,401,402
88,21,371,129600,2034,1043,991
89,21,371,129700,408,200,208
90,21,371,129800,591,283,308
91,21,371,129900,316,158,158
92,21,371,130000,7,6,1
93,21,371,130100,50,22,28
94,21,371,130200,642,338,304
95,21,371,130300,721,375,346
96,21,371,130400,46,25,21
97,21,371,130500,1060,538,522
98,21,371,130600,1665,840,825
99,21,371,130700,687,350,337
100,21,371,130800,584,280,304
101,21,371,130900,989,496,493
102,21,371,131000,273,134,139
103,21,371,131100,530,278,252
104,21,371,131200,441,228,213
105,21,371,131300,263,135,128
106,21,371,131400,1524,744,780
107,21,371,131500,2367,1195,1172
108,21,371,131600,502,245,257
109,21,371,131700,223,109,114
110,21,371,131800,270,138,132
111,21,371,131900,458,224,234
